Step; State; Reward
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
3; [[0.04196 1.784   0.      0.04196 0.      0.      1.663   1.663   0.04196
  0.      0.      0.      0.      0.      0.      0.     ]]; [39.578392]
4; [[ 1.278  11.5     0.      0.2654  0.      0.     10.53   10.52    0.2651
   1.022   1.022   1.025   0.      0.      0.      0.    ]]; [977.07983]
5; [[ 8.46   13.586   0.      0.6553  0.      0.     11.89   11.88    0.6553
   7.8     7.8     7.8     0.      0.      0.      0.    ]]; [2999.68]
6; [[ 9.6   12.51   0.     0.713  0.     0.    11.85  11.86   0.713  8.88
   8.88   8.89   0.     0.     0.     0.   ]]; [3302.9934]
7; [[ 9.07   10.16    0.      0.5767  0.      0.      9.41    9.41    0.5767
   8.44    8.44    8.484   0.      0.      0.      0.    ]]; [2507.831]
8; [[9.516  9.98   0.     0.5854 0.     0.     9.47   9.47   0.5854 8.93
  8.93   8.93   0.     0.     0.     0.    ]]; [2645.8516]
9; [[1.2203e+01 1.2227e+01 1.4305e-04 7.2559e-01 1.4305e-04 1.4305e-04
  1.1711e+01 1.1695e+01 7.2559e-01 1.1477e+01 1.1477e+01 1.1484e+01
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [4148.6885]
10; [[9.984 9.555 0.    0.588 0.    0.    9.484 9.484 0.588 9.39  9.39  9.4
  0.    0.    0.    0.   ]]; [2771.8286]
11; [[5.8281e+00 7.8438e+00 1.1444e-04 5.1953e-01 1.1444e-04 1.1444e-04
  9.5000e+00 9.5000e+00 5.2002e-01 9.2656e+00 9.2656e+00 5.3047e+00
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [1870.7721]
12; [[ 0.2084 10.484   0.      0.2084  0.      0.      9.46    9.46    0.2084
   7.617   7.617   0.      0.      0.      0.      0.    ]]; [969.9656]
13; [[4.873e-01 1.282e+01 1.431e-04 4.873e-01 1.431e-04 1.431e-04 1.166e+01
  1.165e+01 4.871e-01 7.172e+00 7.172e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [1358.6725]
14; [[ 0.2585 12.16    0.      0.2593  0.      0.     11.625  11.62    0.2593
   0.      0.      0.      0.      0.      0.      0.    ]]; [995.3792]
15; [[3.5767e-01 9.1172e+00 1.1444e-04 3.5742e-01 2.4033e-04 2.4033e-04
  9.5078e+00 9.5078e+00 3.5742e-01 1.1444e-04 2.4033e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [683.68243]
16; [[0.2051 9.484  0.     0.2051 0.     0.     9.375  9.38   0.2051 0.
  0.     0.     0.     0.     0.     0.    ]]; [665.95984]
17; [[3.7061e-01 9.4844e+00 1.1444e-04 3.7036e-01 1.1444e-04 1.1444e-04
  9.5078e+00 9.5078e+00 3.7036e-01 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [691.6807]
18; [[ 0.4531 11.49    0.      0.4531  0.      0.     11.87   11.87    0.4531
   0.      0.      0.      0.      0.      0.      0.    ]]; [1028.0537]
19; [[2.600e-01 1.215e+01 1.431e-04 2.600e-01 1.431e-04 1.431e-04 1.189e+01
  1.189e+01 2.600e-01 1.431e-04 1.431e-04 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [1030.9729]
20; [[0.3657 9.43   0.     0.3657 0.     0.     9.49   9.49   0.3657 0.
  0.     0.     0.     0.     0.     0.    ]]; [688.6076]
21; [[0.3293 9.17   0.     0.3293 0.     0.     9.375  9.375  0.3293 0.
  0.     0.     0.     0.     0.     0.    ]]; [667.7912]
22; [[0.2075 9.586  0.     0.2075 0.     0.     9.5    9.5    0.2075 0.
  0.     0.     0.     0.     0.     0.    ]]; [680.9575]
23; [[ 0.438 11.695  0.     0.438  0.     0.    11.86  11.86   0.438  0.
   0.     0.     0.     0.     0.     0.   ]]; [1031.2396]
24; [[0.3535 9.195  0.     0.3535 0.     0.     9.484  9.484  0.3535 0.
  0.     0.     0.     0.     0.     0.    ]]; [682.26373]
25; [[ 0.2593 11.97    0.      0.2593  0.      0.     11.87   11.87    0.2593
   0.      0.      0.      0.      0.      0.      0.    ]]; [1023.74536]
26; [[0.3333 9.516  0.     0.3333 0.     0.     9.32   9.33   0.3333 0.
  0.     0.     0.     0.     0.     0.    ]]; [669.6619]
27; [[0.3662 9.19   0.     0.3662 0.     0.     9.51   9.51   0.3662 0.
  0.     0.     0.     0.     0.     0.    ]]; [685.46515]
28; [[2.0740e-01 9.6875e+00 1.1444e-04 2.0728e-01 1.1444e-04 1.1444e-04
  9.4922e+00 9.4922e+00 2.0728e-01 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [682.5655]
29; [[0.3652 9.31   0.     0.3652 0.     0.     9.34   9.34   0.3652 0.
  0.     0.     0.     0.     0.     0.    ]]; [669.9733]
30; [[4.5654e-01 1.1516e+01 1.4305e-04 4.5630e-01 1.4305e-04 1.4305e-04
  1.1867e+01 1.1867e+01 4.5630e-01 1.4305e-04 1.4305e-04 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1028.9473]
31; [[ 0.2593 12.02    0.      0.2593  0.      0.     11.87    9.49    0.2593
   0.      0.      0.      0.      0.      0.      0.    ]]; [777.8582]
32; [[3.6206e-01 9.1797e+00 1.1444e-04 3.6182e-01 1.1444e-04 1.1444e-04
  9.3125e+00 9.3125e+00 3.6182e-01 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [663.83746]
33; [[0.2664 9.68   0.     0.266  0.     0.     9.49   9.484  0.2659 0.
  0.     0.     0.     0.     0.     0.    ]]; [685.8249]
34; [[2.593e-01 1.197e+01 1.431e-04 2.593e-01 1.431e-04 1.431e-04 1.187e+01
  1.187e+01 2.593e-01 1.431e-04 1.431e-04 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [1023.3441]
35; [[0.2817 9.21   0.     0.28   0.     0.     9.34   9.34   0.28   0.
  0.     0.     0.     0.     0.     0.    ]]; [662.35175]
36; [[3.5718e-01 9.1719e+00 1.1444e-04 3.5669e-01 1.1444e-04 1.1444e-04
  9.4844e+00 9.4844e+00 3.5669e-01 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [681.6832]
37; [[0.2075 9.65   0.     0.2076 0.     0.     9.516  9.516  0.2076 0.
  0.     0.     0.     0.     0.     0.    ]]; [684.2967]
38; [[3.7158e-01 9.0156e+00 1.1444e-04 3.7134e-01 1.1444e-04 1.1444e-04
  9.5078e+00 9.5078e+00 3.7134e-01 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [682.7418]
39; [[0.2075 9.73   0.     0.2075 0.     0.     9.5    9.5    0.2075 0.
  0.     0.     0.     0.     0.     0.    ]]; [683.8035]
40; [[0.2046 9.625  0.     0.2046 0.     0.     9.36   9.36   0.2046 0.
  0.     0.     0.     0.     0.     0.    ]]; [666.175]
41; [[0.3303 9.36   0.     0.3303 0.     0.     9.5    9.5    0.3303 0.
  0.     0.     0.     0.     0.     0.    ]]; [685.0782]
42; [[0.2363 9.84   0.     0.2363 0.     0.     9.51   9.51   0.2363 0.
  0.     0.     0.     0.     0.     0.    ]]; [688.94653]
43; [[ 0.453  11.65    0.      0.4526  0.      0.     11.875  11.875   0.4526
   0.      0.      0.      0.      0.      0.      0.    ]]; [1032.5039]
44; [[ 0.2266 10.03    0.      0.2266  0.      0.      9.484   9.484   0.2266
   0.      0.      0.      0.      0.      0.      0.    ]]; [689.14343]
45; [[3.4912e-01 9.2500e+00 1.1444e-04 3.4888e-01 1.1444e-04 1.1444e-04
