Step; State; Reward
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[0.2172 9.56   0.     0.2168 0.     0.     9.46   9.39   0.2167 9.39
  9.39   0.     0.     0.     0.     0.    ]]; [1012.79474]
3; [[ 0.26   12.02    0.      0.2603  0.      0.     11.305  11.26    0.2605
  11.26   11.26    0.      0.      0.      0.      0.    ]]; [1441.7402]
4; [[0.3782 9.46   0.     0.3762 0.     0.     8.586  8.195  0.3762 8.195
  8.195  0.     0.     0.     0.     0.    ]]; [825.7987]
5; [[ 0.522  10.016   0.      0.5244  0.      0.      9.086   9.664   0.5244
   9.664   9.664   0.      0.      0.      0.      0.    ]]; [1091.9723]
6; [[ 0.532   6.1     0.      0.5327  0.      0.     15.72    9.516   0.5327
   9.516   9.516   0.      7.85    0.      0.      0.    ]]; [1270.901]
7; [[0.5186 1.761  0.     0.517  0.     0.     9.04   8.375  0.5176 8.375
  8.375  0.     7.28   0.     0.     0.    ]]; [856.99243]
8; [[6.470e-01 1.735e+00 1.431e-04 6.489e-01 1.431e-04 1.431e-04 1.041e+01
  1.034e+01 6.338e-01 1.034e+01 1.034e+01 1.431e-04 8.664e+00 1.431e-04
  1.431e-04 1.431e-04]]; [1248.8115]
9; [[0.3474 6.21   0.     0.3474 0.     0.     7.574  9.484  0.3474 9.484
  9.484  0.     1.536  0.     0.     0.    ]]; [958.5793]
10; [[2.4902e-01 1.0531e+01 1.1444e-04 2.4902e-01 2.4033e-04 2.4033e-04
  9.0625e+00 9.0547e+00 2.4890e-01 9.0547e+00 9.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [971.9067]
11; [[0.5605 9.02   0.     0.5605 0.     0.     9.57   9.51   0.5596 9.51
  9.51   0.     0.     0.     0.     0.    ]]; [1059.2811]
12; [[3.301e-01 1.138e+01 1.431e-04 3.296e-01 1.431e-04 1.431e-04 1.162e+01
  1.169e+01 3.306e-01 1.169e+01 1.169e+01 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [1527.0807]
13; [[0.1984 9.77   0.     0.1985 0.     0.     9.086  9.086  0.1985 9.086
  9.086  0.     0.     0.     0.     0.    ]]; [958.07715]
14; [[4.5923e-01 9.3516e+00 1.1444e-04 4.5923e-01 1.1444e-04 1.1444e-04
  9.3750e+00 9.3594e+00 4.5923e-01 9.3594e+00 9.3594e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [1026.6248]
15; [[ 0.2485 10.13    0.      0.2485  0.      0.      9.484   9.484   0.2485
   9.484   9.484   0.      0.      0.      0.      0.    ]]; [1042.6262]
16; [[2.0776e-01 9.9297e+00 1.1444e-04 2.0764e-01 1.1444e-04 1.1444e-04
  9.5000e+00 9.5000e+00 2.0764e-01 9.5000e+00 9.5000e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [1036.9502]
17; [[2.398 9.94  0.    2.398 2.139 0.    7.38  9.945 2.4   7.81  9.945 0.
  0.    2.139 0.    0.   ]]; [1469.199]
18; [[2.424e-01 1.145e+01 1.431e-04 2.427e-01 1.431e-04 1.431e-04 1.129e+01
  1.110e+01 2.434e-01 1.110e+01 1.110e+01 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [1396.0511]
19; [[0.1913 8.695  0.     0.1914 0.     0.     8.86   8.74   0.1914 8.74
  8.74   0.     0.     0.     0.     0.    ]]; [880.0039]
20; [[4.8218e-01 9.6250e+00 1.1444e-04 4.8169e-01 1.1444e-04 1.1444e-04
  9.3906e+00 9.3750e+00 4.8169e-01 9.3750e+00 9.3750e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [1038.064]
21; [[0.3562 8.875  0.     0.3562 0.     0.     9.1    9.27   0.3562 9.27
  9.27   0.     0.     0.     0.     0.    ]]; [987.92554]
22; [[ 0.4058 12.41    0.      0.4058  0.      0.     11.54   11.414   0.4058
  11.414  11.414   0.      0.      0.      0.      0.    ]]; [1505.8535]
23; [[ 0.3584 11.03    0.      0.3586  0.      0.      9.09    9.38    0.3584
   9.38    9.38    0.      0.      0.      0.      0.    ]]; [1047.4385]
24; [[0.551  9.38   0.     0.5503 0.     0.     9.375  9.37   0.55   9.37
  9.37   0.     0.     0.     0.     0.    ]]; [1038.3059]
25; [[ 0.5938 11.01    0.      0.5938  0.      0.     11.91   11.875   0.5938
  11.875  11.875   0.      0.      0.      0.      0.    ]]; [1597.4332]
26; [[0.3179 9.66   0.     0.318  0.     0.     9.516  9.51   0.318  9.51
  9.51   0.     0.     0.     0.     0.    ]]; [1045.791]
