Step; State; Reward
1; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
2; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
3; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
4; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
5; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
6; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
7; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
8; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
9; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
10; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
