Step; State; Reward
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
3; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
4; [[0.2039 9.8    0.     0.2039 0.     0.     9.33   9.33   0.2039 0.
  0.     0.     0.     0.     0.     0.    ]]; [666.40796]
5; [[0.1945 9.84   0.     0.1946 0.     0.     8.86   8.85   0.1946 0.
  0.     0.     0.     0.     0.     0.    ]]; [615.958]
6; [[0.1945 9.84   0.     0.1946 0.     0.     8.86   8.85   0.1946 0.
  0.     0.     0.     0.     0.     0.    ]]; [0.]
7; [[0.1945 9.84   0.     0.1946 0.     0.     8.86   8.85   0.1946 0.
  0.     0.     0.     0.     0.     0.    ]]; [0.]
8; [[0.1945 9.84   0.     0.1946 0.     0.     8.86   8.85   0.1946 0.
  0.     0.     0.     0.     0.     0.    ]]; [0.]
9; [[0.1945 9.84   0.     0.1946 0.     0.     8.86   8.85   0.1946 0.
  0.     0.     0.     0.     0.     0.    ]]; [0.]
10; [[ 0.503  12.63    0.      0.4968  0.      0.     10.484  10.33    0.497
   9.44    9.44    0.      0.      0.      0.      0.    ]]; [1252.5829]
11; [[ 0.521  11.31    0.      0.526   0.      0.      9.234   9.234   0.5254
   8.73    8.73    0.      0.      0.      0.      0.    ]]; [1028.4978]
12; [[ 0.521  11.31    0.      0.526   0.      0.      9.234   9.234   0.5254
   8.73    8.73    0.      0.      0.      0.      0.    ]]; [0.]
13; [[1.6406e-01 8.7109e+00 1.1444e-04 1.6394e-01 2.4033e-04 2.4033e-04
  8.4453e+00 8.3594e+00 1.6406e-01 7.9023e+00 7.9023e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [798.5935]
14; [[1.6406e-01 8.7109e+00 1.1444e-04 1.6394e-01 2.4033e-04 2.4033e-04
  8.4453e+00 8.3594e+00 1.6406e-01 7.9023e+00 7.9023e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
15; [[1.6406e-01 8.7109e+00 1.1444e-04 1.6394e-01 2.4033e-04 2.4033e-04
  8.4453e+00 8.3594e+00 1.6406e-01 7.9023e+00 7.9023e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
16; [[1.6406e-01 8.7109e+00 1.1444e-04 1.6394e-01 2.4033e-04 2.4033e-04
  8.4453e+00 8.3594e+00 1.6406e-01 7.9023e+00 7.9023e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
17; [[1.6406e-01 8.7109e+00 1.1444e-04 1.6394e-01 2.4033e-04 2.4033e-04
  8.4453e+00 8.3594e+00 1.6406e-01 7.9023e+00 7.9023e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
18; [[1.6406e-01 8.7109e+00 1.1444e-04 1.6394e-01 2.4033e-04 2.4033e-04
  8.4453e+00 8.3594e+00 1.6406e-01 7.9023e+00 7.9023e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
