snapshot,link_A_usage_rate,link_B_usage_rate,link_C_usage_rate,link_D_usage_rate,link_E_usage_rate,link_F_usage_rate
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,6e-06,6e-06,0.0,0.0
8,0.0,0.0,6e-06,6e-06,0.0,0.0
9,0.0,0.0,6e-06,6e-06,0.0,0.0
10,0.0,0.0,6e-06,6e-06,0.0,0.0
11,0.0,0.0,6e-06,6e-06,0.0,0.0
12,0.0,0.0,6e-06,6e-06,0.0,0.0
13,0.0,0.0,6e-06,6e-06,0.0,0.0
14,0.0,0.0,6e-06,6e-06,0.0,0.0
15,0.0,0.0,6e-06,6e-06,0.0,0.0
16,0.0,0.0,6e-06,6e-06,0.0,0.0
17,10.918312,0.0,10.9183165,6e-06,0.0,0.0040407
18,10.918312,0.0,10.9183165,6e-06,0.0,0.0040407
19,10.918312,0.0,10.9183165,6e-06,0.0,0.0040407
20,10.918312,0.0,10.9183165,6e-06,0.0,0.0040407
21,10.918312,0.0,10.9183165,6e-06,0.0,0.0040407
22,10.918312,0.0,10.9183165,6e-06,0.0,0.0040407
23,10.918312,0.0,10.9183165,6e-06,0.0,0.0040407
24,10.918312,0.0,10.9183165,6e-06,0.0,0.0040407
25,10.918312,0.0,10.9183165,6e-06,0.0,0.0040407
26,468.6123165,0.0,468.6122899,0.0,0.0,0.1217161
27,468.6123165,0.0,468.6122899,0.0,0.0,0.1217161
28,468.6123165,0.0,468.6122899,0.0,0.0,0.1217161
29,468.6123165,0.0,468.6122899,0.0,0.0,0.1217161
30,468.6123165,0.0,468.6122899,0.0,0.0,0.1217161
31,468.6123165,0.0,468.6122899,0.0,0.0,0.1217161
32,468.6123165,0.0,468.6122899,0.0,0.0,0.1217161
33,468.6123165,0.0,468.6122899,0.0,0.0,0.1217161
34,468.6123165,0.0,468.6122899,0.0,0.0,0.1217161
35,468.6123165,0.0,468.6122899,0.0,0.0,0.1217161
36,1210.3550393,0.0,1210.350867,6e-06,0.0,0.3189742
37,1210.3550393,0.0,1210.350867,6e-06,0.0,0.3189742
38,1210.3550393,0.0,1210.350867,6e-06,0.0,0.3189742
39,1210.3550393,0.0,1210.350867,6e-06,0.0,0.3189742
40,1210.3550393,0.0,1210.350867,6e-06,0.0,0.3189742
41,1210.3550393,0.0,1210.350867,6e-06,0.0,0.3189742
42,1210.3550393,0.0,1210.350867,6e-06,0.0,0.3189742
43,1210.3550393,0.0,1210.350867,6e-06,0.0,0.3189742
44,1210.3550393,0.0,1210.350867,6e-06,0.0,0.3189742
45,1210.3550393,0.0,1210.350867,6e-06,0.0,0.3189742
46,1573.1095308,0.0,1573.1109955,6e-06,0.0,0.4168871
47,1573.1095308,0.0,1573.1109955,6e-06,0.0,0.4168871
48,1573.1095308,0.0,1573.1109955,6e-06,0.0,0.4168871
49,1573.1095308,0.0,1573.1109955,6e-06,0.0,0.4168871
50,1573.1095308,0.0,1573.1109955,6e-06,0.0,0.4168871
51,1573.1095308,0.0,1573.1109955,6e-06,0.0,0.4168871
52,1573.1095308,0.0,1573.1109955,6e-06,0.0,0.4168871
53,1573.1095308,0.0,1573.1109955,6e-06,0.0,0.4168871
54,1573.1095308,0.0,1573.1109955,6e-06,0.0,0.4168871
55,1573.1095308,0.0,1573.1109955,6e-06,0.0,0.4168871
56,1586.3663913,0.0,1586.45294,0.0,0.0,0.4203163
57,1586.3663913,0.0,1586.45294,0.0,0.0,0.4203163
58,1586.3663913,0.0,1586.45294,0.0,0.0,0.4203163
59,1586.3663913,0.0,1586.45294,0.0,0.0,0.4203163
60,1586.3663913,0.0,1586.45294,0.0,0.0,0.4203163
61,1586.3663913,0.0,1586.45294,0.0,0.0,0.4203163
62,1586.3663913,0.0,1586.45294,0.0,0.0,0.4203163
63,1586.3663913,0.0,1586.45294,0.0,0.0,0.4203163
64,1586.3663913,0.0,1586.45294,0.0,0.0,0.4203163
65,1586.3663913,0.0,1586.45294,0.0,0.0,0.4203163
66,1056.006163,0.0,1055.9170622,6e-06,0.0,0.2799597
67,1056.006163,0.0,1055.9170622,6e-06,0.0,0.2799597
68,1056.006163,0.0,1055.9170622,6e-06,0.0,0.2799597
69,1056.006163,0.0,1055.9170622,6e-06,0.0,0.2799597
70,1056.006163,0.0,1055.9170622,6e-06,0.0,0.2799597
71,1056.006163,0.0,1055.9170622,6e-06,0.0,0.2799597
72,1056.006163,0.0,1055.9170622,6e-06,0.0,0.2799597
73,1056.006163,0.0,1055.9170622,6e-06,0.0,0.2799597
74,1056.006163,0.0,1055.9170622,6e-06,0.0,0.2799597
75,1056.006163,0.0,1055.9170622,6e-06,0.0,0.2799597
