Timestep;Transferred Bytes;Bandwidth (Mbps)
0.0;0.0;0.0
1.0;0.0;0.0
2.0;14438.4;0.1123046875
3.01;28979.2;0.2275390625
4.0;0.0;0.0
5.0;43417.6;0.3388671875
6.0;0.0;0.0
7.0;50688.0;0.396484375
8.0;72396.8;0.56640625
9.0;108544.0;0.8466796875
10.0;0.0;0.0
11.0;163840.0;1.31
12.0;0.0;0.0
13.0;69529.6;0.5419921875
14.0;0.0;0.0
15.0;14438.4;0.11328125
16.0;89804.8;0.701171875
17.0;0.0;0.0
18.0;70963.2;0.5546875
19.0;440320.0;3.52
20.0;37683.2;0.2939453125
21.0;0.0;0.0
22.0;0.0;0.0
23.0;0.0;0.0
24.0;33280.0;0.2607421875
25.0;285696.0;2.28
26.0;156672.0;1.25
27.0;0.0;0.0
28.0;0.0;0.0
29.0;75264.0;0.587890625
30.0;76697.6;0.599609375
31.0;2897.92;0.02265625
32.0;60825.6;0.4755859375
33.0;28979.2;0.2265625
34.0;0.0;0.0
35.0;30412.8;0.2373046875
36.0;28979.2;0.2265625
37.0;2897.92;0.02265625
38.0;36249.6;0.283203125
39.0;31846.4;0.2490234375
40.0;7239.68;0.05654296875
41.0;0.0;0.0
42.0;0.0;0.0
43.0;27545.6;0.21484375
44.0;18841.6;0.1474609375
45.0;0.0;0.0
46.0;27545.6;0.21484375
47.0;0.0;0.0
48.0;26112.0;0.2041015625
49.0;15974.4;0.1240234375
50.0;18841.6;0.1474609375
51.0;33280.0;0.2607421875
52.0;34713.6;0.271484375
53.0;5795.84;0.04521484375
54.0;0.0;0.0
55.0;111616.0;0.8720703125
56.0;82534.4;0.64453125
57.0;63692.8;0.4970703125
58.0;54988.8;0.4296875
59.0;54988.8;0.4296875
60.0;59392.0;0.4638671875
61.0;60825.6;0.4755859375
62.0;65126.4;0.5087890625
63.0;85401.6;0.66796875
64.0;11571.2;0.09052734375
65.0;111616.0;0.87109375
66.0;8683.52;0.06787109375
67.0;65126.4;0.408203125
68.25;0.0;0.0
69.28;0.0;0.0
70.82;0.0;0.0
71.02;0.0;0.0
72.0;0.0;0.0
73.0;2897.92;0.02265625
74.0;4341.76;0.033984375
75.0;0.0;0.0
76.0;76697.6;0.5986328125
77.0;21708.8;0.169921875
78.0;0.0;0.0
79.0;0.0;0.0
80.0;0.0;0.0
81.0;0.0;0.0
82.0;0.0;0.0
83.0;0.0;0.0
84.0;0.0;0.0
85.0;0.0;0.0
86.0;0.0;0.0
87.0;0.0;0.0
88.0;0.0;0.0
89.0;17408.0;0.1357421875
90.0;0.0;0.0
91.0;85401.6;0.6689453125
92.0;0.0;0.0
93.0;0.0;0.0
94.0;0.0;0.0
95.0;0.0;0.0
96.0;0.0;0.0
97.0;0.0;0.0
98.0;0.0;0.0
99.0;0.0;0.0
100.0;0.0;0.0
101.0;737280.0;5.89
102.0;0.0;0.0
103.02;604160.0;4.92
104.0;167936.0;1.34
105.0;144384.0;1.16
106.0;89804.8;0.7021484375
107.0;217088.0;1.74
108.0;228352.0;1.83
109.0;2897.92;0.02265625
110.0;0.0;0.0
111.0;462848.0;3.71
112.0;86835.2;0.677734375
113.0;39116.8;0.3056640625
114.0;163840.0;1.31
115.0;269312.0;2.16
116.0;151552.0;1.22
117.0;119808.0;0.9384765625
118.0;57958.4;0.453125
119.0;153600.0;1.23
120.0;168960.0;1.36
121.0;175104.0;1.4
122.0;20275.2;0.158203125
123.0;1443.84;0.011328125
124.0;0.0;0.0
125.0;47820.8;0.3740234375
126.0;0.0;0.0
127.0;0.0;0.0
128.0;5795.84;0.04521484375
129.0;26112.0;0.2041015625
130.0;125952.0;1.01
131.0;118784.0;0.9287109375
132.0;63692.8;0.4970703125
133.0;137216.0;1.1
134.0;7239.68;0.05654296875
135.0;0.0;0.0
136.0;0.0;0.0
137.0;0.0;0.0
138.0;0.0;0.0
139.0;23142.4;0.181640625
140.0;0.0;0.0
141.0;572416.0;4.58
142.0;14438.4;0.11328125
143.0;0.0;0.0
144.0;0.0;0.0
145.0;30412.8;0.2373046875
146.0;0.0;0.0
147.0;0.0;0.0
148.0;0.0;0.0
149.0;0.0;0.0
150.0;15974.4;0.1240234375
151.0;513024.0;4.1
152.0;0.0;0.0
153.0;301056.0;2.41
154.0;0.0;0.0
155.13;0.0;0.0
156.0;26112.0;0.2041015625
157.0;0.0;0.0
158.0;4341.76;0.033984375
159.0;4341.76;0.033984375
160.0;0.0;0.0
161.0;0.0;0.0
162.0;0.0;0.0
163.0;346112.0;2.77
164.0;49254.4;0.384765625
165.0;0.0;0.0
166.0;0.0;0.0
167.02;2897.92;0.023046875
168.0;153600.0;1.23
169.0;0.0;0.0
170.0;0.0;0.0
171.0;1443.84;0.011328125
172.0;0.0;0.0
173.0;0.0;0.0
174.0;166912.0;1.33
175.0;0.0;0.0
176.0;0.0;0.0
177.0;0.0;0.0
178.0;1443.84;0.011328125
179.0;0.0;0.0
180.0;2897.92;0.02265625
181.0;23142.4;0.1806640625
182.0;8683.52;0.06796875
183.0;0.0;0.0
184.0;0.0;0.0
185.0;28979.2;0.2265625
186.0;33280.0;0.259765625
187.0;0.0;0.0
188.0;0.0;0.0
189.0;0.0;0.0
190.0;0.0;0.0
191.0;1443.84;0.011328125
192.0;20275.2;0.158203125
193.0;177152.0;1.41
194.0;0.0;0.0
195.0;0.0;0.0
196.0;14438.4;0.11328125
197.0;0.0;0.0
198.0;149504.0;1.19
199.0;0.0;0.0
200.0;75264.0;0.5888671875
201.0;0.0;0.0
202.0;0.0;0.0
203.0;2897.92;0.02265625
204.0;0.0;0.0
205.0;1443.84;0.011328125
206.0;0.0;0.0
207.0;1443.84;0.011328125
208.0;0.0;0.0
209.0;0.0;0.0
210.0;2897.92;0.02265625
211.0;0.0;0.0
212.0;2897.92;0.02265625
213.0;0.0;0.0
214.0;2897.92;0.02265625
215.0;0.0;0.0
216.0;1443.84;0.011328125
217.0;0.0;0.0
218.0;0.0;0.0
219.0;0.0;0.0
220.0;0.0;0.0
221.0;1443.84;0.011328125
222.0;39116.8;0.3056640625
223.0;0.0;0.0
224.0;1443.84;0.011328125
225.0;0.0;0.0
226.0;2897.92;0.02265625
227.0;0.0;0.0
228.0;14438.4;0.11328125
229.0;150528.0;1.21
230.0;0.0;0.0
231.0;0.0;0.0
232.0;15974.4;0.1240234375
233.0;53555.2;0.41796875
234.0;37683.2;0.2939453125
235.0;40550.4;0.3173828125
236.0;43417.6;0.33984375
237.0;1443.84;0.011328125
238.0;4341.76;0.033984375
239.0;7239.68;0.05654296875
240.0;11571.2;0.0904296875
241.0;0.0;0.0
242.0;27545.6;0.21484375
243.0;0.0;0.0
244.0;0.0;0.0
245.0;4341.76;0.033984375
246.0;23142.4;0.1806640625
247.0;0.0;0.0
248.0;0.0;0.0
249.0;1443.84;0.011328125
250.0;7239.68;0.05654296875
251.0;10137.6;0.07919921875
252.0;0.0;0.0
253.0;0.0;0.0
254.0;1443.84;0.011328125
255.0;70963.2;0.5546875
256.0;2897.92;0.02265625
257.0;0.0;0.0
258.0;0.0;0.0
259.0;13004.8;0.1015625
260.0;0.0;0.0
261.0;5795.84;0.0453125
262.0;156672.0;1.25
263.0;0.0;0.0
264.0;0.0;0.0
265.0;1443.84;0.011328125
266.0;0.0;0.0
267.0;11571.2;0.09052734375
268.0;0.0;0.0
269.0;0.0;0.0
270.0;0.0;0.0
271.0;251904.0;2.02
272.0;248832.0;1.99
273.0;178176.0;1.43
274.0;143360.0;1.15
275.0;147456.0;1.18
276.0;167936.0;1.34
277.0;217088.0;1.74
278.0;318464.0;2.55
279.0;462848.0;3.71
280.0;604160.0;4.82
281.0;794624.0;6.37
282.0;825344.0;6.6
283.0;1059061.76;8.5
284.0;859136.0;6.87
285.0;1035264.0;8.3
286.0;974848.0;7.79
287.0;653312.0;5.22
288.0;217088.0;1.74
289.0;0.0;0.0
290.0;2904555.52;23.3
291.0;510976.0;4.09
292.0;1101004.8;8.77
293.0;796672.0;6.36
294.0;205824.0;1.64
295.0;0.0;0.0
296.0;1153433.6;9.24
297.0;2233466.88;17.8
298.0;824320.0;6.59
299.0;908288.0;7.26
300.0;955392.0;7.65
301.0;871424.0;6.97
302.0;925696.0;7.4
303.0;903168.0;7.24
304.0;841728.0;6.73
305.0;896000.0;7.16
306.0;848896.0;6.79
307.0;812032.0;6.48
308.0;740352.0;5.93
309.0;833536.0;6.66
310.0;811008.0;6.5
311.0;378880.0;3.04
312.0;0.0;0.0
313.0;2897.92;0.02265625
314.0;0.0;0.0
315.0;0.0;0.0
316.0;0.0;0.0
317.0;0.0;0.0
318.0;0.0;0.0
319.0;0.0;0.0
320.0;5795.84;0.0453125
321.0;6406799.36;51.0
322.0;822272.0;6.6
323.0;587776.0;4.69
324.01;0.0;0.0
325.0;654336.0;5.25
326.0;1551892.48;12.4
327.0;599040.0;4.8
328.0;647168.0;5.17
329.0;457728.0;3.66
330.0;86835.2;0.6787109375
331.0;950272.0;7.61
332.0;49254.4;0.3837890625
333.0;0.0;0.0
334.0;0.0;0.0
335.0;15974.4;0.125
336.0;2925527.04;23.3
