Step; State; Reward
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[0.05984 2.621   0.      0.05865 0.      0.      2.484   2.447   0.05865  2.447   2.447   0.      0.      0.      0.      0.     ]]; [90.01588]
3; [[0.2076 8.83   0.     0.2081 0.     0.     8.375  8.305  0.2081 8.3  8.3    0.     0.     0.     0.     0.    ]]; [810.0508]
4; [[ 6.08  11.04   0.     6.08   0.     5.51   9.08  14.45   6.08  14.45   8.95   0.     5.51   0.     0.     5.508]]; [3910.7546]
5; [[ 6.566  9.39   0.     6.566  0.     5.734  9.39  15.14   6.566 15.14   9.4    0.     5.742  0.     0.     5.742]]; [4249.5864]
6; [[ 7.574  9.17   0.     7.547  0.     6.766  9.3   16.06   7.56  16.06   9.305  0.     6.76   0.     0.     6.758]]; [4979.456]
7; [[ 9.26  12.125  0.     9.26   0.     8.43  11.8   20.22   9.266 20.22  11.8    0.     8.44   0.     0.     8.44 ]]; [7767.538]
8; [[ 8.586  9.33   0.     8.586  0.     7.766  9.44  17.19   8.6   17.19   9.445  0.     7.766  0.     0.     7.77 ]]; [5884.8193]
9; [[ 8.43   9.38   0.     8.445  0.     7.824  9.33  16.95   8.445 16.95   9.23   0.     7.883  0.     0.     7.742]]; [5740.2764]
10; [[7.2734e+00 8.7109e+00 1.1444e-04 7.5273e+00 1.1444e-04 7.7305e+00  8.5469e+00 1.5867e+01 7.7891e+00 1.5867e+01 8.7656e+00 1.1444e-04  7.5742e+00 1.1444e-04 1.1444e-04 7.3633e+00]]; [4882.403]
11; [[10.3   12.36   0.    10.05   0.     8.84  11.52  20.48   9.945 20.48  11.555  0.     8.836  0.     0.     8.85 ]]; [8351.172]
12; [[5.5742e+00 1.0797e+01 1.1444e-04 5.2539e+00 1.1444e-04 4.1328e+00  9.3125e+00 1.3453e+01 4.7539e+00 1.3453e+01 9.3125e+00 1.1444e-04  4.1328e+00 1.1444e-04 2.4033e-04 4.1367e+00]]; [3303.07]
13; [[ 0.3042 11.36    0.      0.3103  0.      0.     11.76   11.695   0.3115  11.695  11.695   0.      0.      0.      0.      0.    ]]; [1528.7124]
14; [[3.2930e+00 1.1375e+01 1.4305e-04 3.2930e+00 1.4305e-04 1.4305e-04  1.4719e+01 1.1828e+01 3.4375e-01 1.1828e+01 1.1828e+01 1.4305e-04  2.9570e+00 1.4305e-04 1.4305e-04 1.4305e-04]]; [2271.2202]
15; [[ 9.64   4.48   0.     9.7    0.     0.    13.5   11.875  0.688 11.875  11.875  0.     9.02   0.     0.     0.   ]]; [3697.9995]
16; [[2.7734e+00 6.4531e+00 1.1444e-04 2.7148e+00 1.1444e-04 1.1444e-04  8.4297e+00 9.5078e+00 3.9673e-01 9.5078e+00 9.5078e+00 1.1444e-04  2.3105e+00 1.1444e-04 1.1444e-04 1.1444e-04]]; [1356.6503]
17; [[ 0.2534 13.266   0.      0.2532  0.      0.     11.74   11.805   0.2532  11.805  11.805   0.      0.      0.      0.      0.    ]]; [1589.9365]
18; [[3.8477e-01 1.0516e+01 1.1444e-04 3.8501e-01 1.1444e-04 1.1444e-04  9.4766e+00 9.4609e+00 3.8501e-01 9.4609e+00 9.4609e+00 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [1061.0923]
19; [[ 0.3347 10.125   0.      0.3347  0.      0.      9.47    9.48    0.3347   9.48    9.48    0.      0.      0.      0.      0.    ]]; [1049.918]
20; [[2.8125e-01 1.6594e+01 1.9073e-04 2.8076e-01 1.9073e-04 1.9073e-04  1.4516e+01 1.4352e+01 3.1445e-01 1.4352e+01 1.4352e+01 1.9073e-04  1.9073e-04 1.9073e-04 1.9073e-04 1.9073e-04]]; [2331.899]
21; [[ 0.3826 11.305   0.      0.3823  0.      0.     11.87   11.88    0.3823  11.88   11.88    0.      0.      0.      0.      0.    ]]; [1577.3981]
22; [[3.181e-01 1.131e+01 1.431e-04 3.179e-01 1.431e-04 1.431e-04 1.154e+01  1.154e+01 3.198e-01 1.154e+01 1.154e+01 1.431e-04 1.431e-04 1.431e-04  1.431e-04 1.431e-04]]; [1494.0121]
23; [[0.3984 9.51   0.     0.3977 0.     0.     9.26   9.47   0.3928 9.46  9.46   0.     0.     0.     0.     0.    ]]; [1038.9553]
