Step; State; Reward
1; [[0.0003014 0.000143  0.000143  0.000143  0.000143  0.000143  0.000143
  0.0003014 0.000143  0.000143  0.000143  0.000143  0.000143  0.000143
  0.000143  0.000143 ]]; [0.00964355]
2; [[0.0249  0.986   0.      0.02481 0.      0.      0.937   0.905   0.0246
  0.904   0.904   0.      0.      0.      0.      0.     ]]; [14.874771]
3; [[9.192e-02 4.148e+00 1.431e-04 9.192e-02 1.431e-04 1.431e-04 4.059e+00
  4.016e+00 9.216e-02 4.016e+00 4.016e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [211.46535]
4; [[0.1093  5.27    0.      0.1093  0.      0.      4.074   4.168   0.11255
  4.168   4.168   0.      0.      0.      0.      0.     ]]; [233.923]
5; [[2.059e+00 3.992e+00 1.431e-04 2.391e+00 1.431e-04 1.431e-04 6.176e+00
  3.977e+00 1.549e-01 3.977e+00 3.977e+00 1.431e-04 1.431e-04 3.014e-04
  2.262e+00 1.431e-04]]; [396.03375]
6; [[3.104  1.999  0.     3.254  0.     0.     4.906  3.117  0.1942 3.117
  3.117  0.     0.     0.     2.816  0.    ]]; [366.18954]
7; [[3.602e+00 1.147e+00 1.431e-04 5.574e+00 1.431e-04 3.014e-04 6.891e+00
  3.742e+00 2.327e-01 3.742e+00 3.742e+00 1.431e-04 1.328e+00 1.431e-04
  3.547e+00 1.431e-04]]; [540.76495]
8; [[3.809   0.05225 0.      4.516   0.      0.      4.35    4.18    0.2216
  0.823   0.823   0.      1.97    0.      1.802   0.     ]]; [409.31082]
9; [[1.9958e-01 6.4023e+00 1.1444e-04 1.9971e-01 1.1444e-04 1.1444e-04
  4.1641e+00 4.8164e+00 2.0044e-01 3.7170e-02 3.7170e-02 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [219.44615]
10; [[0.1111  7.24    0.      0.11127 0.      0.      6.867   6.863   0.11127
  0.1781  0.1781  0.      0.      0.      0.      0.     ]]; [383.0133]
11; [[2.3303e-01 6.6836e+00 1.1444e-04 2.3132e-01 1.1444e-04 1.1444e-04
  7.0156e+00 7.0156e+00 2.3071e-01 2.6831e-01 2.6831e-01 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [394.59897]
12; [[0.1901 9.586  0.     0.1902 0.     0.     9.01   9.016  0.1902 1.06
  1.06   0.     0.     0.     0.     0.    ]]; [648.3517]
13; [[3.4033e-01 6.3125e+00 1.1444e-04 3.3887e-01 1.1444e-04 1.1444e-04
  6.6094e+00 6.5859e+00 3.3862e-01 1.6172e+00 1.6172e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [391.25842]
14; [[ 0.1906 10.15    0.      0.191   0.      0.      9.36    9.36    0.194
   2.66    2.66    0.      0.      0.      0.      0.    ]]; [757.9585]
15; [[4.456e-01 9.156e+00 1.431e-04 4.451e-01 1.431e-04 1.431e-04 9.312e+00
  9.320e+00 4.448e-01 3.217e+00 3.217e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [776.0982]
16; [[3.076  4.895  0.     3.084  0.     0.     9.69   7.266  0.4004 3.656
  3.656  0.     2.719  0.     0.     0.    ]]; [869.5672]
17; [[4.539e+00 5.332e+00 1.431e-04 4.551e+00 1.431e-04 1.431e-04 9.367e+00
  9.297e+00 5.728e-01 5.109e+00 5.109e+00 1.431e-04 3.941e+00 1.431e-04
  1.431e-04 1.431e-04]]; [1418.6166]
18; [[5.305  3.715  0.     5.293  0.     0.     8.586  7.39   0.4177 5.543
  5.543  0.     4.875  0.     0.     0.    ]]; [1275.9779]
19; [[4.8750e+00 3.6152e+00 1.1444e-04 4.9023e+00 1.1444e-04 1.1444e-04
  8.0547e+00 7.8828e+00 4.7168e-01 5.0273e+00 5.0273e+00 1.1444e-04
  4.4297e+00 1.1444e-04 1.1444e-04 1.1444e-04]]; [1220.2402]
20; [[5.613  1.947  0.     5.6    0.     0.     7.16   7.035  0.3887 5.457
  5.457  0.     5.215  0.     0.     0.    ]]; [1201.2878]
21; [[8.328e+00 2.051e+00 1.431e-04 8.367e+00 1.431e-04 1.431e-04 9.859e+00
  9.438e+00 5.557e-01 8.328e+00 8.328e+00 1.431e-04 7.812e+00 1.431e-04
  1.431e-04 1.431e-04]]; [2364.0198]
22; [[3.447  3.314  0.     3.416  0.     0.     5.81   7.55   0.4006 5.92
  5.92   0.     3.01   0.     0.     0.    ]]; [932.47455]
23; [[4.648e+00 7.953e+00 1.431e-04 4.637e+00 1.431e-04 1.431e-04 1.300e+01
  9.242e+00 3.438e-01 7.359e+00 7.359e+00 1.431e-04 4.309e+00 1.431e-04
  1.431e-04 1.431e-04]]; [1737.1844]
24; [[3.965  3.484  0.     4.008  0.     0.     7.09   6.35   0.3943 5.33
  5.33   0.     3.662  0.     0.     0.    ]]; [891.6574]
25; [[6.0039e+00 5.5273e+00 1.4305e-04 5.9688e+00 1.4305e-04 1.4305e-04
  1.0945e+01 9.3750e+00 5.3076e-01 8.0547e+00 8.0547e+00 1.4305e-04
  5.4297e+00 1.4305e-04 1.4305e-04 1.4305e-04]]; [1949.4183]
26; [[4.707  3.68   0.     4.77   0.     0.     8.06   7.64   0.4038 6.656
  6.656  0.     4.39   0.     0.     0.    ]]; [1248.7738]
27; [[2.607e-01 9.914e+00 1.431e-04 2.617e-01 1.431e-04 1.431e-04 9.148e+00
  9.820e+00 2.622e-01 7.168e+00 7.168e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [982.03156]
28; [[0.1555 8.61   0.     0.1555 0.     0.     7.73   7.355  0.1545 5.01
  5.01   0.     0.     0.     0.     0.    ]]; [589.1969]
29; [[0.226  9.67   0.     0.2261 0.     0.     7.66   7.613  0.2275 5.
  5.     0.     0.     0.     0.     0.    ]]; [634.06586]
30; [[0.244  7.95   0.     0.2417 0.     0.     7.484  7.49   0.2421 4.23
  4.23   0.     0.     0.     0.     0.    ]]; [570.3551]
31; [[0.3933 8.13   0.     0.3955 0.     0.     9.09   9.12   0.3955 4.777
  4.777  0.     0.     0.     0.     0.    ]]; [787.68353]
32; [[1.704e-01 9.359e+00 1.431e-04 1.713e-01 1.431e-04 1.431e-04 8.977e+00
  8.992e+00 1.721e-01 4.355e+00 4.355e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [761.2607]
33; [[0.2844 6.63   0.     0.2822 0.     0.     7.246  7.258  0.2808 3.475
  3.475  0.     0.     0.     0.     0.    ]]; [506.43384]
34; [[1.2402e-01 7.1367e+00 1.1444e-04 1.2347e-01 1.1444e-04 1.1444e-04
  6.6992e+00 6.7109e+00 1.2286e-01 3.1836e+00 3.1836e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [442.94507]
35; [[0.3682 6.58   0.     0.3687 0.     0.     7.3    7.387  0.3691 3.844
  3.844  0.     0.     0.     0.     0.    ]]; [534.33026]
36; [[0.1672 9.55   0.     0.1672 0.     0.     8.89   8.82   0.1672 4.227
  4.227  0.     0.     0.     0.     0.    ]]; [740.6431]
