Connecting to host 10.0.0.2, port 5202
[ 22] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 22]   0.00-1.00   sec   537 KBytes  4.39 Mbits/sec    0   72.1 KBytes       
[ 22]   1.00-2.00   sec   382 KBytes  3.14 Mbits/sec    0   87.7 KBytes       
[ 22]   2.00-3.00   sec   255 KBytes  2.08 Mbits/sec    0   96.2 KBytes       
[ 22]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0    102 KBytes       
[ 22]   4.00-5.00   sec   255 KBytes  2.09 Mbits/sec    0    112 KBytes       
[ 22]   5.00-6.00   sec   382 KBytes  3.12 Mbits/sec    0    140 KBytes       
[ 22]   6.00-7.01   sec   573 KBytes  4.68 Mbits/sec    0    191 KBytes       
[ 22]   7.01-8.00   sec   445 KBytes  3.67 Mbits/sec    0    239 KBytes       
[ 22]   8.00-9.00   sec   636 KBytes  5.21 Mbits/sec    0    305 KBytes       
[ 22]   9.00-10.00  sec   764 KBytes  6.25 Mbits/sec    0    393 KBytes       
[ 22]  10.00-11.00  sec  1.06 MBytes  8.87 Mbits/sec    0    526 KBytes       
[ 22]  11.00-12.00  sec   636 KBytes  5.21 Mbits/sec   51    481 KBytes       
[ 22]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   48    430 KBytes       
[ 22]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec   23    430 KBytes       
[ 22]  14.00-15.00  sec  1.12 MBytes  9.38 Mbits/sec    0    440 KBytes       
[ 22]  15.00-16.00  sec   445 KBytes  3.65 Mbits/sec    0    494 KBytes       
[ 22]  16.00-17.00  sec   382 KBytes  3.13 Mbits/sec    0    543 KBytes       
[ 22]  17.00-18.00  sec  63.6 KBytes   521 Kbits/sec    7    526 KBytes       
[ 22]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec   31    382 KBytes       
[ 22]  19.00-20.00  sec   827 KBytes  6.78 Mbits/sec    0    383 KBytes       
[ 22]  20.00-21.00  sec   509 KBytes  4.17 Mbits/sec    0    404 KBytes       
[ 22]  21.00-22.00  sec   382 KBytes  3.13 Mbits/sec    0    428 KBytes       
[ 22]  22.00-23.00  sec   445 KBytes  3.64 Mbits/sec    0    448 KBytes       
[ 22]  23.00-24.00  sec   255 KBytes  2.09 Mbits/sec    0    455 KBytes       
[ 22]  24.00-25.00  sec   191 KBytes  1.56 Mbits/sec    0    458 KBytes       
[ 22]  25.00-26.00  sec   382 KBytes  3.13 Mbits/sec    0    546 KBytes       
[ 22]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0    546 KBytes       
[ 22]  27.00-28.01  sec   509 KBytes  4.15 Mbits/sec    0    546 KBytes       
[ 22]  28.01-29.00  sec  0.00 Bytes  0.00 bits/sec   14    471 KBytes       
[ 22]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec  178    382 KBytes       
[ 22]  30.00-31.00  sec   127 KBytes  1.04 Mbits/sec    0    382 KBytes       
[ 22]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0    390 KBytes       
[ 22]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[ 22]  33.00-34.00  sec   127 KBytes  1.04 Mbits/sec    3   4.24 KBytes       
[ 22]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0   4.24 KBytes       
[ 22]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[ 22]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    3   4.24 KBytes       
[ 22]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    3   4.24 KBytes       
[ 22]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0   4.24 KBytes       
[ 22]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    5   7.07 KBytes       
[ 22]  40.00-41.00  sec  63.6 KBytes   521 Kbits/sec   10   14.1 KBytes       
[ 22]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec   16   22.6 KBytes       
[ 22]  42.00-43.00  sec   127 KBytes  1.04 Mbits/sec   10    134 KBytes       
[ 22]  43.00-44.00  sec  63.6 KBytes   521 Kbits/sec    8    130 KBytes       
[ 22]  44.00-45.00  sec  63.6 KBytes   521 Kbits/sec    6    127 KBytes       
[ 22]  45.00-46.00  sec  63.6 KBytes   521 Kbits/sec    1    124 KBytes       
[ 22]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec    0    136 KBytes       
[ 22]  47.00-48.01  sec  63.6 KBytes   517 Kbits/sec   18   93.3 KBytes       
[ 22]  48.01-49.00  sec  63.6 KBytes   525 Kbits/sec    9   93.3 KBytes       
[ 22]  49.00-50.00  sec  63.6 KBytes   521 Kbits/sec    2   93.3 KBytes       
[ 22]  50.00-51.00  sec   127 KBytes  1.04 Mbits/sec    5    134 KBytes       
[ 22]  51.00-52.00  sec  63.6 KBytes   521 Kbits/sec    0    102 KBytes       
[ 22]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[ 22]  53.00-54.00  sec   573 KBytes  4.69 Mbits/sec   49   97.6 KBytes       
[ 22]  54.00-55.00  sec   127 KBytes  1.04 Mbits/sec    0    113 KBytes       
[ 22]  55.00-56.00  sec   191 KBytes  1.56 Mbits/sec    0    129 KBytes       
[ 22]  56.00-57.00  sec   191 KBytes  1.56 Mbits/sec    0    133 KBytes       
[ 22]  57.00-58.00  sec   127 KBytes  1.04 Mbits/sec    0    134 KBytes       
[ 22]  58.00-59.00  sec   127 KBytes  1.04 Mbits/sec    0    134 KBytes       
[ 22]  59.00-60.00  sec   127 KBytes  1.04 Mbits/sec    0    137 KBytes       
[ 22]  60.00-61.00  sec   127 KBytes  1.04 Mbits/sec    0    144 KBytes       
