Timestep;Transferred Bytes;Bandwidth (Mbps)
3.2;0.0;0.0
3.2;0.0;0.0
3.2;0.0;0.0
4.01;0.0;0.0
5.0;0.0;0.0
6.0;0.0;0.0
7.0;0.0;0.0
8.0;0.0;0.0
9.0;0.0;0.0
10.0;0.0;0.0
11.0;0.0;0.0
12.06;0.0;0.0
13.01;0.0;0.0
14.0;0.0;0.0
15.0;0.0;0.0
16.0;7239.68;0.05615234375
17.01;4341.76;0.0341796875
18.0;14438.4;0.109375
19.04;0.0;0.0
20.0;0.0;0.0
21.04;184320.0;1.53
22.0;0.0;0.0
23.01;65126.4;0.5107421875
24.0;0.0;0.0
25.0;0.0;0.0
26.0;65126.4;0.5068359375
27.01;0.0;0.0
28.01;0.0;0.0
29.01;65126.4;0.51171875
30.0;0.0;0.0
31.0;65126.4;0.5087890625
32.0;130048.0;1.04
33.0;0.0;0.0
34.0;65126.4;0.5087890625
35.0;0.0;0.0
36.0;130048.0;1.04
37.0;65126.4;0.5087890625
38.0;0.0;0.0
39.0;65126.4;0.5087890625
40.0;0.0;0.0
41.0;130048.0;1.04
42.0;130048.0;1.04
43.0;65126.4;0.5087890625
44.0;261120.0;2.08
45.0;325632.0;2.6
46.0;195584.0;1.57
47.0;65126.4;0.5087890625
48.0;0.0;0.0
49.01;130048.0;1.05
50.0;261120.0;2.08
51.0;130048.0;1.04
52.0;130048.0;1.04
53.0;130048.0;1.04
54.0;130048.0;1.04
55.0;130048.0;1.04
56.0;130048.0;1.04
57.0;130048.0;1.04
58.0;261120.0;2.09
59.0;195584.0;1.56
60.0;261120.0;2.09
61.0;325632.0;2.6
62.0;391168.0;3.12
63.0;0.0;0.0
64.0;0.0;0.0
65.0;455680.0;3.65
66.0;130048.0;1.04
67.0;195584.0;1.56
68.0;65126.4;0.509765625
69.0;195584.0;1.56
70.01;65126.4;0.5107421875
71.0;0.0;0.0
72.0;0.0;0.0
73.0;65126.4;0.5087890625
74.0;455680.0;3.65
75.0;0.0;0.0
76.0;0.0;0.0
77.0;65126.4;0.5087890625
78.0;0.0;0.0
79.0;261120.0;2.09
80.0;455680.0;3.64
81.0;0.0;0.0
82.03;0.0;0.0
83.0;65126.4;0.509765625
84.0;0.0;0.0
85.0;0.0;0.0
86.0;0.0;0.0
87.0;0.0;0.0
88.0;0.0;0.0
89.0;0.0;0.0
90.0;0.0;0.0
91.0;195584.0;1.57
92.0;0.0;0.0
93.0;0.0;0.0
94.0;0.0;0.0
95.0;0.0;0.0
96.0;0.0;0.0
97.0;0.0;0.0
98.0;0.0;0.0
99.01;0.0;0.0
100.0;0.0;0.0
101.0;521216.0;4.17
102.0;0.0;0.0
103.0;65126.4;0.5087890625
104.0;0.0;0.0
105.0;0.0;0.0
106.0;0.0;0.0
107.0;0.0;0.0
108.0;0.0;0.0
109.0;65126.4;0.509765625
110.0;0.0;0.0
111.0;261120.0;2.09
112.0;0.0;0.0
113.0;0.0;0.0
114.0;0.0;0.0
115.0;1111490.56;8.86
116.0;391168.0;3.13
117.0;455680.0;3.64
118.0;325632.0;2.61
119.0;521216.0;4.17
120.0;195584.0;1.56
121.0;455680.0;3.65
122.0;261120.0;2.09
123.0;782336.0;6.26
124.0;782336.0;6.25
125.0;65126.4;0.5087890625
126.0;0.0;0.0
127.0;0.0;0.0
128.0;0.0;0.0
129.0;130048.0;1.04
130.0;0.0;0.0
131.0;65126.4;0.509765625
132.0;0.0;0.0
133.0;130048.0;1.04
134.0;65126.4;0.509765625
135.0;0.0;0.0
136.0;1042432.0;8.35
137.0;1237319.68;9.88
138.0;65126.4;0.509765625
139.0;0.0;0.0
140.0;521216.0;4.17
141.0;455680.0;3.65
142.0;455680.0;3.65
143.0;325632.0;2.61
144.0;0.0;0.0
145.0;0.0;0.0
146.0;0.0;0.0
147.0;0.0;0.0
148.0;195584.0;1.56
149.0;0.0;0.0
150.0;1111490.56;8.87
151.0;391168.0;3.13
152.0;651264.0;5.21
153.0;586752.0;4.69
154.0;455680.0;3.65
155.0;651264.0;5.21
156.0;521216.0;4.17
157.0;455680.0;3.65
158.0;586752.0;4.68
159.0;1237319.68;9.89
160.0;782336.0;6.28
161.0;1310720.0;10.5
162.0;1310720.0;10.5
163.0;1310720.0;10.5
164.0;1153433.6;9.21
165.0;0.0;0.0
166.0;0.0;0.0
167.0;846848.0;6.75
168.0;1111490.56;8.9
169.0;65126.4;0.5087890625
170.0;195584.0;1.56
171.0;1300234.24;10.4
172.0;782336.0;6.24
173.0;586752.0;4.67
174.01;455680.0;3.67
175.0;325632.0;2.61
176.0;325632.0;2.6
177.0;261120.0;2.09
178.0;261120.0;2.09
179.0;0.0;0.0
180.0;0.0;0.0
181.0;455680.0;3.65
182.0;1042432.0;8.33
183.0;391168.0;3.13
184.0;455680.0;3.65
185.0;325632.0;2.61
186.0;195584.0;1.56
187.0;391168.0;3.13
188.0;261120.0;2.09
189.0;455680.0;3.65
190.0;261120.0;2.08
191.0;325632.0;2.61
192.0;261120.0;2.09
193.0;195584.0;1.56
194.0;0.0;0.0
195.0;0.0;0.0
196.0;261120.0;2.09
197.0;976896.0;7.82
198.0;455680.0;3.64
199.0;325632.0;2.61
200.0;261120.0;2.08
201.0;261120.0;2.09
202.0;195584.0;1.56
203.0;261120.0;2.08
204.0;261120.0;2.09
205.0;325632.0;2.6
206.0;325632.0;2.61
207.0;0.0;0.0
208.0;0.0;0.0
209.0;195584.0;1.57
210.0;1042432.0;8.33
211.0;325632.0;2.57
212.02;325632.0;2.65
213.0;261120.0;2.09
214.0;325632.0;2.61
215.0;261120.0;2.08
216.0;325632.0;2.61
217.0;261120.0;2.08
218.0;195584.0;1.57
219.0;391168.0;3.12
220.0;195584.0;1.5
221.05;0.0;0.0
222.01;130048.0;1.03
223.02;261120.0;2.01
224.06;195584.0;1.66
225.0;130048.0;1.03
226.01;65126.4;0.5146484375
227.0;0.0;0.0
228.0;0.0;0.0
229.0;521216.0;4.17
230.0;195584.0;1.56
231.0;976896.0;7.81
232.0;391168.0;3.13
233.0;261120.0;2.08
234.0;0.0;0.0
235.0;325632.0;2.61
236.0;1042432.0;8.34
237.0;391168.0;3.13
238.0;325632.0;2.61
239.0;130048.0;1.04
240.0;0.0;0.0
241.0;325632.0;2.61
242.0;651264.0;5.21
243.0;521216.0;4.17
244.0;325632.0;2.61
245.0;195584.0;1.56
246.0;325632.0;2.61
247.0;325632.0;2.6
248.0;261120.0;2.09
249.0;325632.0;2.61
250.0;195584.0;1.56
251.0;391168.0;3.13
252.0;195584.0;1.56
253.0;0.0;0.0
254.0;0.0;0.0
255.0;130048.0;1.04
256.0;782336.0;6.28
257.0;325632.0;2.61
258.0;130048.0;1.04
259.0;325632.0;2.61
260.0;65126.4;0.5087890625
261.0;195584.0;1.56
262.0;325632.0;2.61
263.0;130048.0;1.04
264.0;325632.0;2.61
265.0;65126.4;0.5087890625
266.0;195584.0;1.56
267.0;325632.0;2.61
268.0;65126.4;0.5087890625
269.0;195584.0;1.56
270.0;325632.0;2.61
271.0;65126.4;0.509765625
272.0;130048.0;1.04
273.01;195584.0;1.57
274.0;65126.4;0.509765625
275.0;0.0;0.0
276.0;0.0;0.0
277.0;0.0;0.0
278.0;0.0;0.0
279.0;0.0;0.0
280.0;0.0;0.0
281.0;0.0;0.0
282.0;195584.0;1.56
283.0;130048.0;1.04
284.0;130048.0;1.04
285.0;0.0;0.0
286.0;1310720.0;10.5
287.0;709632.0;5.68
288.0;261120.0;2.08
289.0;455680.0;3.65
290.0;0.0;0.0
291.0;0.0;0.0
292.0;0.0;0.0
293.0;1111490.56;8.85
294.0;455680.0;3.65
295.0;391168.0;3.13
296.0;325632.0;2.6
297.0;391168.0;3.13
298.0;325632.0;2.61
299.0;325632.0;2.61
300.0;455680.0;3.64
301.0;261120.0;2.09
302.0;455680.0;3.65
303.0;261120.0;2.09
304.0;0.0;0.0
305.0;0.0;0.0
306.0;651264.0;5.21
307.0;0.0;0.0
308.0;976896.0;7.81
309.0;586752.0;4.69
310.0;391168.0;3.13
311.0;130048.0;1.04
312.0;391168.0;3.13
313.0;130048.0;1.04
314.0;325632.0;2.61
315.0;261120.0;2.09
316.0;261120.0;2.08
317.0;325632.0;2.61
318.0;261120.0;2.09
319.0;261120.0;2.09
320.0;261120.0;2.09
321.0;261120.0;2.08
322.0;261120.0;2.07
323.01;130048.0;1.05
324.0;325632.0;2.61
325.0;0.0;0.0
326.0;0.0;0.0
327.0;0.0;0.0
328.0;0.0;0.0
329.0;0.0;0.0
330.0;130048.0;1.04
331.0;325632.0;2.61
332.0;1300234.24;10.4
333.0;976896.0;7.83
334.0;261120.0;2.08
335.0;261120.0;2.09
336.0;0.0;0.0
337.0;0.0;0.0
338.0;0.0;0.0
339.0;0.0;0.0
340.0;0.0;0.0
341.0;65126.4;0.509765625
342.0;65126.4;0.5087890625
343.0;195584.0;1.57
344.0;1310720.0;10.5
345.0;578560.0;4.62
346.0;586752.0;4.7
347.0;0.0;0.0
348.0;651264.0;5.21
349.0;0.0;0.0
350.0;716800.0;5.73
351.0;0.0;0.0
352.0;521216.0;4.17
353.0;130048.0;1.04
354.0;0.0;0.0
355.0;0.0;0.0
356.01;0.0;0.0
357.0;0.0;0.0
358.0;0.0;0.0
359.0;0.0;0.0
360.0;0.0;0.0
361.0;0.0;0.0
362.0;0.0;0.0
363.0;0.0;0.0
364.0;0.0;0.0
365.0;0.0;0.0
366.0;0.0;0.0
367.0;0.0;0.0
368.0;0.0;0.0
369.0;0.0;0.0
370.0;0.0;0.0
371.0;0.0;0.0
372.0;0.0;0.0
373.0;846848.0;6.78
374.0;1111490.56;8.86
375.0;325632.0;2.61
376.0;0.0;0.0
377.0;0.0;0.0
378.0;0.0;0.0
379.0;0.0;0.0
380.0;0.0;0.0
381.0;0.0;0.0
382.02;0.0;0.0
383.0;0.0;0.0
384.0;0.0;0.0
385.0;0.0;0.0
386.0;651264.0;5.21
387.0;0.0;0.0
388.0;0.0;0.0
389.0;0.0;0.0
390.0;0.0;0.0
391.0;0.0;0.0
392.0;0.0;0.0
393.0;0.0;0.0
394.0;261120.0;2.08
395.0;455680.0;3.65
396.0;0.0;0.0
397.0;0.0;0.0
398.0;0.0;0.0
399.0;0.0;0.0
400.0;0.0;0.0
401.0;0.0;0.0
402.0;0.0;0.0
403.0;65126.4;0.5087890625
404.0;0.0;0.0
405.0;130048.0;1.04
406.0;0.0;0.0
407.0;0.0;0.0
408.0;0.0;0.0
409.0;65126.4;0.5068359375
410.01;0.0;0.0
411.0;0.0;0.0
412.0;0.0;0.0
413.0;130048.0;1.04
414.0;846848.0;6.77
415.0;455680.0;3.65
416.0;261120.0;2.09
417.0;195584.0;1.56
418.0;325632.0;2.61
419.0;195584.0;1.56
420.0;195584.0;1.56
421.0;195584.0;1.56
422.0;261120.0;2.09
423.0;261120.0;2.08
424.0;65126.4;0.509765625
425.0;455680.0;3.65
426.0;65126.4;0.509765625
427.0;195584.0;1.56
428.0;391168.0;3.13
429.0;0.0;0.0
430.0;0.0;0.0
431.0;0.0;0.0
432.0;0.0;0.0
433.0;0.0;0.0
434.0;0.0;0.0
435.0;0.0;0.0
436.0;1111490.56;8.87
437.0;1310720.0;10.5
