Step; State; Reward
1; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
2; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
3; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
4; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
5; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
6; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
7; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
8; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
9; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
10; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
11; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
12; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
13; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
14; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
15; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
16; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
17; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
18; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
19; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
20; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
21; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
22; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
23; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
24; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
25; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
26; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
27; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
28; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
29; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
30; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
31; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
32; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
33; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
34; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
35; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
36; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
37; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
38; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
39; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
