Connecting to host 10.0.0.2, port 5205
[ 22] local 10.0.0.1 port 46118 connected to 10.0.0.2 port 5205
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 22]   0.00-1.00   sec  87.7 KBytes   718 Kbits/sec    5   2.83 KBytes       
[ 22]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    0   2.83 KBytes       
[ 22]   2.00-3.00   sec  2.83 KBytes  23.1 Kbits/sec    0   4.24 KBytes       
[ 22]   3.00-4.00   sec  4.24 KBytes  34.7 Kbits/sec    0   7.07 KBytes       
[ 22]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[ 22]   5.00-6.00   sec  7.07 KBytes  58.0 Kbits/sec    0   9.90 KBytes       
[ 22]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec    0   9.90 KBytes       
[ 22]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    0   9.90 KBytes       
[ 22]   8.00-9.00   sec  2.83 KBytes  23.1 Kbits/sec    0   11.3 KBytes       
[ 22]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0   11.3 KBytes       
[ 22]  10.00-11.01  sec  0.00 Bytes  0.00 bits/sec    0   11.3 KBytes       
[ 22]  11.01-12.00  sec  53.7 KBytes   446 Kbits/sec    0   17.0 KBytes       
[ 22]  12.00-13.01  sec  0.00 Bytes  0.00 bits/sec    0   17.0 KBytes       
[ 22]  13.01-14.01  sec  0.00 Bytes  0.00 bits/sec    0   17.0 KBytes       
[ 22]  14.01-15.00  sec  0.00 Bytes  0.00 bits/sec    0   17.0 KBytes       
[ 22]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    0   17.0 KBytes       
[ 22]  16.00-17.00  sec  17.0 KBytes   139 Kbits/sec    0   25.5 KBytes       
[ 22]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0   25.5 KBytes       
[ 22]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0   25.5 KBytes       
[ 22]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0   25.5 KBytes       
[ 22]  20.00-21.00  sec  4.24 KBytes  34.7 Kbits/sec    0   33.9 KBytes       
[ 22]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0   33.9 KBytes       
[ 22]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0   33.9 KBytes       
[ 22]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0   33.9 KBytes       
[ 22]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0   33.9 KBytes       
[ 22]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    0   33.9 KBytes       
[ 22]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0   33.9 KBytes       
