Timestep;Transferred Bytes;Bandwidth (Mbps)
0.0;83968.0;0.65625
1.0;14438.4;0.11328125
2.0;0.0;0.0
3.0;220160.0;1.76
4.0;7239.68;0.05654296875
5.0;65126.4;0.5087890625
6.0;0.0;0.0
7.0;0.0;0.0
8.0;0.0;0.0
9.0;0.0;0.0
10.0;65126.4;0.5087890625
11.0;0.0;0.0
12.0;0.0;0.0
13.0;65126.4;0.5087890625
14.0;0.0;0.0
15.0;65126.4;0.5087890625
16.0;0.0;0.0
17.0;0.0;0.0
18.0;0.0;0.0
19.0;0.0;0.0
20.0;130048.0;1.04
21.0;0.0;0.0
22.0;0.0;0.0
23.0;0.0;0.0
24.0;0.0;0.0
25.0;0.0;0.0
26.0;0.0;0.0
27.0;0.0;0.0
28.0;65126.4;0.5087890625
29.0;130048.0;1.04
30.0;0.0;0.0
31.0;0.0;0.0
32.0;65126.4;0.5087890625
33.0;195584.0;1.57
34.0;325632.0;2.61
35.0;455680.0;3.65
36.0;0.0;0.0
37.0;0.0;0.0
38.0;261120.0;2.08
39.0;130048.0;1.04
40.0;0.0;0.0
41.0;130048.0;1.04
42.0;0.0;0.0
43.0;261120.0;2.09
44.0;65126.4;0.5087890625
45.0;0.0;0.0
46.0;130048.0;1.04
47.0;0.0;0.0
48.0;65126.4;0.5087890625
49.0;65126.4;0.5087890625
50.0;0.0;0.0
51.0;130048.0;1.04
52.0;0.0;0.0
53.0;0.0;0.0
54.0;0.0;0.0
55.0;65126.4;0.5087890625
56.0;65126.4;0.509765625
57.0;0.0;0.0
58.0;65126.4;0.5087890625
59.0;0.0;0.0
60.0;0.0;0.0
61.0;0.0;0.0
62.0;65126.4;0.509765625
63.0;0.0;0.0
64.0;0.0;0.0
65.0;0.0;0.0
66.0;0.0;0.0
67.0;65126.4;0.509765625
68.0;0.0;0.0
69.0;0.0;0.0
70.0;65126.4;0.5087890625
71.0;0.0;0.0
72.0;0.0;0.0
73.0;0.0;0.0
74.0;0.0;0.0
75.0;0.0;0.0
76.0;0.0;0.0
77.0;0.0;0.0
78.0;0.0;0.0
79.0;0.0;0.0
80.0;65126.4;0.5087890625
81.0;0.0;0.0
82.0;0.0;0.0
83.0;0.0;0.0
84.0;0.0;0.0
85.0;65126.4;0.5087890625
86.0;65126.4;0.5087890625
87.0;65126.4;0.5087890625
88.0;65126.4;0.5087890625
89.0;0.0;0.0
90.0;65126.4;0.509765625
91.0;65126.4;0.5087890625
92.0;0.0;0.0
93.0;65126.4;0.5087890625
94.0;65126.4;0.5087890625
95.0;0.0;0.0
96.0;261120.0;2.09
97.0;65126.4;0.5087890625
98.0;0.0;0.0
99.0;0.0;0.0
100.0;65126.4;0.509765625
101.0;261120.0;2.08
102.0;65126.4;0.5087890625
103.0;325632.0;2.6
104.0;130048.0;1.04
105.0;130048.0;1.04
106.0;261120.0;2.08
107.0;130048.0;1.04
108.0;130048.0;1.04
109.0;0.0;0.0
110.0;130048.0;1.04
111.0;0.0;0.0
112.0;130048.0;1.04
113.0;65126.4;0.5087890625
114.0;716800.0;5.74
115.0;65126.4;0.5087890625
116.0;1111490.56;8.86
117.0;0.0;0.0
118.0;0.0;0.0
119.0;0.0;0.0
120.0;0.0;0.0
121.0;391168.0;3.13
122.0;130048.0;1.04
123.0;0.0;0.0
124.0;65126.4;0.5087890625
125.0;782336.0;6.25
126.0;195584.0;1.56
127.0;130048.0;1.04
128.0;65126.4;0.5087890625
129.0;130048.0;1.04
130.0;130048.0;1.04
131.0;65126.4;0.5087890625
132.0;130048.0;1.04
133.0;195584.0;1.56
134.0;130048.0;1.04
135.0;0.0;0.0
136.0;0.0;0.0
137.0;0.0;0.0
138.0;0.0;0.0
139.0;65126.4;0.5087890625
140.0;0.0;0.0
141.0;0.0;0.0
142.0;195584.0;1.56
143.0;586752.0;4.7
144.0;586752.0;4.69
145.0;586752.0;4.69
146.0;586752.0;4.69
147.0;651264.0;5.21
148.0;716800.0;5.74
149.0;586752.0;4.69
150.0;521216.0;4.17
151.0;455680.0;3.65
152.0;455680.0;3.65
153.0;195584.0;1.56
154.0;195584.0;1.56
155.0;130048.0;1.04
156.0;65126.4;0.509765625
157.0;0.0;0.0
158.0;0.0;0.0
159.0;0.0;0.0
160.0;0.0;0.0
161.0;0.0;0.0
162.0;0.0;0.0
163.0;0.0;0.0
164.0;0.0;0.0
165.0;0.0;0.0
166.0;0.0;0.0
167.0;65126.4;0.509765625
168.0;0.0;0.0
169.0;0.0;0.0
170.0;0.0;0.0
171.0;0.0;0.0
172.0;0.0;0.0
173.0;0.0;0.0
174.0;0.0;0.0
175.0;0.0;0.0
176.0;716800.0;5.73
177.0;130048.0;1.04
178.0;65126.4;0.5087890625
179.0;0.0;0.0
180.0;130048.0;1.04
181.0;0.0;0.0
182.0;0.0;0.0
183.0;0.0;0.0
184.0;0.0;0.0
185.0;0.0;0.0
186.0;0.0;0.0
187.0;0.0;0.0
188.0;65126.4;0.5087890625
189.0;521216.0;4.17
190.0;65126.4;0.5087890625
191.0;130048.0;1.04
192.0;130048.0;1.04
193.0;65126.4;0.5087890625
194.0;65126.4;0.509765625
195.0;130048.0;1.04
196.0;0.0;0.0
197.0;0.0;0.0
198.0;0.0;0.0
199.0;0.0;0.0
200.0;130048.0;1.04
201.0;65126.4;0.5087890625
202.0;65126.4;0.5087890625
203.0;195584.0;1.56
204.0;130048.0;1.04
205.0;391168.0;3.13
206.0;130048.0;1.04
207.0;0.0;0.0
208.0;65126.4;0.5087890625
209.0;65126.4;0.5087890625
210.0;0.0;0.0
211.0;0.0;0.0
212.0;0.0;0.0
213.0;65126.4;0.5087890625
214.0;65126.4;0.5087890625
215.0;65126.4;0.509765625
216.0;65126.4;0.5087890625
217.0;65126.4;0.5087890625
218.0;130048.0;1.04
219.0;0.0;0.0
220.0;65126.4;0.509765625
221.0;65126.4;0.5087890625
222.0;0.0;0.0
223.0;65126.4;0.5087890625
224.0;65126.4;0.509765625
225.0;0.0;0.0
226.0;0.0;0.0
227.0;0.0;0.0
228.0;0.0;0.0
229.0;0.0;0.0
230.0;65126.4;0.5087890625
231.0;0.0;0.0
232.0;0.0;0.0
233.0;0.0;0.0
234.0;261120.0;2.08
235.0;130048.0;1.04
236.0;65126.4;0.509765625
237.0;65126.4;0.5087890625
238.0;65126.4;0.5087890625
239.0;0.0;0.0
240.0;130048.0;1.04
241.0;65126.4;0.5087890625
242.0;65126.4;0.5087890625
243.0;0.0;0.0
244.0;65126.4;0.5087890625
245.0;65126.4;0.5087890625
246.0;130048.0;1.04
247.0;391168.0;3.13
248.0;195584.0;1.56
249.0;391168.0;3.13
250.0;65126.4;0.5087890625
251.0;0.0;0.0
252.0;0.0;0.0
253.0;0.0;0.0
254.0;0.0;0.0
255.0;325632.0;2.61
256.0;0.0;0.0
257.0;261120.0;2.09
258.0;0.0;0.0
259.0;65126.4;0.5087890625
260.0;0.0;0.0
261.0;0.0;0.0
262.0;0.0;0.0
263.0;0.0;0.0
264.0;0.0;0.0
265.0;0.0;0.0
266.0;130048.0;1.04
267.0;65126.4;0.5087890625
268.0;195584.0;1.57
269.0;130048.0;1.04
270.0;65126.4;0.509765625
271.0;0.0;0.0
272.0;0.0;0.0
273.0;261120.0;2.08
274.0;195584.0;1.57
275.0;65126.4;0.5087890625
276.0;455680.0;3.65
277.0;391168.0;3.13
278.0;521216.0;4.17
279.0;391168.0;3.13
280.0;325632.0;2.61
281.0;325632.0;2.61
282.0;325632.0;2.61
283.0;391168.0;3.13
284.0;391168.0;3.13
285.0;521216.0;4.17
286.0;651264.0;5.22
287.0;391168.0;3.13
288.0;391168.0;3.13
289.0;325632.0;2.61
290.0;325632.0;2.61
291.0;391168.0;3.13
292.0;360448.0;2.88
293.0;338944.0;2.71
294.0;0.0;0.0
295.01;0.0;0.0
296.01;142336.0;1.14
297.0;591872.0;4.74
298.0;272384.0;2.18
299.0;621568.0;4.93
300.01;817152.0;6.57
301.0;1090519.04;8.72
302.0;1027072.0;8.22
303.0;544768.0;4.35
304.0;621568.0;4.97
305.0;479232.0;3.83
306.0;544768.0;4.35
307.0;413696.0;3.32
308.0;479232.0;3.83
309.0;349184.0;2.79
310.0;479232.0;3.83
311.0;272384.0;2.18
312.0;272384.0;2.18
313.0;505856.0;4.04
314.0;336896.0;2.7
315.0;76697.6;0.599609375
316.0;76697.6;0.599609375
317.0;502784.0;4.02
318.0;336896.0;2.7
319.0;609280.0;4.88
320.0;181248.0;1.45
321.0;272384.0;2.18
322.0;28979.2;0.2255859375
323.0;275456.0;2.21
324.0;530432.0;4.24
325.0;280576.0;2.25
326.0;293888.0;2.35
327.0;296960.0;2.38
328.0;530432.0;4.24
329.0;369664.0;2.95
330.0;315392.0;2.53
331.0;265216.0;2.12
332.0;269312.0;2.15
333.0;13004.8;0.1015625
334.0;142336.0;1.13
335.0;392192.0;3.14
336.0;0.0;0.0
337.0;0.0;0.0
338.0;524288.0;4.19
339.0;65126.4;0.5087890625
340.0;261120.0;2.09
341.0;325632.0;2.61
342.0;65126.4;0.5087890625
343.0;261120.0;2.09
344.0;130048.0;1.04
345.0;325632.0;2.61
346.0;261120.0;2.08
347.0;325632.0;2.61
348.0;325632.0;2.6
349.0;261120.0;2.08
350.0;261120.0;2.09
351.0;261120.0;2.07
352.01;195584.0;1.57
353.0;261120.0;2.09
354.0;261120.0;2.08
355.0;195584.0;1.56
356.0;521216.0;4.17
357.0;130048.0;1.04
358.0;846848.0;6.78
359.0;325632.0;2.61
360.0;586752.0;4.69
361.0;130048.0;1.04
362.0;0.0;0.0
363.0;0.0;0.0
364.0;0.0;0.0
365.0;0.0;0.0
366.0;0.0;0.0
367.0;0.0;0.0
368.0;1824522.24;14.6
369.0;325632.0;2.6
370.0;325632.0;2.61
371.0;0.0;0.0
372.0;65126.4;0.5087890625
373.0;455680.0;3.65
374.0;0.0;0.0
375.0;0.0;0.0
376.0;0.0;0.0
377.0;0.0;0.0
378.0;0.0;0.0
379.0;0.0;0.0
380.0;0.0;0.0
381.0;0.0;0.0
382.0;0.0;0.0
383.0;0.0;0.0
384.0;0.0;0.0
385.0;0.0;0.0
386.0;65126.4;0.5087890625
387.0;130048.0;1.04
388.0;846848.0;6.77
389.0;0.0;0.0
390.0;2736783.36;21.9
391.0;976896.0;7.81
392.0;912384.0;7.3
393.0;1042432.0;8.34
394.0;846848.0;6.77
395.0;976896.0;7.81
396.0;65126.4;0.509765625
397.0;3323985.92;26.6
398.0;1111490.56;8.86
399.0;1310720.0;10.5
400.0;1310720.0;10.5
401.0;1310720.0;10.5
402.0;2516582.4;20.2
403.0;1310720.0;10.5
404.0;1310720.0;10.5
405.0;1226833.92;9.78
406.0;846848.0;6.78
407.0;65126.4;0.5087890625
408.0;0.0;0.0
409.0;0.0;0.0
410.0;0.0;0.0
411.0;0.0;0.0
412.0;0.0;0.0
413.0;0.0;0.0
414.0;0.0;0.0
415.0;0.0;0.0
416.0;0.0;0.0
417.0;195584.0;1.56
418.0;195584.0;1.56
419.0;130048.0;1.04
420.0;195584.0;1.56
421.0;195584.0;1.56
422.0;325632.0;2.61
423.0;261120.0;2.09
424.0;325632.0;2.6
425.0;0.0;0.0
426.0;0.0;0.0
427.0;65126.4;0.5087890625
428.0;130048.0;1.04
429.0;195584.0;1.56
430.0;130048.0;1.04
431.0;1042432.0;8.34
432.0;195584.0;1.56
433.0;391168.0;3.13
434.0;325632.0;2.61
435.0;391168.0;3.13
436.0;455680.0;3.65
437.0;261120.0;2.09
438.0;261120.0;2.09
439.0;586752.0;4.69
440.0;0.0;0.0
441.0;325632.0;2.61
442.0;195584.0;1.56
443.0;0.0;0.0
444.0;0.0;0.0
445.0;0.0;0.0
446.0;0.0;0.0
447.0;0.0;0.0
448.0;0.0;0.0
449.0;0.0;0.0
