Step; State; Reward
1; [[0.408447265625, 11.921875, 0.0, 0.408447265625, 0.0, 0.0, 11.8515625, 11.7734375, 0.408203125, 11.7734375, 11.7734375, 0.0, 0.0, 0.0, 0.0, 0.0]]; [1520.3286]
2; [[0.259765625, 12.1328125, 0.0, 0.259765625, 0.0, 0.0, 11.8515625, 11.8515625, 0.259765625, 11.8515625, 11.8515625, 0.0, 0.0, 0.0, 0.0, 0.0]]; [1542.0995]
3; [[0.40966796875, 9.5234375, 0.0, 0.40966796875, 0.0, 0.0, 9.453125, 9.4453125, 0.409912109375, 9.4453125, 9.4453125, 0.0, 0.0, 0.0, 0.0, 0.0]]; [997.1187]
4; [[0.46826171875, 11.2109375, 0.0, 0.467529296875, 0.0, 0.0, 11.765625, 11.7734375, 0.4677734375, 11.7734375, 11.7734375, 0.0, 0.0, 0.0, 0.0, 0.0]]; [1502.7914]
5; [[0.26025390625, 12.0625, 0.0, 0.260986328125, 0.0, 0.0, 11.859375, 11.8828125, 0.260986328125, 11.8828125, 11.8828125, 0.0, 0.0, 0.0, 0.0, 0.0]]; [1545.9608]
6; [[0.21728515625, 10.5234375, 0.0, 0.21728515625, 0.0, 0.0, 9.453125, 9.46875, 0.21728515625, 9.46875, 9.46875, 0.0, 0.0, 0.0, 0.0, 0.0]]; [1020.8023]
7; [[0.52783203125, 11.3828125, 0.0, 0.5283203125, 0.0, 0.0, 11.8203125, 11.828125, 0.5283203125, 11.828125, 11.828125, 0.0, 0.0, 0.0, 0.0, 0.0]]; [1518.498]
8; [[0.259521484375, 12.40625, 0.0, 0.259765625, 0.0, 0.0, 11.828125, 11.8515625, 0.259765625, 11.8515625, 11.8515625, 0.0, 0.0, 0.0, 0.0, 0.0]]; [1546.891]
9; [[0.2098388671875, 9.6328125, 0.00011444091796875, 0.209716796875, 0.00011444091796875, 0.00011444091796875, 9.484375, 9.5, 0.209716796875, 8.53125, 8.53125, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875]]; [972.1074]
10; [[0.33837890625, 12.890625, 0.0, 0.33837890625, 0.0, 0.0, 11.859375, 11.859375, 0.33837890625, 8.6171875, 8.6171875, 0.0, 0.0, 0.0, 0.0, 0.0]]; [1407.8451]
11; [[0.40625, 8.6484375, 0.00011444091796875, 0.406005859375, 0.00011444091796875, 0.00011444091796875, 9.4921875, 9.5, 0.406005859375, 7.01953125, 7.01953125, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875]]; [896.5847]
12; [[0.204345703125, 9.7109375, 0.0, 0.204345703125, 0.0, 0.0, 9.4453125, 9.3125, 0.204345703125, 6.5, 6.5, 0.0, 0.0, 0.0, 0.0, 0.0]]; [875.019]
13; [[0.361328125, 9.6953125, 0.00011444091796875, 0.361083984375, 0.00011444091796875, 0.00011444091796875, 9.4921875, 9.4921875, 0.361083984375, 6.578125, 6.578125, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875]]; [898.65137]
14; [[0.321044921875, 10.15625, 0.0, 0.32080078125, 0.0, 0.0, 9.4765625, 9.4765625, 0.32080078125, 6.83984375, 6.83984375, 0.0, 0.0, 0.0, 0.0, 0.0]]; [914.9442]
15; [[0.211669921875, 9.8125, 0.00011444091796875, 0.2115478515625, 0.00011444091796875, 0.00011444091796875, 9.4453125, 9.4296875, 0.2115478515625, 6.375, 6.375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875]]; [885.6368]
16; [[4.23828125, 10.3984375, 5.04296875, 4.31640625, 0.0, 0.0, 11.8203125, 12.7421875, 4.5546875, 6.0234375, 11.6171875, 0.0, 0.0, 4.1796875, 0.0, 0.0]]; [1985.4357]
17; [[11.4296875, 14.8046875, 10.7734375, 11.6015625, 0.0001430511474609375, 0.0001430511474609375, 11.6328125, 23.109375, 12.03125, 5.7890625, 17.265625, 0.0001430511474609375, 0.0001430511474609375, 11.3125, 0.0001430511474609375, 0.0001430511474609375]]; [6137.3984]
18; [[9.9296875, 9.734375, 9.5859375, 10.3671875, 0.0, 0.0, 10.7578125, 19.578125, 10.140625, 4.76953125, 14.0, 0.0, 0.0, 9.28125, 0.0, 0.0]]; [4353.1147]
19; [[11.71875, 12.046875, 11.015625, 11.734375, 0.0001430511474609375, 0.0001430511474609375, 11.6953125, 23.0, 11.8046875, 6.4296875, 17.703125, 0.0001430511474609375, 0.0001430511474609375, 11.296875, 0.0001430511474609375, 0.0001430511474609375]]; [6044.3545]
