Step; State; Reward
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[0.1658  5.418   0.      0.11096 0.      0.      5.19    5.098   0.11163
  5.094   5.094   0.      0.      0.      0.      0.     ]]; [330.5532]
3; [[ 0.3    11.81    0.      0.3005  0.      0.      9.47    9.47    0.3
   9.02    9.02    0.      0.      0.      0.      0.    ]]; [1061.129]
4; [[0.536 8.83  0.    0.536 0.    0.    9.47  9.48  0.536 8.97  8.97  0.
  0.    0.    0.    0.   ]]; [1025.6085]
5; [[ 0.438  12.38    0.      0.4385  0.      0.     11.836  11.836   0.4385
  10.83   10.83    0.      0.      0.      0.      0.    ]]; [1552.3643]
6; [[0.4194 9.375  0.     0.4194 0.     0.     9.484  9.305  0.4194 8.27
  8.27   0.     0.     0.     0.     0.    ]]; [976.9499]
7; [[ 0.5693 11.75    0.      0.5693  0.      0.     11.89   11.89    0.5693
  10.31   10.31    0.      0.      0.      0.      0.    ]]; [1536.0475]
8; [[ 0.3457 10.77    0.      0.346   0.      0.     14.71   11.88    0.346
  10.4    10.4     0.      2.816   0.      0.      0.    ]]; [1614.1376]
9; [[5.8594e-01 7.0703e+00 1.1444e-04 5.9131e-01 1.1444e-04 1.1444e-04
  1.2344e+01 9.4844e+00 5.9131e-01 8.4375e+00 8.4375e+00 1.1444e-04
  4.2031e+00 1.1444e-04 1.1444e-04 1.1444e-04]]; [1107.3591]
10; [[ 0.602   3.316   0.      0.6387  0.      0.     10.89    9.51    0.6157
   8.97    8.97    0.      7.574   0.      0.      0.    ]]; [1096.7288]
11; [[5.7715e-01 1.5596e+00 1.1444e-04 5.7666e-01 1.1444e-04 1.1444e-04
  8.1172e+00 9.5000e+00 5.7715e-01 9.1016e+00 9.1016e+00 1.1444e-04
  6.5586e+00 1.1444e-04 1.1444e-04 1.1444e-04]]; [986.58356]
12; [[0.398 7.56  0.    0.398 0.    0.    7.46  9.49  0.398 8.836 8.836 0.
  0.485 0.    0.    0.   ]]; [943.3968]
13; [[2.1228e-01 1.0906e+01 1.1444e-04 2.1118e-01 1.1444e-04 1.1444e-04
  9.4766e+00 9.4531e+00 2.1130e-01 8.7578e+00 8.7578e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [1021.29767]
14; [[ 3.871   7.16    0.      3.871   0.      0.     12.23    9.51    0.4956
   8.75    8.75    0.      3.37    0.      0.      0.    ]]; [1645.9058]
15; [[4.6016e+00 6.5508e+00 1.1444e-04 4.6055e+00 1.1444e-04 1.1444e-04
  1.1141e+01 9.4766e+00 5.6299e-01 8.9844e+00 8.9844e+00 1.1444e-04
  4.0469e+00 1.1444e-04 1.1444e-04 1.1444e-04]]; [1756.8423]
16; [[ 9.26    5.938   0.      9.266   0.      0.     14.5    11.87    0.7065
  11.516  11.516   0.      8.12    0.      0.439   0.    ]]; [3632.6743]
17; [[1.1773e+01 1.5488e+00 1.4305e-04 1.2070e+01 1.4305e-04 1.4305e-04
  1.2875e+01 1.1883e+01 7.4512e-01 1.1805e+01 1.1805e+01 1.4305e-04
  8.8516e+00 1.4305e-04 2.4785e+00 1.4305e-04]]; [4192.1997]
18; [[9.47  0.716 0.    9.305 0.    0.    9.4   9.516 0.625 8.875 8.875 0.
  6.98  0.    1.691 0.   ]]; [2585.0852]
19; [[5.6406e+00 3.8984e+00 1.1444e-04 5.6250e+00 1.1444e-04 1.1444e-04
  9.0078e+00 9.5078e+00 4.9048e-01 8.5469e+00 8.5469e+00 1.1444e-04
  5.1250e+00 1.1444e-04 1.1444e-04 1.1444e-04]]; [1814.653]
20; [[ 6.28   4.957  0.     6.285  0.     0.    10.87   9.5    0.398  8.59
   8.59   0.     5.895  0.     0.     0.   ]]; [2051.177]
21; [[3.4692e-01 1.1555e+01 1.4305e-04 3.4473e-01 1.4305e-04 1.4305e-04
  1.0594e+01 1.1898e+01 3.4473e-01 1.0000e+01 1.0000e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1457.8066]
22; [[ 0.26  15.41   0.     0.262  0.     0.    11.81  11.85   0.262  9.48
   9.48   0.     0.     0.     0.     0.   ]]; [1538.9489]
23; [[4.3188e-01 9.4688e+00 1.1444e-04 4.3066e-01 1.1444e-04 1.1444e-04
  9.4766e+00 9.5078e+00 4.3066e-01 7.5000e+00 7.5000e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [973.2986]
24; [[ 2.725  10.84    0.      2.725   0.      0.     14.2    11.88    0.3328
   9.88    9.88    0.      2.4     0.      0.      0.    ]]; [2002.8385]
25; [[ 3.28   7.855  0.     3.28   0.     0.    11.83   9.516  0.502  8.39
   8.39   0.     2.777  0.     0.     0.   ]]; [1517.8871]
26; [[ 3.64    6.914   0.      3.66    0.      0.     10.51   11.88    0.5806
  11.44    9.15    0.      3.078   0.      0.      0.    ]]; [1995.473]
