Step; State; Reward
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[9.992e+00 5.090e+00 1.431e-04 9.930e+00 3.014e-04 1.431e-04 1.456e+01
  1.148e+01 5.298e-01 1.148e+01 1.148e+01 1.431e-04 1.431e-04 1.431e-04
  9.305e+00 1.431e-04]]; [3748.492]
3; [[ 9.88   3.87   0.     9.88   0.     0.    13.06  11.625  0.683 11.625
  11.625  0.     0.     0.     9.2    0.   ]]; [3646.5938]
4; [[9.5156e+00 1.0693e+00 1.1444e-04 1.8359e+01 1.1444e-04 1.1444e-04
  1.8844e+01 9.5234e+00 5.8936e-01 9.5234e+00 9.5234e+00 1.1444e-04
  8.8906e+00 1.1444e-04 8.8984e+00 1.1444e-04]]; [3718.6243]
5; [[ 9.516   0.1941  0.     12.73    0.      0.     12.33    9.52    0.5913
   9.52    9.52    0.      2.701   0.      9.43    0.    ]]; [3017.6626]
6; [[11.875  1.179  0.    12.22   0.     0.    12.664 11.88   0.735 11.88
  11.88   0.     0.     0.    11.484  0.   ]]; [4232.1978]
7; [[9.5    0.782  0.     9.484  0.     0.     9.69   9.5    0.5825 9.5
  9.5    0.     0.     0.     8.9    0.    ]]; [2683.0762]
8; [[11.89    0.9165  0.     11.97    0.      0.     12.16   11.89    0.7314
  11.89   11.89    0.      0.      0.     11.234   0.    ]]; [4157.819]
9; [[11.734  1.351  0.    11.8    0.     0.    12.39  11.89   0.759 11.89
  11.89   0.     0.     0.    11.02   0.   ]]; [4155.199]
10; [[ 9.445   1.511   0.8955  9.875   0.      0.      9.85   10.39    1.533
   9.484  10.39    0.      0.      0.9033  8.336   0.    ]]; [2948.5435]
11; [[ 8.53 11.52  8.62  8.42  0.    0.    9.26 16.94  8.66  8.68 16.94  0.
   0.    8.76  0.    0.  ]]; [5568.2266]
12; [[11.48  10.34  13.375 11.5    0.     0.    11.58  23.2   12.5   11.61
  23.2    0.     0.    11.695  0.     0.   ]]; [9948.406]
13; [[9.2500e+00 1.0859e+01 1.1773e+01 9.2188e+00 1.1444e-04 1.1444e-04
  9.2812e+00 1.8547e+01 9.8828e+00 9.2812e+00 1.8547e+01 1.1444e-04
  1.1444e-04 9.2969e+00 1.1444e-04 1.1444e-04]]; [6612.961]
14; [[11.484 14.1    7.703 11.48   0.     0.    11.56  23.14  12.56  11.56
  23.14   0.     0.    11.45   0.     0.   ]]; [9778.473]
15; [[7.5586e+00 1.0141e+01 1.0578e+01 7.0039e+00 1.1444e-04 1.1444e-04
  9.2969e+00 1.5445e+01 6.8242e+00 9.3125e+00 1.5445e+01 1.1444e-04
  1.1444e-04 5.6914e+00 1.1444e-04 1.1444e-04]]; [4615.0146]
16; [[ 8.42   8.93   7.266  9.09   0.     0.     9.24  17.9    9.45   9.18
  17.9    0.     0.     9.28   0.     0.   ]]; [5776.8096]
17; [[1.1125e+01 1.6234e+01 9.1172e+00 1.0242e+01 1.4305e-04 1.4305e-04
  1.1594e+01 2.0812e+01 9.8750e+00 1.1602e+01 2.0812e+01 1.4305e-04
  1.4305e-04 8.2734e+00 1.4305e-04 1.4305e-04]]; [8477.677]
18; [[ 9.19  13.07   4.92   9.26   0.     0.     9.31  18.64   9.914  9.34
  18.64   0.     0.     8.99   0.     0.   ]]; [6357.8237]
19; [[2.3496e+00 1.8000e+01 1.4305e-04 2.1973e+00 1.4305e-04 1.4305e-04
  1.2195e+01 1.1828e+01 6.7969e-01 1.1828e+01 1.1828e+01 1.4305e-04
  4.8242e-01 1.4305e-04 1.4305e-04 1.4305e-04]]; [2118.2112]
20; [[1.972 5.465 0.    1.972 0.    0.    9.32  9.47  0.588 9.47  9.47  0.
  1.382 0.    0.    0.   ]]; [1201.3755]
21; [[4.4883e+00 7.8594e+00 1.4305e-04 4.4883e+00 1.4305e-04 1.4305e-04
  1.1789e+01 1.1555e+01 6.1768e-01 1.1555e+01 1.1555e+01 1.4305e-04
  3.8672e+00 1.4305e-04 1.4305e-04 1.4305e-04]]; [2283.0874]
22; [[ 3.451   8.484   0.      3.451   0.      0.     10.96    9.52    0.4504
   9.52    9.52    0.      3.004   0.      0.      0.    ]]; [1606.4036]
23; [[3.094e+00 1.009e+01 1.431e-04 3.092e+00 1.431e-04 1.431e-04 1.165e+01
  1.190e+01 5.708e-01 1.190e+01 1.190e+01 1.431e-04 2.521e+00 1.431e-04
  1.431e-04 1.431e-04]]; [2102.3342]
24; [[ 2.531   8.1     0.      2.53    0.      0.     11.09    9.51    0.3174
   9.51    9.51    0.      2.215   0.      0.      0.    ]]; [1420.1676]
25; [[4.7344e+00 1.1008e+01 1.4305e-04 4.7383e+00 1.4305e-04 1.4305e-04
  1.5305e+01 1.1891e+01 4.3994e-01 1.1891e+01 1.1891e+01 1.4305e-04
  4.3047e+00 1.4305e-04 1.4305e-04 1.4305e-04]]; [2652.726]
26; [[1.692 6.785 0.    1.701 0.    0.    7.8   9.51  0.544 9.51  9.51  0.
  1.155 0.    0.    0.   ]]; [1157.531]
27; [[ 0.841  10.64    0.      0.8467  0.      0.      9.94    9.49    0.2484
   9.49    9.49    0.      0.598   0.      0.      0.    ]]; [1127.1011]
28; [[ 1.03  12.41   0.     1.03   0.     0.    12.22  11.836  0.545 11.836
  11.836  0.     0.485  0.     0.     0.   ]]; [1716.4401]
29; [[ 1.264  10.086   0.      1.278   0.      0.     12.445  11.9     0.7134
  11.9    11.9     0.      0.442   0.      0.1328  0.    ]]; [1718.6079]
30; [[ 4.77     7.535    0.       4.77     0.       0.      11.766    9.516
   0.5405   9.516    9.516    0.       0.03696  0.       4.195    0.     ]]; [1873.9076]
31; [[ 7.96    6.902   0.      8.01    0.      0.     14.234  11.89    0.669
  11.89   11.89    0.      0.1155  0.      7.227   0.    ]]; [3334.971]
32; [[ 7.977   3.426   0.      7.848   0.      0.     10.71    9.516   0.5635
   9.516   9.516   0.      0.      0.      7.285   0.    ]]; [2441.2195]
33; [[ 8.945  3.146  0.     8.94   0.     0.    11.53   9.516  0.558  9.516
   9.516  0.     0.     0.     8.38   0.   ]]; [2712.6938]
34; [[1.0766e+01 2.5723e+00 1.4305e-04 1.1055e+01 1.4305e-04 1.4305e-04
  1.2898e+01 1.1828e+01 7.2900e-01 1.1828e+01 1.1828e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.0320e+01 1.4305e-04]]; [3934.4775]
35; [[ 9.484   1.193   0.      9.84    0.      0.     10.445   9.5     0.5923
   9.05    9.05    0.      0.      0.      9.26    0.    ]]; [2726.61]
36; [[9.5156e+00 1.0117e+00 1.1444e-04 9.9531e+00 1.1444e-04 1.1444e-04
  1.0281e+01 9.5156e+00 5.8887e-01 9.2656e+00 9.2656e+00 1.1444e-04
  1.1444e-04 1.1444e-04 9.3672e+00 1.1444e-04]]; [2746.6145]
37; [[8.44   0.5923 0.     7.59   0.     0.     7.543  9.52   0.5894 9.51
  9.51   0.     0.     0.     6.992  0.    ]]; [2284.1587]
38; [[2.5342e-01 1.1109e+01 1.1444e-04 2.5244e-01 1.1444e-04 1.1444e-04
  9.3594e+00 9.3594e+00 2.5244e-01 2.0449e+00 2.0449e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [758.0836]
39; [[ 0.5527 12.02    0.      0.5522  0.      0.     11.805  11.805   0.5522
   7.152   7.152   0.      0.      0.      0.      0.    ]]; [1370.5718]
