Step; State; Reward
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
3; [[0.      0.01991 0.      0.01675 0.      0.      0.01991 0.01991 0.01675
  0.      0.      0.      0.      0.      0.      0.     ]]; [0.31866455]
4; [[1.1584e-01 7.9590e-01 1.1444e-04 1.0626e-01 1.1444e-04 1.6187e-01
  6.3379e-01 7.1289e-01 1.0742e-01 7.1045e-01 6.3184e-01 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.6187e-01]]; [13.256622]
5; [[1.863 5.625 0.    1.812 0.    1.973 2.645 4.406 2.088 4.406 2.457 0.
  0.    0.    0.    1.802]]; [402.26367]
6; [[1.863 5.625 0.    1.812 0.    1.973 2.645 4.406 2.088 4.406 2.457 0.
  0.    0.    0.    1.802]]; [402.26367]
7; [[1.863 5.625 0.    1.812 0.    1.973 2.645 4.406 2.088 4.406 2.457 0.
  0.    0.    0.    1.802]]; [402.26367]
8; [[1.863 5.625 0.    1.812 0.    1.973 2.645 4.406 2.088 4.406 2.457 0.
  0.    0.    0.    1.802]]; [402.26367]
9; [[1.863 5.625 0.    1.812 0.    1.973 2.645 4.406 2.088 4.406 2.457 0.
  0.    0.    0.    1.802]]; [402.26367]
10; [[1.863 5.625 0.    1.812 0.    1.973 2.645 4.406 2.088 4.406 2.457 0.
  0.    0.    0.    1.802]]; [402.26367]
11; [[1.863 5.625 0.    1.812 0.    1.973 2.645 4.406 2.088 4.406 2.457 0.
  0.    0.    0.    1.802]]; [402.26367]
12; [[1.863 5.625 0.    1.812 0.    1.973 2.645 4.406 2.088 4.406 2.457 0.
  0.    0.    0.    1.802]]; [402.26367]
13; [[1.863 5.625 0.    1.812 0.    1.973 2.645 4.406 2.088 4.406 2.457 0.
  0.    0.    0.    1.802]]; [402.26367]
14; [[1.863 5.625 0.    1.812 0.    1.973 2.645 4.406 2.088 4.406 2.457 0.
  0.    0.    0.    1.802]]; [402.26367]
15; [[1.863 5.625 0.    1.812 0.    1.973 2.645 4.406 2.088 4.406 2.457 0.
  0.    0.    0.    1.802]]; [402.26367]
16; [[1.863 5.625 0.    1.812 0.    1.973 2.645 4.406 2.088 4.406 2.457 0.
  0.    0.    0.    1.802]]; [402.26367]
17; [[1.863 5.625 0.    1.812 0.    1.973 2.645 4.406 2.088 4.406 2.457 0.
  0.    0.    0.    1.802]]; [402.26367]
18; [[1.863 5.625 0.    1.812 0.    1.973 2.645 4.406 2.088 4.406 2.457 0.
  0.    0.    0.    1.802]]; [402.26367]
19; [[1.863 5.625 0.    1.812 0.    1.973 2.645 4.406 2.088 4.406 2.457 0.
  0.    0.    0.    1.802]]; [402.26367]
20; [[1.863 5.625 0.    1.812 0.    1.973 2.645 4.406 2.088 4.406 2.457 0.
  0.    0.    0.    1.802]]; [402.26367]
