Step; State; Reward
1; [[ 0.2546 11.93    0.      0.2554  0.      0.     11.305  11.4     0.2566
  11.4    11.4     0.      0.      0.      0.      0.    ]]; [1466.3938]
2; [[3.5254e+00 8.9219e+00 1.1444e-04 3.5195e+00 1.1444e-04 1.1444e-04
  1.2703e+01 9.4922e+00 2.9883e-01 9.4922e+00 9.4922e+00 1.1444e-04
  3.2305e+00 1.1444e-04 1.1444e-04 1.1444e-04]]; [1675.4711]
3; [[ 9.91   3.102  0.     9.836  0.     0.    12.484 11.97   0.456 11.97
  11.97   0.     9.35   0.     0.     0.   ]]; [3701.2158]
4; [[9.4922e+00 2.7930e+00 1.4305e-04 9.4922e+00 1.4305e-04 1.4305e-04
  1.1883e+01 1.1875e+01 4.0210e-01 1.1875e+01 1.1875e+01 1.4305e-04
  9.0938e+00 1.4305e-04 1.4305e-04 1.4305e-04]]; [3520.7976]
5; [[10.15    0.      0.     10.57    0.      0.     10.2    10.2     0.3647
  10.2    10.2     0.      9.984   0.      0.      0.    ]]; [3093.8574]
6; [[4.465e+00 1.431e-04 1.431e-04 3.740e+00 1.431e-04 1.431e-04 3.543e+00
  5.484e+00 1.959e-01 5.484e+00 5.484e+00 1.431e-04 3.523e+00 1.431e-04
  1.431e-04 1.431e-04]]; [720.6442]
7; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
8; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.00769043]
9; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
10; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.00769043]
11; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
12; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.00769043]
13; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
14; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
15; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
