Step; State; Reward
1; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.00769043]
2; [[0.2345 9.305  0.     0.1952 0.     0.     8.86   8.734  0.1971 5.336
  5.336  0.     0.     0.     0.     0.    ]]; [772.41846]
3; [[3.022e-01 1.427e+01 1.431e-04 3.047e-01 1.431e-04 1.431e-04 1.172e+01
  1.173e+01 3.025e-01 8.852e+00 8.852e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [1465.7314]
4; [[ 4.54   7.57   0.     4.54   0.     0.    13.57   9.484  0.44   7.965
   7.965  0.     4.1    0.     0.     0.   ]]; [1788.2411]
5; [[3.1289e+00 7.9766e+00 1.1444e-04 3.1270e+00 1.1444e-04 1.1444e-04
  1.0367e+01 9.4922e+00 5.7178e-01 8.0312e+00 8.0312e+00 1.1444e-04
  2.5547e+00 1.1444e-04 1.1444e-04 1.1444e-04]]; [1431.729]
6; [[ 0.3809 13.414   0.      0.3833  0.      0.     11.836  11.875   0.3833
   8.73    8.73    0.      0.      0.      0.      0.    ]]; [1473.0923]
7; [[1.7500e+00 9.1016e+00 1.1444e-04 1.7500e+00 1.1444e-04 1.1444e-04
  1.0758e+01 9.4688e+00 4.6606e-01 7.0820e+00 7.0820e+00 1.1444e-04
  1.2842e+00 1.1444e-04 1.1444e-04 1.1444e-04]]; [1172.8723]
8; [[2.443  7.246  0.     2.44   0.     0.     7.973  8.04   0.4321 6.367
  6.367  0.     2.012  0.     0.     0.    ]]; [983.25806]
9; [[2.0879e+00 5.7852e+00 1.1444e-04 2.1309e+00 2.4033e-04 2.4033e-04
  8.6172e+00 8.2734e+00 4.5288e-01 5.7266e+00 5.7266e+00 1.1444e-04
  1.6748e+00 1.1444e-04 1.1444e-04 1.1444e-04]]; [912.4069]
10; [[1.928  7.76   0.     1.95   0.     0.     9.484  8.75   0.3823 6.6
  6.6    0.     1.566  0.     0.     0.    ]]; [1038.3406]
11; [[2.2910e+00 7.5156e+00 1.1444e-04 2.2910e+00 1.1444e-04 1.1444e-04
  9.6250e+00 9.4922e+00 5.2539e-01 8.5781e+00 8.5781e+00 1.1444e-04
  1.7676e+00 1.1444e-04 1.1444e-04 1.1444e-04]]; [1275.6733]
12; [[2.555 7.71  0.    2.56  0.    0.    9.8   9.58  0.441 8.76  8.76  0.
  2.12  0.    0.    0.   ]]; [1354.6632]
13; [[3.6738e+00 6.7656e+00 1.1444e-04 3.6758e+00 1.1444e-04 1.1444e-04
  1.0203e+01 9.5156e+00 3.5742e-01 8.6484e+00 8.6484e+00 1.1444e-04
  3.3145e+00 1.1444e-04 1.1444e-04 1.1444e-04]]; [1541.4702]
14; [[3.885  6.227  0.     3.885  0.     0.     9.664  9.48   0.4514 8.52
  8.52   0.     3.434  0.     0.     0.    ]]; [1539.3335]
15; [[9.062e+00 8.078e+00 1.431e-04 9.062e+00 1.431e-04 4.973e+00 1.139e+01
  1.677e+01 5.742e+00 1.578e+01 1.079e+01 1.431e-04 8.281e+00 1.431e-04
  1.431e-04 4.984e+00]]; [5548.897]
16; [[ 6.395  7.406  0.     6.395  0.     2.557 10.766 11.91   3.035 10.875
   8.31   0.     5.918  0.     0.     2.56 ]]; [2878.369]
17; [[ 6.72   6.65   0.     6.72   0.     3.016  9.73  12.46   3.643 11.17
   8.16   0.     6.086  0.     0.     3.016]]; [3062.8618]
18; [[ 9.016  7.742  0.     9.07   0.     4.082 12.09  15.6    4.777 14.11
  10.02   0.     8.41   0.     0.     4.094]]; [4998.351]
19; [[ 8.734   6.797   0.4612  9.99    0.      4.504  10.945  16.6     5.824
  14.32   10.266   0.      8.64    0.4648  0.      4.496 ]]; [5247.074]
20; [[ 9.42    7.492   5.527   9.33    0.      0.1617 10.695  15.22    6.52
   6.32   11.8     0.      2.975   5.637   0.      0.1617]]; [4605.888]
21; [[ 9.43   4.83   6.34  12.42   0.     0.     9.3   15.81   7.09   7.42
  13.836  0.     5.39   6.473  0.     0.   ]]; [5090.6367]
22; [[ 9.32   8.695 11.37   9.33   0.     3.31   8.2   22.06  13.51   8.72
  14.71   0.     3.307  9.38   0.     3.34 ]]; [7955.103]
23; [[ 9.305 11.1   11.664  9.3    0.     0.     9.055 18.55   9.76   5.082
  14.37   0.     0.     9.36   0.     0.   ]]; [6154.838]
24; [[9.3281e+00 9.4141e+00 9.5625e+00 9.3047e+00 1.1444e-04 1.1444e-04
  9.2891e+00 1.8625e+01 1.0219e+01 6.2422e+00 1.5547e+01 1.1444e-04
  1.1444e-04 9.3438e+00 1.1444e-04 1.1444e-04]]; [6143.7563]
25; [[ 6.277 11.97   5.574  6.285  0.     0.    11.6   17.23   6.293 11.64
