Step; State; Reward
0; [[0.006405 0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.      ]]; [0.]
1; [[0.006405 0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.      ]]; [0.]
2; [[0.006405 0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.      ]]; [0.]
3; [[0.006405 0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.      ]]; [0.]
4; [[0.006405 0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.      ]]; [0.]
5; [[0.006405 0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.      ]]; [0.]
6; [[0.006405 0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.      ]]; [0.]
7; [[0.006405 0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.      ]]; [0.]
8; [[4.468e-02 9.482e-01 3.014e-04 3.143e-02 1.431e-04 1.431e-04 9.253e-01
  7.144e-01 2.731e-02 7.114e-01 7.114e-01 3.014e-04 3.014e-04 1.431e-04
  3.014e-04 1.431e-04]]; [0.]
9; [[4.468e-02 9.482e-01 3.014e-04 3.143e-02 1.431e-04 1.431e-04 9.253e-01
  7.144e-01 2.731e-02 7.114e-01 7.114e-01 3.014e-04 3.014e-04 1.431e-04
  3.014e-04 1.431e-04]]; [0.]
10; [[4.468e-02 9.482e-01 3.014e-04 3.143e-02 1.431e-04 1.431e-04 9.253e-01
  7.144e-01 2.731e-02 7.114e-01 7.114e-01 3.014e-04 3.014e-04 1.431e-04
  3.014e-04 1.431e-04]]; [0.]
11; [[4.468e-02 9.482e-01 3.014e-04 3.143e-02 1.431e-04 1.431e-04 9.253e-01
  7.144e-01 2.731e-02 7.114e-01 7.114e-01 3.014e-04 3.014e-04 1.431e-04
  3.014e-04 1.431e-04]]; [0.]
12; [[4.468e-02 9.482e-01 3.014e-04 3.143e-02 1.431e-04 1.431e-04 9.253e-01
  7.144e-01 2.731e-02 7.114e-01 7.114e-01 3.014e-04 3.014e-04 1.431e-04
  3.014e-04 1.431e-04]]; [0.]
13; [[4.468e-02 9.482e-01 3.014e-04 3.143e-02 1.431e-04 1.431e-04 9.253e-01
  7.144e-01 2.731e-02 7.114e-01 7.114e-01 3.014e-04 3.014e-04 1.431e-04
  3.014e-04 1.431e-04]]; [0.]
14; [[4.468e-02 9.482e-01 3.014e-04 3.143e-02 1.431e-04 1.431e-04 9.253e-01
  7.144e-01 2.731e-02 7.114e-01 7.114e-01 3.014e-04 3.014e-04 1.431e-04
  3.014e-04 1.431e-04]]; [0.]
15; [[4.468e-02 9.482e-01 3.014e-04 3.143e-02 1.431e-04 1.431e-04 9.253e-01
  7.144e-01 2.731e-02 7.114e-01 7.114e-01 3.014e-04 3.014e-04 1.431e-04
  3.014e-04 1.431e-04]]; [0.]
16; [[4.468e-02 9.482e-01 3.014e-04 3.143e-02 1.431e-04 1.431e-04 9.253e-01
  7.144e-01 2.731e-02 7.114e-01 7.114e-01 3.014e-04 3.014e-04 1.431e-04
  3.014e-04 1.431e-04]]; [0.]
17; [[4.468e-02 9.482e-01 3.014e-04 3.143e-02 1.431e-04 1.431e-04 9.253e-01
  7.144e-01 2.731e-02 7.114e-01 7.114e-01 3.014e-04 3.014e-04 1.431e-04
  3.014e-04 1.431e-04]]; [0.]
18; [[4.468e-02 9.482e-01 3.014e-04 3.143e-02 1.431e-04 1.431e-04 9.253e-01
  7.144e-01 2.731e-02 7.114e-01 7.114e-01 3.014e-04 3.014e-04 1.431e-04
  3.014e-04 1.431e-04]]; [0.]
19; [[0.0329  1.344   0.      0.03482 0.      0.      1.308   1.032   0.03113
  1.032   1.032   0.      0.      0.      0.      0.     ]]; [0.]
20; [[0.0329  1.344   0.      0.03482 0.      0.      1.308   1.032   0.03113
  1.032   1.032   0.      0.      0.      0.      0.     ]]; [0.]
21; [[0.0329  1.344   0.      0.03482 0.      0.      1.308   1.032   0.03113
