Step; State; Reward
0; [[4.546e-01 1.148e+01 0.000e+00 4.590e-01 0.000e+00 0.000e+00 1.082e+01
  6.777e+00 2.266e-01 5.953e+00 5.953e+00 9.537e-05 9.537e-05 9.537e-05
  0.000e+00 0.000e+00]]; [672.41144]
1; [[4.546e-01 1.148e+01 0.000e+00 4.590e-01 0.000e+00 0.000e+00 1.082e+01
  6.777e+00 2.266e-01 5.953e+00 5.953e+00 9.537e-05 9.537e-05 9.537e-05
  0.000e+00 0.000e+00]]; [672.41144]
2; [[4.546e-01 1.148e+01 0.000e+00 4.590e-01 0.000e+00 0.000e+00 1.082e+01
  6.777e+00 2.266e-01 5.953e+00 5.953e+00 9.537e-05 9.537e-05 9.537e-05
  0.000e+00 0.000e+00]]; [672.41144]
3; [[4.546e-01 1.148e+01 0.000e+00 4.590e-01 0.000e+00 0.000e+00 1.082e+01
  6.777e+00 2.266e-01 5.953e+00 5.953e+00 9.537e-05 9.537e-05 9.537e-05
  0.000e+00 0.000e+00]]; [672.41144]
4; [[4.546e-01 1.148e+01 0.000e+00 4.590e-01 0.000e+00 0.000e+00 1.082e+01
  6.777e+00 2.266e-01 5.953e+00 5.953e+00 9.537e-05 9.537e-05 9.537e-05
  0.000e+00 0.000e+00]]; [672.41144]
5; [[4.546e-01 1.148e+01 0.000e+00 4.590e-01 0.000e+00 0.000e+00 1.082e+01
  6.777e+00 2.266e-01 5.953e+00 5.953e+00 9.537e-05 9.537e-05 9.537e-05
  0.000e+00 0.000e+00]]; [672.41144]
6; [[4.546e-01 1.148e+01 0.000e+00 4.590e-01 0.000e+00 0.000e+00 1.082e+01
  6.777e+00 2.266e-01 5.953e+00 5.953e+00 9.537e-05 9.537e-05 9.537e-05
  0.000e+00 0.000e+00]]; [672.41144]
7; [[4.546e-01 1.148e+01 0.000e+00 4.590e-01 0.000e+00 0.000e+00 1.082e+01
  6.777e+00 2.266e-01 5.953e+00 5.953e+00 9.537e-05 9.537e-05 9.537e-05
  0.000e+00 0.000e+00]]; [672.41144]
8; [[4.546e-01 1.148e+01 0.000e+00 4.590e-01 0.000e+00 0.000e+00 1.082e+01
  6.777e+00 2.266e-01 5.953e+00 5.953e+00 9.537e-05 9.537e-05 9.537e-05
  0.000e+00 0.000e+00]]; [672.41144]
9; [[4.546e-01 1.148e+01 0.000e+00 4.590e-01 0.000e+00 0.000e+00 1.082e+01
  6.777e+00 2.266e-01 5.953e+00 5.953e+00 9.537e-05 9.537e-05 9.537e-05
  0.000e+00 0.000e+00]]; [672.41144]
10; [[4.546e-01 1.148e+01 0.000e+00 4.590e-01 0.000e+00 0.000e+00 1.082e+01
