Step; State; Reward
0; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
1; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
2; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
3; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
4; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
5; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
6; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
7; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
8; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
9; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
10; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
11; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
12; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
13; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
14; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
15; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
16; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
17; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
18; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
19; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
20; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
21; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
22; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
23; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
24; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
25; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
26; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
27; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
28; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
29; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
30; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
31; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
32; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
33; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
34; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
35; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
36; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
37; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
38; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
39; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
