Step; State; Reward
1; [[0.1793 7.41   0.     0.1613 0.     0.     7.043  7.016  0.1611 7.01
  7.01   0.     0.     0.     0.     0.    ]]; [589.84485]
2; [[6.3789e+00 5.8164e+00 1.1444e-04 6.3828e+00 1.1444e-04 1.1444e-04
  1.2117e+01 9.4688e+00 3.7427e-01 9.4688e+00 9.4688e+00 1.1444e-04
  1.1444e-04 1.1444e-04 6.0117e+00 1.1444e-04]]; [2190.1013]
3; [[ 9.5     1.443   0.      9.516   0.      0.     10.38    9.54    0.5796
   9.54    9.54    0.      0.      0.      8.95    0.    ]]; [2757.1238]
4; [[9.5234e+00 6.3428e-01 1.1444e-04 9.8750e+00 1.1444e-04 1.1444e-04
  9.9219e+00 9.5234e+00 5.9082e-01 9.5234e+00 9.5234e+00 1.1444e-04
  1.1444e-04 1.1444e-04 9.2891e+00 1.1444e-04]]; [2730.001]
5; [[9.46   0.2278 0.     9.914  0.     0.     9.555  9.46   0.5874 9.46
  9.46   0.     0.     0.     9.32   0.    ]]; [2693.193]
6; [[9.4141e+00 3.3057e-01 1.1444e-04 9.9297e+00 1.1444e-04 1.1444e-04
  9.6719e+00 9.4141e+00 5.8447e-01 9.4141e+00 9.4141e+00 1.1444e-04
  1.1444e-04 1.1444e-04 9.3438e+00 1.1444e-04]]; [2676.577]
7; [[11.91    0.1648  0.     12.62    0.      0.     12.04   11.91    0.7397
  11.91   11.91    0.      0.      0.     11.875   0.    ]]; [4221.1206]
8; [[ 9.52     0.05774  0.      10.1      0.       0.       9.57     9.52
   0.592    9.52     9.52     0.       0.       0.       9.516    0.     ]]; [2733.4648]
9; [[11.87   0.045  0.    12.64   0.     0.    11.914 11.91   0.778 11.91
  11.91   0.     0.     0.    11.87   0.   ]]; [4207.5938]
10; [[11.914    0.09845  0.      12.62     0.       0.      11.984   11.914
   0.738   11.914   11.914    0.       0.       0.      11.88     0.     ]]; [4224.96]
11; [[ 9.19    0.1011  0.     10.51    0.      0.      9.9     9.53    0.5674
   9.53    9.53    0.      0.      0.      9.79    0.    ]]; [2712.92]
12; [[0.2347 8.984  0.     0.2347 0.     0.     8.65   9.25   0.2346 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [964.82947]
13; [[ 0.2856 11.21    0.      0.2856  0.      0.      9.46    9.46    0.2856
   9.46    9.46    0.      0.      0.      0.      0.    ]]; [1062.8652]
14; [[0.4744 9.58   0.     0.4744 0.     0.     9.445  9.45   0.4744 9.45
  9.45   0.     0.     0.     0.     0.    ]]; [1049.765]
15; [[3.1201e-01 9.5312e+00 1.1444e-04 3.1177e-01 1.1444e-04 1.1444e-04
  9.3125e+00 9.2188e+00 3.1177e-01 9.2188e+00 9.2188e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [991.77844]
16; [[ 0.448  11.32    0.      0.4475  0.      0.     11.766  11.766   0.4475
  11.766  11.766   0.      0.      0.      0.      0.    ]]; [1560.1675]
17; [[2.1191e-01 9.8516e+00 1.1444e-04 2.1375e-01 1.1444e-04 1.1444e-04
  9.4688e+00 9.4609e+00 2.1362e-01 9.4609e+00 9.4609e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [1029.4595]
18; [[0.2031 9.43   0.     0.2032 0.     0.     9.34   9.3    0.2032 9.3
  9.3    0.     0.     0.     0.     0.    ]]; [990.68567]
19; [[2.0837e-01 9.8359e+00 1.1444e-04 2.0825e-01 1.1444e-04 1.1444e-04
  9.4688e+00 9.4688e+00 2.0825e-01 5.6836e+00 5.6836e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [883.1533]
20; [[ 6.895 11.87   0.     6.895  6.58   0.     5.28  11.86   6.895  5.28
  11.86   0.     0.     6.574  0.     0.   ]]; [3111.8967]
21; [[1.6436e+00 9.1562e+00 1.1444e-04 1.6436e+00 1.2803e+00 1.1444e-04
  8.1953e+00 9.4609e+00 1.6436e+00 4.4062e+00 5.6875e+00 1.1444e-04
  1.1444e-04 1.2822e+00 1.1444e-04 1.1444e-04]]; [1052.3641]
22; [[ 0.2524 11.625   0.      0.2524  0.      0.     11.66   11.54    0.2524
   6.125   6.125   0.      0.      0.      0.      0.    ]]; [1239.4115]
23; [[3.8403e-01 9.7109e+00 1.1444e-04 3.8330e-01 1.1444e-04 1.1444e-04
  9.4766e+00 9.4844e+00 3.8330e-01 4.7930e+00 4.7930e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [863.2852]
24; [[0.3604 9.305  0.     0.3604 0.     0.     9.48   9.48   0.3604 4.844
  4.844  0.     0.     0.     0.     0.    ]]; [855.18933]
25; [[9.805e+00 6.434e+00 1.431e-04 9.828e+00 1.431e-04 1.431e-04 1.814e+01
  1.184e+01 5.952e-01 9.234e+00 9.234e+00 1.431e-04 1.431e-04 1.431e-04
  9.234e+00 1.431e-04]]; [3800.8247]
26; [[ 9.02   1.634  0.     9.34   0.     0.    10.4    9.484  0.578  8.766
   8.766  0.     0.     0.     8.766  0.   ]]; [2598.154]
27; [[9.516   0.04852 0.      9.93    0.      0.      7.094   9.37    0.5815
  9.34    9.34    0.      0.      0.      9.34    0.     ]]; [2583.6096]
28; [[6.137 9.87  0.    6.15  0.    0.    9.375 9.445 0.206 9.445 9.445 0.
  0.    0.    5.94  0.   ]]; [2175.4578]
29; [[6.32  9.53  0.    6.305 0.    0.    9.414 9.484 0.396 9.484 9.484 0.
  0.    0.    5.906 0.   ]]; [2209.4617]
30; [[ 8.766 10.7    0.     8.8    0.     0.    11.61  11.695  0.582 11.695
  11.695  0.     0.     0.     8.22   0.   ]]; [3568.3584]
31; [[ 6.996  10.35    0.      7.      0.      0.      9.44    9.49    0.2089
   9.49    9.49    0.      0.      0.      6.79    0.    ]]; [2409.0396]
32; [[6.85   9.58   0.     6.848  0.     0.     9.484  9.51   0.4597 9.51
  9.51   0.     0.     0.     6.387  0.    ]]; [2345.9717]
33; [[6.07  9.66  0.    6.133 0.    0.    9.39  9.47  0.246 9.47  9.47  0.
  0.    0.    5.887 0.   ]]; [2161.5522]
34; [[7.7070e+00 1.0734e+01 1.4305e-04 7.6719e+00 1.4305e-04 1.4305e-04
  1.1820e+01 1.1859e+01 5.9766e-01 1.1859e+01 1.1859e+01 1.4305e-04
  1.4305e-04 1.4305e-04 7.0742e+00 1.4305e-04]]; [3310.515]
35; [[ 5.785   9.125   0.      5.848   0.      0.     10.92    9.414   0.2445
   9.414   9.414   0.      0.      0.      5.605   0.    ]]; [2113.2876]
36; [[6.5703e+00 6.6094e+00 1.1444e-04 6.4922e+00 1.1444e-04 1.1444e-04
  1.4891e+01 9.5078e+00 5.1221e-01 9.5078e+00 9.5078e+00 1.1444e-04
  1.1444e-04 1.1444e-04 5.9766e+00 1.1444e-04]]; [2348.3655]
37; [[ 9.5    4.2    0.    10.05   0.     0.    13.69   9.516  0.561  9.516
   9.516  0.     0.     0.     9.484  0.   ]]; [3022.131]
38; [[9.5234e+00 5.3516e+00 1.1444e-04 1.1852e+01 3.3594e+00 1.1444e-04
  8.4453e+00 1.2930e+01 4.1094e+00 9.5234e+00 1.2930e+01 1.1444e-04
