Step; State; Reward
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[ 3.016 10.38   0.     3.016  0.     2.797  6.67   9.47   3.016  9.47
   6.67   0.     0.     0.     0.     2.797]]; [1505.8076]
3; [[ 2.584 10.9    0.     2.584  0.     2.182  7.24   9.42   2.584  9.42
   7.24   0.     0.     0.     0.     2.182]]; [1424.5632]
4; [[2.9141e+00 1.1555e+01 1.4305e-04 2.9141e+00 1.4305e-04 2.3594e+00
  9.2891e+00 1.1648e+01 2.9141e+00 1.1648e+01 9.2891e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 2.3594e+00]]; [2035.9312]
5; [[ 2.63  12.43   0.     2.63   0.     2.32   9.48  11.84   2.63  11.84
   9.48   0.     0.     0.     0.     2.371]]; [2045.7441]
6; [[2.5156e+00 9.5000e+00 1.1444e-04 2.5156e+00 1.1444e-04 2.0918e+00
  7.3438e+00 9.4609e+00 2.5156e+00 9.4609e+00 7.3438e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 2.1191e+00]]; [1385.8729]
7; [[2.291 9.83  0.    2.291 0.    2.045 7.402 9.484 2.291 9.484 7.402 0.
  0.    0.    0.    2.082]]; [1356.1932]
8; [[2.9023e+00 1.2148e+01 1.4305e-04 2.9023e+00 1.4305e-04 2.5840e+00
  9.1953e+00 1.1836e+01 2.9023e+00 9.6484e+00 7.0078e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 2.6387e+00]]; [1967.8015]
9; [[3.268  9.29   0.     3.275  0.6655 2.176  6.6    9.47   3.275  6.22
  4.684  0.     0.     0.6655 0.     2.201 ]]; [1361.5029]
10; [[5.883e+00 1.171e+01 1.431e-04 5.875e+00 2.816e+00 2.598e+00 6.410e+00
  1.185e+01 5.855e+00 5.469e+00 5.645e+00 1.431e-04 1.431e-04 2.812e+00
  1.431e-04 2.639e+00]]; [2538.9424]
11; [[ 3.387 11.805  0.     3.387  3.125  0.     8.52  11.664  3.387  4.848
   7.98   0.     0.     3.13   0.     0.   ]]; [1932.9906]
12; [[3.338e+00 1.260e+01 1.431e-04 3.338e+00 2.988e+00 1.431e-04 8.859e+00
  1.185e+01 3.338e+00 4.363e+00 7.352e+00 1.431e-04 1.431e-04 2.988e+00
  1.431e-04 1.431e-04]]; [1945.0521]
13; [[ 3.37  11.51   0.     3.37   2.938  0.     8.88  11.82   3.37   2.318
   5.254  0.     0.     2.938  0.     0.   ]]; [1785.1577]
14; [[2.6992e+00 1.0617e+01 1.1444e-04 2.6992e+00 2.4434e+00 1.1444e-04
  6.9609e+00 9.4531e+00 2.6992e+00 1.7510e+00 4.2422e+00 1.1444e-04
  1.1444e-04 2.4902e+00 1.1444e-04 1.1444e-04]]; [1191.599]
15; [[ 3.78  10.07   0.     3.78   3.076  0.     8.76  11.85   3.78   2.564
   5.664  0.     0.     3.098  0.     0.   ]]; [1857.7742]
16; [[ 2.57  10.89   0.     2.57   2.164  0.     7.125  9.32   2.57   2.06
   4.254  0.     0.     2.195  0.     0.   ]]; [1158.3331]
17; [[2.527 9.82  0.    2.543 2.256 0.    7.14  9.44  2.543 1.626 3.932 0.
  0.    2.305 0.    0.   ]]; [1127.712]
18; [[ 2.768   8.22    0.      2.773   0.      0.     11.945   9.45    0.2778
   4.895   4.895   0.      0.      0.      2.494   0.    ]]; [1257.3688]
19; [[ 7.445  6.477  0.     7.457  0.     0.    13.305 11.875  0.662  8.93
   8.93   0.     0.     0.     6.79   0.   ]]; [2905.1318]
20; [[ 6.516   4.25    0.      6.508   0.      0.     10.22    9.49    0.5376
   6.895   6.895   0.      0.      0.      5.973   0.    ]]; [1945.2911]
21; [[8.3750e+00 2.9062e+00 1.1444e-04 8.3984e+00 1.1444e-04 1.1444e-04
  1.0742e+01 9.5078e+00 5.6836e-01 8.6797e+00 8.6797e+00 1.1444e-04
  1.1444e-04 1.1444e-04 7.8320e+00 1.1444e-04]]; [2472.938]
22; [[6.496 3.213 0.    6.516 0.    0.    9.234 9.51  0.55  6.52  6.52  0.
  0.    0.    5.965 0.   ]]; [1855.4956]
23; [[8.375e+00 5.113e+00 1.431e-04 8.352e+00 1.431e-04 1.431e-04 1.283e+01
  1.188e+01 6.382e-01 8.273e+00 8.273e+00 1.431e-04 1.431e-04 1.431e-04
  7.715e+00 1.431e-04]]; [3030.2642]
24; [[11.56   8.51   0.    12.88   5.54   0.     9.516 17.11   6.355  9.45
  15.     0.     0.     5.54   6.535  0.   ]]; [6337.654]
25; [[9.4844e+00 7.1133e+00 1.1444e-04 1.0617e+01 3.1875e+00 1.1444e-04
  1.0852e+01 1.2641e+01 3.6816e+00 8.2578e+00 1.1453e+01 1.1444e-04
  1.1444e-04 3.1875e+00 6.9219e+00 1.1444e-04]]; [3977.9448]
26; [[11.81  14.54   0.    15.17   9.164  0.     7.824 19.92  10.01   9.945
  19.11   0.     0.     9.17   5.184  0.   ]]; [8528.397]
27; [[8.6641e+00 1.2031e+01 1.1444e-04 7.9766e+00 7.5000e+00 1.1444e-04
  1.9160e+00 9.4297e+00 7.9688e+00 1.2109e+00 8.7109e+00 1.1444e-04
  1.1444e-04 7.5000e+00 1.1444e-04 1.1444e-04]]; [2746.0774]
28; [[7.918 9.66  0.    7.93  7.504 0.    1.912 9.4   7.992 1.201 8.69  0.
  0.    7.504 0.    0.   ]]; [2517.2864]
29; [[9.1953e+00 9.2500e+00 1.1444e-04 9.1953e+00 8.8125e+00 1.1444e-04
  6.3379e-01 9.4531e+00 9.1875e+00 3.1665e-01 9.1328e+00 1.1444e-04
  1.1444e-04 8.8125e+00 1.1444e-04 1.1444e-04]]; [2872.053]
30; [[8.14   9.984  0.     8.13   7.92   0.     1.508  9.43   8.13   0.4297
  8.35   0.     0.     7.926  0.     0.    ]]; [2566.5369]
31; [[7.2109e+00 1.0445e+01 1.4305e-04 7.2266e+00 6.8984e+00 1.4305e-04
  4.6602e+00 1.1617e+01 7.2188e+00 2.5996e+00 9.5234e+00 1.4305e-04
  1.4305e-04 6.9062e+00 1.4305e-04 1.4305e-04]]; [2910.9888]
32; [[ 0.2568 12.72    0.      0.2644  0.      0.     11.695  11.72    0.2644
   5.24    5.24    0.      0.      0.      0.      0.    ]]; [1248.2815]
33; [[ 0.2062 12.19    0.      0.2062  0.      0.      9.375   9.414   0.2062
   4.58    4.58    0.      0.      0.      0.      0.    ]]; [877.6411]
34; [[ 0.374  10.766   0.      0.3782  0.      0.      9.38    9.4     0.378
   4.953   4.953   0.      0.      0.      0.      0.    ]]; [879.0876]
35; [[ 0.391  10.84    0.      0.391   0.      0.     11.71   11.734   0.3914
   4.51    4.51    0.      0.      0.      0.      0.    ]]; [1183.5413]
36; [[ 0.257 12.47   0.     0.257  0.     0.    11.7   11.734  0.257  4.77
   4.77   0.     0.     0.     0.     0.   ]]; [1222.1794]
37; [[ 0.3354 11.46    0.      0.3354  0.      0.     11.69   11.75    0.3354
   5.047   5.047   0.      0.      0.      0.      0.    ]]; [1220.2139]
38; [[ 0.1964 10.24    0.      0.1957  0.      0.      9.35    9.4     0.1957
   4.32    4.32    0.      0.      0.      0.      0.    ]]; [827.3206]
39; [[ 5.195 13.04   0.     5.2    4.832  0.     6.844 11.875  5.2    4.64
   9.58   0.     0.     4.938  0.     0.   ]]; [2538.3987]
40; [[5.4492e+00 1.0391e+01 1.1444e-04 5.4492e+00 4.8477e+00 1.1444e-04
  4.5859e+00 9.5078e+00 5.4492e+00 3.8965e+00 8.7969e+00 1.1444e-04
  1.1444e-04 4.8984e+00 1.1444e-04 1.1444e-04]]; [1983.0092]
41; [[6.695 9.79  0.    6.695 6.395 0.    2.941 9.51  6.72  2.814 9.32  0.
  0.    6.508 0.    0.   ]]; [2280.2104]
42; [[9.6484e+00 9.8125e+00 1.4305e-04 9.6719e+00 9.1250e+00 1.4305e-04
  2.6523e+00 1.1891e+01 9.8594e+00 2.6953e+00 1.1945e+01 1.4305e-04
  1.4305e-04 9.2031e+00 1.4305e-04 1.4305e-04]]; [3854.96]
43; [[9.062e+00 9.086e+00 0.000e+00 9.227e+00 9.094e+00 0.000e+00 2.310e-03
  9.047e+00 9.242e+00 0.000e+00 9.039e+00 0.000e+00 0.000e+00 9.055e+00
  0.000e+00 0.000e+00]]; [2782.745]
44; [[9.4609e+00 3.3809e+00 6.0273e+00 9.4453e+00 3.4512e+00 1.1444e-04
  1.1444e-04 9.4219e+00 9.6406e+00 1.1444e-04 9.4219e+00 1.1444e-04
  1.1444e-04 9.6094e+00 1.1444e-04 1.1444e-04]]; [2770.6042]
45; [[9.500e+00 2.310e-03 9.484e+00 9.500e+00 0.000e+00 0.000e+00 2.310e-03
  9.500e+00 9.703e+00 0.000e+00 9.500e+00 0.000e+00 0.000e+00 9.492e+00
  0.000e+00 0.000e+00]]; [2705.4783]
46; [[9.5234e+00 2.3224e-02 1.1531e+01 9.5156e+00 2.3224e-02 1.1444e-04
  1.1444e-04 9.5156e+00 9.7656e+00 1.1444e-04 9.5156e+00 1.1444e-04
  1.1444e-04 9.5391e+00 1.1444e-04 1.1444e-04]]; [2794.634]
47; [[9.5234e+00 1.0204e-04 1.3055e+01 9.5234e+00 0.0000e+00 0.0000e+00
  1.0204e-04 9.5234e+00 9.7891e+00 0.0000e+00 9.5234e+00 0.0000e+00
  0.0000e+00 9.5234e+00 0.0000e+00 0.0000e+00]]; [2855.617]
48; [[0.0003815 0.0002232 0.000143  0.0002232 0.000143  0.000143  0.0002232
  0.0003815 0.0002232 0.000143  0.000143  0.000143  0.000143  0.000143
  0.000143  0.000143 ]]; [0.01220703]
49; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
50; [[0.0003014  0.0005207  0.000143   0.0084     0.000143   0.000143
  0.0004158  0.000679   0.0084     0.000143   0.000143   0.000143
  0.000143   0.000143   0.00011444 0.00011444]]; [0.01568604]
51; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
52; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
53; [[0.0003014 0.        0.        0.        0.        0.        0.
  0.        0.        0.        0.        0.        0.        0.
  0.        0.       ]]; [0.00482178]
54; [[0.0489 1.573  0.     0.0485 0.     0.     0.781  0.781  0.0485 0.
  0.     0.     0.     0.     0.     0.    ]]; [15.057065]
55; [[0.2032 9.4    0.     0.2032 0.     0.     9.33   9.33   0.2032 0.
  0.     0.     0.     0.     0.     0.    ]]; [658.97144]
56; [[0.2032 9.516  0.     0.2031 0.     0.     9.32   9.32   0.2031 0.
  0.     0.     0.     0.     0.     0.    ]]; [660.5262]
57; [[2.0349e-01 1.0242e+01 1.1444e-04 2.0337e-01 1.1444e-04 1.1444e-04
  9.3359e+00 9.3281e+00 2.0325e-01 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [674.9347]
58; [[0.1936 7.902  0.     0.1936 0.     0.     7.285  7.28   0.1936 0.
  0.     0.     0.     0.     0.     0.    ]]; [432.95398]
59; [[1.772e-01 2.379e+00 1.431e-04 1.855e-01 1.431e-04 1.431e-04 5.738e+00
  5.746e+00 1.855e-01 1.986e-03 1.986e-03 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [241.14616]
60; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
61; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.00769043]
62; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
63; [[0.0003014 0.000143  0.000143  0.000143  0.000143  0.000143  0.000143
  0.0003014 0.000143  0.000143  0.000143  0.000143  0.000143  0.000143
  0.000143  0.000143 ]]; [0.00964355]
64; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
65; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.00769043]
66; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
67; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
68; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
69; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
70; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
71; [[0.0003014 0.000143  0.000143  0.000143  0.000143  0.000143  0.000143
  0.0003014 0.000143  0.000143  0.000143  0.000143  0.000143  0.000143
  0.000143  0.000143 ]]; [0.00964355]
72; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
73; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
74; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
75; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
76; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
77; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
78; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
79; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
80; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.00769043]
81; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
82; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
83; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.00769043]
84; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
85; [[0.0003014 0.000143  0.000143  0.000143  0.000143  0.000143  0.000143
  0.0003014 0.000143  0.000143  0.000143  0.000143  0.000143  0.000143
