Step; State; Reward
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[ 0.2178 10.42    0.      0.2178  0.      0.      9.32    9.09    0.2178
   9.09    9.09    0.      0.      0.      0.      0.    ]]; [977.55426]
3; [[ 0.4382 11.      0.      0.4382  0.      0.      9.46    9.46    0.4382
   6.707   6.707   0.      0.      0.      0.      0.    ]]; [966.9533]
4; [[4.7217e-01 9.3359e+00 1.1444e-04 4.7217e-01 1.1444e-04 1.1444e-04
  9.4688e+00 9.4609e+00 4.7217e-01 6.1758e+00 6.1758e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [916.36487]
5; [[ 0.257 12.234  0.     0.257  0.     0.    11.695 11.64   0.257  7.58
   7.58   0.     0.     0.     0.     0.   ]]; [1338.1567]
6; [[3.8867e-01 9.3438e+00 1.1444e-04 3.8867e-01 1.1444e-04 1.1444e-04
  9.4609e+00 9.4609e+00 3.8867e-01 6.4688e+00 6.4688e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [919.91736]
7; [[ 0.2607 12.23    0.      0.2607  0.      0.     11.86   11.86    0.2607
   8.125   8.125   0.      0.      0.      0.      0.    ]]; [1398.2334]
8; [[3.5469e+00 7.8477e+00 1.1444e-04 3.5469e+00 1.1444e-04 1.1444e-04
  1.2727e+01 9.4766e+00 2.9419e-01 7.1836e+00 7.1836e+00 1.1444e-04
  1.1444e-04 1.1444e-04 3.2520e+00 1.1444e-04]]; [1531.0033]
9; [[ 5.61   6.543  0.     5.62   0.     0.    12.03   9.34   0.597  7.77
   7.77   0.     0.     0.     5.023  0.   ]]; [1905.102]
10; [[6.6016e+00 4.5469e+00 1.1444e-04 6.6016e+00 1.1444e-04 1.1444e-04
  1.0688e+01 9.5156e+00 4.9463e-01 7.8906e+00 7.8906e+00 1.1444e-04
  1.1444e-04 1.1444e-04 6.1094e+00 1.1444e-04]]; [2058.248]
11; [[7.562 2.463 0.    7.566 0.    0.    9.445 9.516 0.583 8.24  8.24  0.
  0.    0.    6.98  0.   ]]; [2186.7012]
12; [[8.3281e+00 2.1211e+00 1.1444e-04 8.3281e+00 2.4033e-04 2.4033e-04
  9.9141e+00 9.5156e+00 5.4688e-01 8.7891e+00 8.7891e+00 1.1444e-04
  1.1444e-04 1.1444e-04 7.7812e+00 1.1444e-04]]; [2411.0652]
13; [[8.67  1.386 0.    8.69  0.    0.    9.52  9.516 0.559 9.05  9.05  0.
  0.    0.    8.13  0.   ]]; [2473.8503]
14; [[9.0859e+00 1.1387e+00 1.1444e-04 9.0625e+00 1.1444e-04 1.1444e-04
  9.6406e+00 9.5234e+00 5.6152e-01 9.1016e+00 9.1016e+00 1.1444e-04
  1.1444e-04 1.1444e-04 8.5000e+00 1.1444e-04]]; [2573.2576]
15; [[11.6   1.12  0.   11.62  0.    0.   12.03 11.91  0.72 11.44 11.44  0.
   0.    0.   10.9   0.  ]]; [4045.4807]
16; [[9.336  0.8813 0.     9.38   0.     0.     9.695  9.5    0.5703 9.195
  9.195  0.     0.     0.     8.81   0.    ]]; [2622.7698]
17; [[ 0.2827 12.49    0.      0.2927  0.      0.     11.805  11.805   0.2927
  10.234  10.234   0.      0.      0.      0.      0.    ]]; [1500.6384]
18; [[ 2.734 15.09   0.     2.734  2.451  0.     9.375 12.05   2.734  7.25
   9.7    0.     0.     2.451  0.     0.   ]]; [2057.5027]
19; [[3.912 9.65  0.    3.912 3.668 0.    5.816 9.484 3.912 3.691 7.36  0.
  0.    3.668 0.    0.   ]]; [1556.4581]
20; [[3.79  9.79  0.    3.79  3.584 0.    5.906 9.484 3.79  3.912 7.492 0.
  0.    3.58  0.    0.   ]]; [1542.918]
21; [[4.742e+00 1.175e+01 1.431e-04 4.742e+00 4.227e+00 1.431e-04 7.605e+00
  1.183e+01 4.742e+00 5.277e+00 9.500e+00 1.431e-04 1.431e-04 4.223e+00
  1.431e-04 1.431e-04]]; [2374.2422]
22; [[4.355 9.6   0.    4.355 4.152 0.    5.203 9.35  4.355 3.629 7.78  0.
  0.    4.152 0.    0.   ]]; [1643.9099]
23; [[4.0938e+00 9.5078e+00 1.1444e-04 4.0938e+00 3.7051e+00 1.1444e-04
  5.7734e+00 9.4766e+00 4.0977e+00 3.9277e+00 7.6289e+00 1.1444e-04
  1.1444e-04 3.7012e+00 1.1444e-04 1.1444e-04]]; [1601.3616]
24; [[ 4.965 12.13   0.     4.965  4.598  0.     7.246 11.84   4.965  5.652
  10.25   0.     0.     4.598  0.     0.   ]]; [2494.2332]
25; [[3.8320e+00 9.6484e+00 1.1444e-04 3.8320e+00 3.6250e+00 1.1444e-04
  5.8242e+00 9.4453e+00 3.8320e+00 4.5039e+00 8.1328e+00 1.1444e-04
  1.1444e-04 3.6250e+00 1.1444e-04 1.1444e-04]]; [1575.3005]
26; [[ 6.95    5.3     0.      6.95    0.      0.     12.68    9.5     0.4976
   8.08    8.08    0.      0.      0.      6.453   0.    ]]; [2237.8743]
27; [[8.0547e+00 2.3594e+00 1.1444e-04 8.0547e+00 1.1444e-04 1.1444e-04
  9.8438e+00 9.5078e+00 5.7422e-01 8.6094e+00 8.6094e+00 1.1444e-04
  1.1444e-04 1.1444e-04 7.4844e+00 1.1444e-04]]; [2337.5994]
28; [[ 8.98    1.717   0.      8.97    0.      0.     10.125   9.516   0.5664
   9.09    9.09    0.      0.      0.      8.4     0.    ]]; [2584.7124]
29; [[9.4219e+00 7.6074e-01 1.1444e-04 9.4219e+00 1.1444e-04 1.1444e-04
  9.6250e+00 9.5234e+00 5.6641e-01 9.2578e+00 9.2578e+00 1.1444e-04
  1.1444e-04 1.1444e-04 8.8594e+00 1.1444e-04]]; [2646.828]
30; [[11.73    0.9224  0.     11.73    0.      0.     11.94   11.9     0.7188
  11.45   11.45    0.      0.      0.     11.01    0.    ]]; [4050.5764]
31; [[1.1891e+01 6.6406e-01 1.4305e-04 1.2047e+01 1.4305e-04 1.4305e-04
  1.1984e+01 1.1898e+01 7.2803e-01 1.1562e+01 1.1562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.1312e+01 1.4305e-04]]; [4127.064]
32; [[ 9.53    0.3982  0.      9.72    0.      0.      9.55   11.914   0.726
  11.64   11.64    0.      0.      0.      9.14    0.    ]]; [3328.7542]
33; [[9.52   0.5557 0.     9.586  0.     0.     9.56   9.52   0.581  9.26
  9.26   0.     0.     0.     9.01   0.    ]]; [2674.3262]
34; [[9.5    0.4722 0.     8.96   0.     0.     8.84   9.516  0.59   9.36
  9.36   0.     0.     0.     8.37   0.    ]]; [2601.1162]
