Step; State; Reward
1; [[0.000143 0.000143 0.000143 0.000143 0.000143 0.000143 0.000143 0.000143
  0.000143 0.000143 0.000143 0.000143 0.000143 0.000143 0.000143 0.000143]]; [0.00457764]
2; [[ 0.2837 13.05    0.      0.2842  0.      0.     11.45   11.43    0.2842
  11.43   11.43    0.      0.      0.      0.      0.    ]]; [1505.7947]
3; [[5.142e-01 1.306e+01 1.431e-04 5.142e-01 1.431e-04 1.431e-04 1.167e+01
  1.147e+01 5.137e-01 1.147e+01 1.147e+01 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [1548.995]
4; [[0.2842 9.83   0.     0.2842 0.     0.     9.336  9.35   0.2842 9.35
  9.35   0.     0.     0.     0.     0.    ]]; [1015.6894]
5; [[3.1250e-01 1.0023e+01 1.1444e-04 3.1226e-01 2.4033e-04 2.4033e-04
  9.4688e+00 9.4688e+00 3.1250e-01 9.4688e+00 9.4688e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [1044.3975]
6; [[ 0.5137 11.57    0.      0.5137  0.      0.     11.83   11.82    0.5137
  11.54   11.54    0.      0.      0.      0.      0.    ]]; [1574.3511]
7; [[3.6426e-01 9.7812e+00 1.1444e-04 3.6426e-01 1.1444e-04 1.1444e-04
  9.4531e+00 9.4609e+00 3.6426e-01 8.8047e+00 8.8047e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [1018.3127]
8; [[0.3918 9.45   0.     0.3916 0.     0.     9.45   9.45   0.3916 8.734
  8.734  0.     0.     0.     0.     0.    ]]; [1010.75916]
9; [[4.9219e-01 9.7969e+00 1.1444e-04 5.5420e-01 1.1444e-04 1.1444e-04
  9.4453e+00 9.4844e+00 5.5420e-01 8.7656e+00 8.7656e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [1032.7971]
10; [[ 0.435   9.39    0.      0.4421  0.      0.      9.45   11.86    0.5527
  10.92   10.92    0.      0.      0.      0.      0.    ]]; [1427.1855]
11; [[4.0527e-01 1.0117e+01 1.1444e-04 4.0527e-01 1.1444e-04 1.1444e-04
  9.2969e+00 9.3828e+00 4.0527e-01 8.5859e+00 8.5859e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [1007.91345]
12; [[0.5396 9.61   0.     0.539  0.     0.     9.5    9.51   0.5396 8.65
  8.65   0.     0.     0.     0.     0.    ]]; [1033.2137]
13; [[0.2122 9.81   0.     0.2122 0.     0.     9.42   9.51   0.2122 8.93
  8.93   0.     0.     0.     0.     0.    ]]; [1012.7333]
14; [[0.583  9.32   0.     0.583  0.     0.     9.49   9.51   0.5825 8.86
  8.86   0.     0.     0.     0.     0.    ]]; [1040.2345]
15; [[ 0.343  13.25    0.      0.343   0.      0.     11.83   11.89    0.3433
  10.87   10.87    0.      0.      0.      0.      0.    ]]; [1570.4113]
16; [[ 0.6797 11.41    0.      0.6777  0.      0.     11.62   11.7     0.678
   9.68    9.68    0.      0.      0.      0.      0.    ]]; [1475.4054]
17; [[ 0.422  12.49    0.      0.437   0.      0.     11.77   11.79    0.4373
   6.594   6.594   0.      0.      0.      0.      0.    ]]; [1336.7206]
18; [[ 0.405  10.      0.      0.405   0.      0.      9.42    9.42    0.4048
   4.34    4.34    0.      0.      0.      0.      0.    ]]; [845.44244]
19; [[0.3875 9.53   0.     0.3872 0.     0.     9.42   9.43   0.3875 4.188
  4.188  0.     0.     0.     0.     0.    ]]; [829.9197]
20; [[3.2637e+00 7.3359e+00 3.0879e+00 3.2852e+00 1.1444e-04 1.1444e-04
  9.0469e+00 1.2172e+01 3.4336e+00 4.6562e+00 7.7891e+00 1.1444e-04
  1.1444e-04 3.1367e+00 1.1444e-04 1.1444e-04]]; [1858.3856]
21; [[ 9.43 10.53  8.91  9.44  0.    0.    9.45 18.5   9.77  9.44 18.5   0.
   0.    9.08  0.    0.  ]]; [6483.0635]
22; [[ 9.055  8.08   9.43   9.25   0.     0.     9.29  22.9   12.06  11.625
  22.9    0.     0.    11.52   0.     0.   ]]; [8253.343]
23; [[ 8.88   9.945  6.195  8.83   0.     0.     8.836 17.6    9.34   8.79
  17.6    0.     0.     8.84   0.     0.   ]]; [5711.7354]
24; [[ 1.866   13.03     0.       1.705    0.       0.       9.47     9.805
   0.741    9.47     9.8      0.       0.       0.05545  0.       0.     ]]; [1391.8566]
25; [[7.334e-01 1.677e+01 1.431e-04 7.339e-01 1.431e-04 1.431e-04 1.180e+01
  1.181e+01 7.344e-01 1.181e+01 1.181e+01 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [1744.2985]
26; [[0.4312 9.22   0.     0.439  0.     0.     9.484  9.48   0.439  9.48
  9.48   0.     0.     0.     0.     0.    ]]; [1042.9982]
27; [[2.8784e-01 1.1891e+01 1.4305e-04 2.8784e-01 1.4305e-04 1.4305e-04
  1.1664e+01 1.1672e+01 2.8760e-01 1.1672e+01 1.1672e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1532.1354]
28; [[ 0.3972 12.68    0.      0.399   0.      0.     11.8    11.836   0.399
  10.14   10.14    0.      0.      0.      0.      0.    ]]; [1519.3313]
29; [[3.8599e-01 9.0625e+00 1.1444e-04 3.8574e-01 1.1444e-04 1.1444e-04
  9.4609e+00 9.4453e+00 3.8574e-01 8.4141e+00 8.4141e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [989.1453]
30; [[0.3276 9.49   0.     0.3271 0.     0.     9.47   9.46   0.3271 8.19
  8.19   0.     0.     0.     0.     0.    ]]; [984.5359]
31; [[2.8491e-01 9.9531e+00 1.1444e-04 2.8345e-01 1.1444e-04 1.1444e-04
  9.3359e+00 9.3438e+00 2.8345e-01 6.3750e+00 6.3750e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [902.7896]
32; [[ 0.4792 11.17    0.      0.4792  0.      0.     11.83   11.83    0.4792
   5.72    7.15    0.      0.      0.      0.      0.    ]]; [1309.4711]
33; [[3.469e-01 1.213e+01 1.431e-04 3.494e-01 1.431e-04 1.431e-04 1.178e+01
  1.177e+01 3.494e-01 4.891e+00 4.891e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [1235.1011]
