Step; State; Reward
1; [[0.154   4.746   0.      0.09644 0.      0.      4.234   4.195   0.0963
  4.19    4.19    0.      0.      0.      0.      0.     ]]; [235.28432]
2; [[ 0.2598 11.54    0.      0.259   0.      0.     10.57   10.44    0.259
  10.43   10.43    0.      0.      0.      0.      0.    ]]; [1260.5199]
3; [[1.6543e+00 1.0289e+01 1.1444e-04 1.6543e+00 1.1444e-04 1.1444e-04
  1.0609e+01 9.2266e+00 3.2104e-01 9.2266e+00 9.2266e+00 1.1444e-04
  1.3350e+00 1.1444e-04 1.1444e-04 1.1444e-04]]; [1244.9387]
4; [[ 9.17   1.43   0.    16.56   0.     0.    17.4    9.51   0.591  9.51
   9.51   0.     8.336  0.     7.64   0.   ]]; [3458.6917]
5; [[9.5156e+00 1.8909e-01 1.1444e-04 1.4953e+01 1.1444e-04 1.1444e-04
  1.4547e+01 9.5156e+00 5.9082e-01 9.5156e+00 9.5156e+00 1.1444e-04
  4.9180e+00 1.1444e-04 9.4297e+00 1.1444e-04]]; [3270.5403]
6; [[9.48  0.938 0.    9.45  0.    0.    9.82  9.484 0.574 9.484 9.484 0.
  0.    0.    8.88  0.   ]]; [2677.3687]
7; [[1.189e+01 2.029e+00 1.431e-04 1.193e+01 1.431e-04 1.431e-04 1.323e+01
  1.188e+01 7.378e-01 1.188e+01 1.188e+01 1.431e-04 1.431e-04 1.431e-04
  1.119e+01 1.431e-04]]; [4276.33]
8; [[9.5    0.7417 0.     9.65   0.     0.     9.805  9.5    0.5874 9.5
  9.5    0.     0.     0.     9.06   0.    ]]; [2699.5105]
9; [[1.1805e+01 2.5176e+00 1.4305e-04 1.1375e+01 1.4305e-04 1.4305e-04
  1.3109e+01 1.1875e+01 7.3438e-01 1.1875e+01 1.1875e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.0633e+01 1.4305e-04]]; [4218.749]
10; [[11.805  1.873  0.    11.74   0.     0.    12.84  11.89   0.815 11.89
  11.89   0.     0.     0.    10.93   0.   ]]; [4211.0195]
11; [[9.3203e+00 1.5576e+00 1.1444e-04 9.1406e+00 1.1444e-04 1.1444e-04
  1.0117e+01 9.5156e+00 5.8154e-01 9.5156e+00 9.5156e+00 1.1444e-04
  1.1444e-04 1.1444e-04 8.5625e+00 1.1444e-04]]; [2683.8667]
12; [[ 9.22    1.61    0.      9.19    0.      0.     10.23    9.52    0.5703
   9.52    9.52    0.      0.      0.      8.61    0.    ]]; [2676.7017]
13; [[2.715e-01 1.330e+01 1.431e-04 2.712e-01 1.431e-04 1.431e-04 1.164e+01
  1.164e+01 2.712e-01 1.164e+01 1.164e+01 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [1557.1105]
14; [[ 0.4128 11.02    0.      0.4128  0.      0.      9.445   9.46    0.4128
   9.46    9.46    0.      0.      0.      0.      0.    ]]; [1072.7294]
15; [[0.3718 8.88   0.     0.3718 0.     0.     9.1    9.086  0.3716 9.086
  9.086  0.     0.     0.     0.     0.    ]]; [959.82135]
16; [[2.26  9.375 0.    2.26  1.903 0.    7.402 9.54  2.262 7.637 9.54  0.
