Step; State; Reward
0; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
3; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
4; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
5; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
6; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
7; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
8; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
9; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
10; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
11; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
12; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
13; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
14; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
15; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
16; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
17; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
18; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
19; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
20; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
21; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
22; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
23; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
24; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
25; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
26; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
27; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
28; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
29; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
30; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
31; [[0.0246   0.0278   0.       0.001756 0.       0.       0.02748  0.01131
  0.001756 0.00961  0.00961  0.       0.       0.       0.       0.      ]]; [0.]
32; [[0.0246   0.0278   0.       0.001756 0.       0.       0.02748  0.01131
  0.001756 0.00961  0.00961  0.       0.       0.       0.       0.      ]]; [0.]
33; [[0.0246   0.0278   0.       0.001756 0.       0.       0.02748  0.01131
  0.001756 0.00961  0.00961  0.       0.       0.       0.       0.      ]]; [0.]
34; [[0.0246   0.0278   0.       0.001756 0.       0.       0.02748  0.01131
  0.001756 0.00961  0.00961  0.       0.       0.       0.       0.      ]]; [0.]
35; [[0.0246   0.0278   0.       0.001756 0.       0.       0.02748  0.01131
  0.001756 0.00961  0.00961  0.       0.       0.       0.       0.      ]]; [0.]
36; [[0.0246   0.0278   0.       0.001756 0.       0.       0.02748  0.01131
  0.001756 0.00961  0.00961  0.       0.       0.       0.       0.      ]]; [0.]
37; [[0.0246   0.0278   0.       0.001756 0.       0.       0.02748  0.01131
  0.001756 0.00961  0.00961  0.       0.       0.       0.       0.      ]]; [0.]
38; [[0.0246   0.0278   0.       0.001756 0.       0.       0.02748  0.01131
  0.001756 0.00961  0.00961  0.       0.       0.       0.       0.      ]]; [0.]
39; [[0.0246   0.0278   0.       0.001756 0.       0.       0.02748  0.01131
  0.001756 0.00961  0.00961  0.       0.       0.       0.       0.      ]]; [0.]
40; [[7.092e-02 6.235e-01 1.431e-04 2.618e-02 3.014e-04 3.014e-04 4.729e-01
  4.116e-01 2.406e-02 4.036e-01 4.038e-01 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
41; [[7.092e-02 6.235e-01 1.431e-04 2.618e-02 3.014e-04 3.014e-04 4.729e-01
  4.116e-01 2.406e-02 4.036e-01 4.038e-01 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
42; [[7.092e-02 6.235e-01 1.431e-04 2.618e-02 3.014e-04 3.014e-04 4.729e-01
  4.116e-01 2.406e-02 4.036e-01 4.038e-01 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
43; [[7.092e-02 6.235e-01 1.431e-04 2.618e-02 3.014e-04 3.014e-04 4.729e-01
  4.116e-01 2.406e-02 4.036e-01 4.038e-01 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
44; [[2.779e-02 9.668e-01 1.259e-04 2.705e-02 0.000e+00 0.000e+00 8.657e-01
  5.684e-01 2.382e-02 5.664e-01 5.664e-01 1.259e-04 1.259e-04 0.000e+00
  1.259e-04 1.259e-04]]; [0.]
45; [[2.779e-02 9.668e-01 1.259e-04 2.705e-02 0.000e+00 0.000e+00 8.657e-01
  5.684e-01 2.382e-02 5.664e-01 5.664e-01 1.259e-04 1.259e-04 0.000e+00
  1.259e-04 1.259e-04]]; [0.]
46; [[2.779e-02 9.668e-01 1.259e-04 2.705e-02 0.000e+00 0.000e+00 8.657e-01
  5.684e-01 2.382e-02 5.664e-01 5.664e-01 1.259e-04 1.259e-04 0.000e+00
  1.259e-04 1.259e-04]]; [0.]
47; [[2.779e-02 9.668e-01 1.259e-04 2.705e-02 0.000e+00 0.000e+00 8.657e-01
  5.684e-01 2.382e-02 5.664e-01 5.664e-01 1.259e-04 1.259e-04 0.000e+00
  1.259e-04 1.259e-04]]; [0.]
48; [[2.779e-02 9.668e-01 1.259e-04 2.705e-02 0.000e+00 0.000e+00 8.657e-01
  5.684e-01 2.382e-02 5.664e-01 5.664e-01 1.259e-04 1.259e-04 0.000e+00
  1.259e-04 1.259e-04]]; [0.]
49; [[2.779e-02 9.668e-01 1.259e-04 2.705e-02 0.000e+00 0.000e+00 8.657e-01
