Step; State; Reward
Step; State; Reward
0; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
3; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
4; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
5; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
Step; State; Reward
Step; State; Reward
Step; State; Reward
0; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
1; [[1.708e-01 6.609e+00 1.431e-04 1.682e-01 3.014e-04 3.014e-04 6.613e+00
  6.082e+00 1.708e-01 6.082e+00 6.082e+00 3.014e-04 3.014e-04 1.431e-04
  3.014e-04 3.014e-04]]; [0.00295096]
2; [[ 0.2493 10.76    0.      0.2517  0.      0.     10.71   10.63    0.2524
  10.625  10.625   0.      0.      0.      0.      0.    ]]; [0.]
3; [[1.4395e+00 9.6328e+00 1.1444e-04 1.4395e+00 1.1444e-04 1.2148e+00
  7.8633e+00 9.6172e+00 1.4395e+00 9.6172e+00 8.3984e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.2148e+00]]; [0.00337329]
4; [[ 1.802 11.72   0.     1.441  0.     1.225  8.17  11.75   1.802 11.75
  10.22   0.     0.     0.     0.     1.225]]; [0.]
5; [[1.4668e+00 9.3594e+00 1.1444e-04 1.4717e+00 1.1444e-04 1.2803e+00
  7.9961e+00 9.3203e+00 1.4717e+00 8.8281e+00 7.5742e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.2803e+00]]; [0.00329224]
6; [[1.347 9.41  0.    1.342 0.    1.102 8.31  9.42  1.342 8.32  7.2   0.
  0.    0.    0.    1.102]]; [0.]
7; [[1.347 9.41  0.    1.342 0.    1.102 8.31  9.42  1.342 8.32  7.2   0.
  0.    0.    0.    1.102]]; [0.]
8; [[1.347 9.41  0.    1.342 0.    1.102 8.31  9.42  1.342 8.32  7.2   0.
  0.    0.    0.    1.102]]; [0.]
9; [[1.347 9.41  0.    1.342 0.    1.102 8.31  9.42  1.342 8.32  7.2   0.
  0.    0.    0.    1.102]]; [0.]
