Step; State; Reward
0; [[3.4698e-02 9.0479e-01 1.1444e-04 1.9989e-02 1.1444e-04 1.1444e-04
  8.4473e-01 7.9883e-01 1.9989e-02 7.9736e-01 7.9736e-01 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
1; [[3.4698e-02 9.0479e-01 1.1444e-04 1.9989e-02 1.1444e-04 1.1444e-04
  8.4473e-01 7.9883e-01 1.9989e-02 7.9736e-01 7.9736e-01 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
2; [[3.4698e-02 9.0479e-01 1.1444e-04 1.9989e-02 1.1444e-04 1.1444e-04
  8.4473e-01 7.9883e-01 1.9989e-02 7.9736e-01 7.9736e-01 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
3; [[3.4698e-02 9.0479e-01 1.1444e-04 1.9989e-02 1.1444e-04 1.1444e-04
  8.4473e-01 7.9883e-01 1.9989e-02 7.9736e-01 7.9736e-01 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
4; [[3.4698e-02 9.0479e-01 1.1444e-04 1.9989e-02 1.1444e-04 1.1444e-04
  8.4473e-01 7.9883e-01 1.9989e-02 7.9736e-01 7.9736e-01 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
5; [[3.4698e-02 9.0479e-01 1.1444e-04 1.9989e-02 1.1444e-04 1.1444e-04
  8.4473e-01 7.9883e-01 1.9989e-02 7.9736e-01 7.9736e-01 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
6; [[3.4698e-02 9.0479e-01 1.1444e-04 1.9989e-02 1.1444e-04 1.1444e-04
  8.4473e-01 7.9883e-01 1.9989e-02 7.9736e-01 7.9736e-01 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
7; [[3.4698e-02 9.0479e-01 1.1444e-04 1.9989e-02 1.1444e-04 1.1444e-04
  8.4473e-01 7.9883e-01 1.9989e-02 7.9736e-01 7.9736e-01 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
8; [[3.4698e-02 9.0479e-01 1.1444e-04 1.9989e-02 1.1444e-04 1.1444e-04
  8.4473e-01 7.9883e-01 1.9989e-02 7.9736e-01 7.9736e-01 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
9; [[3.4698e-02 9.0479e-01 1.1444e-04 1.9989e-02 1.1444e-04 1.1444e-04
  8.4473e-01 7.9883e-01 1.9989e-02 7.9736e-01 7.9736e-01 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
10; [[3.4698e-02 9.0479e-01 1.1444e-04 1.9989e-02 1.1444e-04 1.1444e-04
  8.4473e-01 7.9883e-01 1.9989e-02 7.9736e-01 7.9736e-01 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
11; [[0.07043 2.396   0.      0.041   0.      0.      2.342   2.389   0.0416
  2.385   2.385   0.      0.      0.      0.      0.     ]]; [0.]
12; [[0.07043 2.396   0.      0.041   0.      0.      2.342   2.389   0.0416
  2.385   2.385   0.      0.      0.      0.      0.     ]]; [0.]
13; [[0.07043 2.396   0.      0.041   0.      0.      2.342   2.389   0.0416
  2.385   2.385   0.      0.      0.      0.      0.     ]]; [0.]
14; [[0.07043 2.396   0.      0.041   0.      0.      2.342   2.389   0.0416
  2.385   2.385   0.      0.      0.      0.      0.     ]]; [0.]
15; [[0.07043 2.396   0.      0.041   0.      0.      2.342   2.389   0.0416
  2.385   2.385   0.      0.      0.      0.      0.     ]]; [0.]
16; [[0.07043 2.396   0.      0.041   0.      0.      2.342   2.389   0.0416
  2.385   2.385   0.      0.      0.      0.      0.     ]]; [0.]
17; [[0.07043 2.396   0.      0.041   0.      0.      2.342   2.389   0.0416
  2.385   2.385   0.      0.      0.      0.      0.     ]]; [0.]
18; [[0.07043 2.396   0.      0.041   0.      0.      2.342   2.389   0.0416
  2.385   2.385   0.      0.      0.      0.      0.     ]]; [0.]
19; [[0.07043 2.396   0.      0.041   0.      0.      2.342   2.389   0.0416
  2.385   2.385   0.      0.      0.      0.      0.     ]]; [0.]
20; [[0.07043 2.396   0.      0.041   0.      0.      2.342   2.389   0.0416
  2.385   2.385   0.      0.      0.      0.      0.     ]]; [0.]
21; [[0.07043 2.396   0.      0.041   0.      0.      2.342   2.389   0.0416
  2.385   2.385   0.      0.      0.      0.      0.     ]]; [0.]
22; [[0.07043 2.396   0.      0.041   0.      0.      2.342   2.389   0.0416
  2.385   2.385   0.      0.      0.      0.      0.     ]]; [0.]
23; [[0.07043 2.396   0.      0.041   0.      0.      2.342   2.389   0.0416
  2.385   2.385   0.      0.      0.      0.      0.     ]]; [0.]
24; [[0.07043 2.396   0.      0.041   0.      0.      2.342   2.389   0.0416
  2.385   2.385   0.      0.      0.      0.      0.     ]]; [0.]
25; [[0.07043 2.396   0.      0.041   0.      0.      2.342   2.389   0.0416
  2.385   2.385   0.      0.      0.      0.      0.     ]]; [0.]
26; [[0.07043 2.396   0.      0.041   0.      0.      2.342   2.389   0.0416
  2.385   2.385   0.      0.      0.      0.      0.     ]]; [0.]
27; [[0.07043 2.396   0.      0.041   0.      0.      2.342   2.389   0.0416
  2.385   2.385   0.      0.      0.      0.      0.     ]]; [0.]
28; [[0.07043 2.396   0.      0.041   0.      0.      2.342   2.389   0.0416
  2.385   2.385   0.      0.      0.      0.      0.     ]]; [0.]
29; [[0.07043 2.396   0.      0.041   0.      0.      2.342   2.389   0.0416
  2.385   2.385   0.      0.      0.      0.      0.     ]]; [0.]
30; [[0.07043 2.396   0.      0.041   0.      0.      2.342   2.389   0.0416
  2.385   2.385   0.      0.      0.      0.      0.     ]]; [0.]
31; [[0.2115 9.03   0.     0.1931 0.     0.     8.016  7.047  0.1923 7.04
