Step; State; Reward
0; [[2.129e-01 9.930e+00 0.000e+00 2.118e-01 0.000e+00 0.000e+00 9.492e+00
  2.594e+00 5.771e-02 1.610e+00 1.610e+00 1.717e-04 1.717e-04 1.717e-04
  0.000e+00 0.000e+00]]; [0.]
1; [[2.129e-01 9.930e+00 0.000e+00 2.118e-01 0.000e+00 0.000e+00 9.492e+00
  2.594e+00 5.771e-02 1.610e+00 1.610e+00 1.717e-04 1.717e-04 1.717e-04
  0.000e+00 0.000e+00]]; [0.]
2; [[2.129e-01 9.930e+00 0.000e+00 2.118e-01 0.000e+00 0.000e+00 9.492e+00
  2.594e+00 5.771e-02 1.610e+00 1.610e+00 1.717e-04 1.717e-04 1.717e-04
  0.000e+00 0.000e+00]]; [0.]
3; [[2.129e-01 9.930e+00 0.000e+00 2.118e-01 0.000e+00 0.000e+00 9.492e+00
  2.594e+00 5.771e-02 1.610e+00 1.610e+00 1.717e-04 1.717e-04 1.717e-04
  0.000e+00 0.000e+00]]; [0.]
4; [[2.129e-01 9.930e+00 0.000e+00 2.118e-01 0.000e+00 0.000e+00 9.492e+00
  2.594e+00 5.771e-02 1.610e+00 1.610e+00 1.717e-04 1.717e-04 1.717e-04
  0.000e+00 0.000e+00]]; [0.]
5; [[2.129e-01 9.930e+00 0.000e+00 2.118e-01 0.000e+00 0.000e+00 9.492e+00
  2.594e+00 5.771e-02 1.610e+00 1.610e+00 1.717e-04 1.717e-04 1.717e-04
  0.000e+00 0.000e+00]]; [0.]
6; [[2.129e-01 9.930e+00 0.000e+00 2.118e-01 0.000e+00 0.000e+00 9.492e+00
  2.594e+00 5.771e-02 1.610e+00 1.610e+00 1.717e-04 1.717e-04 1.717e-04
  0.000e+00 0.000e+00]]; [0.]
7; [[2.129e-01 9.930e+00 0.000e+00 2.118e-01 0.000e+00 0.000e+00 9.492e+00
  2.594e+00 5.771e-02 1.610e+00 1.610e+00 1.717e-04 1.717e-04 1.717e-04
  0.000e+00 0.000e+00]]; [0.]
8; [[2.129e-01 9.930e+00 0.000e+00 2.118e-01 0.000e+00 0.000e+00 9.492e+00
  2.594e+00 5.771e-02 1.610e+00 1.610e+00 1.717e-04 1.717e-04 1.717e-04
  0.000e+00 0.000e+00]]; [0.]
9; [[2.129e-01 9.930e+00 0.000e+00 2.118e-01 0.000e+00 0.000e+00 9.492e+00
  2.594e+00 5.771e-02 1.610e+00 1.610e+00 1.717e-04 1.717e-04 1.717e-04
  0.000e+00 0.000e+00]]; [0.]
10; [[2.129e-01 9.930e+00 0.000e+00 2.118e-01 0.000e+00 0.000e+00 9.492e+00
  2.594e+00 5.771e-02 1.610e+00 1.610e+00 1.717e-04 1.717e-04 1.717e-04
  0.000e+00 0.000e+00]]; [0.]
11; [[2.129e-01 9.930e+00 0.000e+00 2.118e-01 0.000e+00 0.000e+00 9.492e+00
  2.594e+00 5.771e-02 1.610e+00 1.610e+00 1.717e-04 1.717e-04 1.717e-04
  0.000e+00 0.000e+00]]; [0.]
12; [[2.129e-01 9.930e+00 0.000e+00 2.118e-01 0.000e+00 0.000e+00 9.492e+00
  2.594e+00 5.771e-02 1.610e+00 1.610e+00 1.717e-04 1.717e-04 1.717e-04
  0.000e+00 0.000e+00]]; [0.]
13; [[2.129e-01 9.930e+00 0.000e+00 2.118e-01 0.000e+00 0.000e+00 9.492e+00
  2.594e+00 5.771e-02 1.610e+00 1.610e+00 1.717e-04 1.717e-04 1.717e-04
  0.000e+00 0.000e+00]]; [0.]
