Step; State; Reward
0; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
1; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
2; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
3; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
4; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
5; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
6; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
7; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
8; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
9; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
10; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
11; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
12; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
13; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
14; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
15; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
16; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
17; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
18; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
19; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
20; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
21; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
22; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
23; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
24; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
25; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
26; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
27; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
28; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
29; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
30; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
31; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
   2.432   8.79    0.      0.      6.254   0.0953  0.    ]]; [0.]
32; [[ 5.867   6.676   6.54    6.445   0.      0.      6.52   12.71    6.566
