Step; State; Reward
0; [[ 0.2627 12.164   0.      0.2634  0.      0.     11.87   11.87    0.2634
  11.86   11.86    0.      0.      0.      0.      0.    ]]; [0.]
1; [[ 0.213  10.46    0.      0.2184  0.      0.      9.53    9.53    0.2184
   9.53    9.53    0.      0.      0.      0.      0.    ]]; [0.]
2; [[ 0.213  10.46    0.      0.2184  0.      0.      9.53    9.53    0.2184
   9.53    9.53    0.      0.      0.      0.      0.    ]]; [0.]
3; [[ 0.213  10.46    0.      0.2184  0.      0.      9.53    9.53    0.2184
   9.53    9.53    0.      0.      0.      0.      0.    ]]; [0.]
4; [[ 0.213  10.46    0.      0.2184  0.      0.      9.53    9.53    0.2184
   9.53    9.53    0.      0.      0.      0.      0.    ]]; [0.]
5; [[ 0.213  10.46    0.      0.2184  0.      0.      9.53    9.53    0.2184
   9.53    9.53    0.      0.      0.      0.      0.    ]]; [0.]
6; [[ 0.213  10.46    0.      0.2184  0.      0.      9.53    9.53    0.2184
   9.53    9.53    0.      0.      0.      0.      0.    ]]; [0.]
7; [[ 0.213  10.46    0.      0.2184  0.      0.      9.53    9.53    0.2184
   9.53    9.53    0.      0.      0.      0.      0.    ]]; [0.]
8; [[ 0.213  10.46    0.      0.2184  0.      0.      9.53    9.53    0.2184
   9.53    9.53    0.      0.      0.      0.      0.    ]]; [0.]
9; [[ 0.213  10.46    0.      0.2184  0.      0.      9.53    9.53    0.2184
   9.53    9.53    0.      0.      0.      0.      0.    ]]; [0.]
10; [[ 0.213  10.46    0.      0.2184  0.      0.      9.53    9.53    0.2184
   9.53    9.53    0.      0.      0.      0.      0.    ]]; [0.]
11; [[ 0.213  10.46    0.      0.2184  0.      0.      9.53    9.53    0.2184
   9.53    9.53    0.      0.      0.      0.      0.    ]]; [0.]
12; [[ 0.213  10.46    0.      0.2184  0.      0.      9.53    9.53    0.2184
   9.53    9.53    0.      0.      0.      0.      0.    ]]; [0.]
13; [[ 0.213  10.46    0.      0.2184  0.      0.      9.53    9.53    0.2184
   9.53    9.53    0.      0.      0.      0.      0.    ]]; [0.]
14; [[ 0.213  10.46    0.      0.2184  0.      0.      9.53    9.53    0.2184
   9.53    9.53    0.      0.      0.      0.      0.    ]]; [0.]
15; [[ 0.213  10.46    0.      0.2184  0.      0.      9.53    9.53    0.2184
   9.53    9.53    0.      0.      0.      0.      0.    ]]; [0.]
16; [[3.982e-01 5.520e+00 9.537e-05 3.828e-01 2.003e-04 2.003e-04 6.352e+00
  6.305e+00 3.645e-01 6.305e+00 6.305e+00 9.537e-05 9.537e-05 9.537e-05
  2.003e-04 9.537e-05]]; [0.]
17; [[3.982e-01 5.520e+00 9.537e-05 3.828e-01 2.003e-04 2.003e-04 6.352e+00
  6.305e+00 3.645e-01 6.305e+00 6.305e+00 9.537e-05 9.537e-05 9.537e-05
  2.003e-04 9.537e-05]]; [0.]
18; [[3.982e-01 5.520e+00 9.537e-05 3.828e-01 2.003e-04 2.003e-04 6.352e+00
  6.305e+00 3.645e-01 6.305e+00 6.305e+00 9.537e-05 9.537e-05 9.537e-05
  2.003e-04 9.537e-05]]; [0.]
19; [[3.982e-01 5.520e+00 9.537e-05 3.828e-01 2.003e-04 2.003e-04 6.352e+00
  6.305e+00 3.645e-01 6.305e+00 6.305e+00 9.537e-05 9.537e-05 9.537e-05
  2.003e-04 9.537e-05]]; [0.]
20; [[3.982e-01 5.520e+00 9.537e-05 3.828e-01 2.003e-04 2.003e-04 6.352e+00
  6.305e+00 3.645e-01 6.305e+00 6.305e+00 9.537e-05 9.537e-05 9.537e-05
  2.003e-04 9.537e-05]]; [0.]
21; [[3.982e-01 5.520e+00 9.537e-05 3.828e-01 2.003e-04 2.003e-04 6.352e+00
  6.305e+00 3.645e-01 6.305e+00 6.305e+00 9.537e-05 9.537e-05 9.537e-05
  2.003e-04 9.537e-05]]; [0.]
22; [[3.982e-01 5.520e+00 9.537e-05 3.828e-01 2.003e-04 2.003e-04 6.352e+00
  6.305e+00 3.645e-01 6.305e+00 6.305e+00 9.537e-05 9.537e-05 9.537e-05
  2.003e-04 9.537e-05]]; [0.]
23; [[ 0.1605 12.48    0.      0.1489  0.      0.     11.75   10.35    0.185
  10.34   10.34    0.      0.      0.      0.      0.    ]]; [0.]
24; [[ 0.1605 12.48    0.      0.1489  0.      0.     11.75   10.35    0.185
  10.34   10.34    0.      0.      0.      0.      0.    ]]; [0.]
25; [[ 0.1605 12.48    0.      0.1489  0.      0.     11.75   10.35    0.185
  10.34   10.34    0.      0.      0.      0.      0.    ]]; [0.]
26; [[ 0.1605 12.48    0.      0.1489  0.      0.     11.75   10.35    0.185
  10.34   10.34    0.      0.      0.      0.      0.    ]]; [0.]
27; [[ 0.1605 12.48    0.      0.1489  0.      0.     11.75   10.35    0.185
  10.34   10.34    0.      0.      0.      0.      0.    ]]; [0.]
28; [[ 0.1605 12.48    0.      0.1489  0.      0.     11.75   10.35    0.185
  10.34   10.34    0.      0.      0.      0.      0.    ]]; [0.]
29; [[ 0.1605 12.48    0.      0.1489  0.      0.     11.75   10.35    0.185
  10.34   10.34    0.      0.      0.      0.      0.    ]]; [0.]
30; [[ 0.1605 12.48    0.      0.1489  0.      0.     11.75   10.35    0.185
  10.34   10.34    0.      0.      0.      0.      0.    ]]; [0.]
31; [[ 0.1605 12.48    0.      0.1489  0.      0.     11.75   10.35    0.185
  10.34   10.34    0.      0.      0.      0.      0.    ]]; [0.]
32; [[ 0.1605 12.48    0.      0.1489  0.      0.     11.75   10.35    0.185
  10.34   10.34    0.      0.      0.      0.      0.    ]]; [0.]
33; [[ 0.1605 12.48    0.      0.1489  0.      0.     11.75   10.35    0.185
  10.34   10.34    0.      0.      0.      0.      0.    ]]; [0.]
34; [[ 0.1605 12.48    0.      0.1489  0.      0.     11.75   10.35    0.185
  10.34   10.34    0.      0.      0.      0.      0.    ]]; [0.]
35; [[ 0.1605 12.48    0.      0.1489  0.      0.     11.75   10.35    0.185
  10.34   10.34    0.      0.      0.      0.      0.    ]]; [0.]
36; [[0.3005 8.664  0.     0.2993 0.     0.     8.66   9.26   0.2935 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
37; [[0.3005 8.664  0.     0.2993 0.     0.     8.66   9.26   0.2935 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
38; [[0.3005 8.664  0.     0.2993 0.     0.     8.66   9.26   0.2935 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
39; [[0.3005 8.664  0.     0.2993 0.     0.     8.66   9.26   0.2935 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
40; [[0.3005 8.664  0.     0.2993 0.     0.     8.66   9.26   0.2935 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
41; [[0.3005 8.664  0.     0.2993 0.     0.     8.66   9.26   0.2935 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
42; [[0.3005 8.664  0.     0.2993 0.     0.     8.66   9.26   0.2935 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
43; [[0.3005 8.664  0.     0.2993 0.     0.     8.66   9.26   0.2935 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
44; [[0.3005 8.664  0.     0.2993 0.     0.     8.66   9.26   0.2935 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
45; [[0.3005 8.664  0.     0.2993 0.     0.     8.66   9.26   0.2935 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
46; [[0.3005 8.664  0.     0.2993 0.     0.     8.66   9.26   0.2935 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
47; [[0.3005 8.664  0.     0.2993 0.     0.     8.66   9.26   0.2935 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
48; [[0.3005 8.664  0.     0.2993 0.     0.     8.66   9.26   0.2935 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
49; [[0.3005 8.664  0.     0.2993 0.     0.     8.66   9.26   0.2935 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
50; [[0.3005 8.664  0.     0.2993 0.     0.     8.66   9.26   0.2935 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
51; [[0.3005 8.664  0.     0.2993 0.     0.     8.66   9.26   0.2935 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
52; [[0.3005 8.664  0.     0.2993 0.     0.     8.66   9.26   0.2935 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
53; [[0.3005 8.664  0.     0.2993 0.     0.     8.66   9.26   0.2935 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
54; [[0.3005 8.664  0.     0.2993 0.     0.     8.66   9.26   0.2935 9.25
  9.25   0.     0.     0.     0.     0.    ]]; [0.]
55; [[2.844e-01 9.242e+00 1.431e-04 2.793e-01 1.431e-04 1.431e-04 9.492e+00
  9.039e+00 2.820e-01 9.039e+00 9.039e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
