Step; State; Reward
0; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
3; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
4; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
5; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
6; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
7; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
8; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
9; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
10; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
11; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
12; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
13; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
14; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
15; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
16; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
17; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
18; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
19; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
20; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
21; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
22; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
23; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
24; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
25; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
26; [[0.05167    0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
27; [[0.05167    0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
28; [[0.05167    0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
29; [[0.05167    0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
30; [[0.05167    0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
31; [[0.05167    0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
32; [[0.05167    0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
33; [[0.01362 0.2559  0.      0.01053 0.      0.      0.2107  0.1414  0.01053
  0.1368  0.1368  0.      0.      0.      0.      0.     ]]; [0.]
34; [[0.01362 0.2559  0.      0.01053 0.      0.      0.2107  0.1414  0.01053
  0.1368  0.1368  0.      0.      0.      0.      0.     ]]; [0.]
35; [[0.09064 0.9585  0.      0.068   0.      0.      1.247   2.08    0.09064
  2.08    2.08    0.      0.      0.      0.      0.     ]]; [0.]
36; [[0.09064 0.9585  0.      0.068   0.      0.      1.247   2.08    0.09064
  2.08    2.08    0.      0.      0.      0.      0.     ]]; [0.]
37; [[0.09064 0.9585  0.      0.068   0.      0.      1.247   2.08    0.09064
  2.08    2.08    0.      0.      0.      0.      0.     ]]; [0.]
38; [[0.0385  1.554   0.      0.03952 0.      0.      1.386   1.011   0.0385
  1.011   1.011   0.      0.      0.      0.      0.     ]]; [0.]
39; [[0.0385  1.554   0.      0.03952 0.      0.      1.386   1.011   0.0385
  1.011   1.011   0.      0.      0.      0.      0.     ]]; [0.]
40; [[0.0385  1.554   0.      0.03952 0.      0.      1.386   1.011   0.0385
  1.011   1.011   0.      0.      0.      0.      0.     ]]; [0.]
41; [[0.0691  3.27    0.      0.07263 0.      0.      2.955   2.576   0.0735
  2.576   2.576   0.      0.      0.      0.      0.     ]]; [0.]
42; [[0.0691  3.27    0.      0.07263 0.      0.      2.955   2.576   0.0735
  2.576   2.576   0.      0.      0.      0.      0.     ]]; [0.]
43; [[0.0691  3.27    0.      0.07263 0.      0.      2.955   2.576   0.0735
  2.576   2.576   0.      0.      0.      0.      0.     ]]; [0.]
44; [[0.0691  3.27    0.      0.07263 0.      0.      2.955   2.576   0.0735
  2.576   2.576   0.      0.      0.      0.      0.     ]]; [0.]
45; [[0.0691  3.27    0.      0.07263 0.      0.      2.955   2.576   0.0735
  2.576   2.576   0.      0.      0.      0.      0.     ]]; [0.]
46; [[0.0691  3.27    0.      0.07263 0.      0.      2.955   2.576   0.0735
  2.576   2.576   0.      0.      0.      0.      0.     ]]; [0.]
47; [[1.0730e-01 4.2070e+00 2.4033e-04 1.0846e-01 1.1444e-04 1.1444e-04
  3.5488e+00 3.3887e+00 1.0376e-01 3.3887e+00 3.3887e+00 2.4033e-04
  1.1444e-04 2.4033e-04 1.1444e-04 2.4033e-04]]; [0.]
48; [[1.0730e-01 4.2070e+00 2.4033e-04 1.0846e-01 1.1444e-04 1.1444e-04
  3.5488e+00 3.3887e+00 1.0376e-01 3.3887e+00 3.3887e+00 2.4033e-04
  1.1444e-04 2.4033e-04 1.1444e-04 2.4033e-04]]; [0.]
49; [[1.0730e-01 4.2070e+00 2.4033e-04 1.0846e-01 1.1444e-04 1.1444e-04
  3.5488e+00 3.3887e+00 1.0376e-01 3.3887e+00 3.3887e+00 2.4033e-04
  1.1444e-04 2.4033e-04 1.1444e-04 2.4033e-04]]; [0.]
50; [[0.1628 6.547  0.     0.1614 0.     0.     6.023  5.086  0.1614 5.086
  5.086  0.     0.     0.     0.     0.    ]]; [0.]
51; [[0.1628 6.547  0.     0.1614 0.     0.     6.023  5.086  0.1614 5.086
  5.086  0.     0.     0.     0.     0.    ]]; [0.]
52; [[0.1628 6.547  0.     0.1614 0.     0.     6.023  5.086  0.1614 5.086
  5.086  0.     0.     0.     0.     0.    ]]; [0.]
53; [[0.2147 8.75   0.     0.2161 0.     0.     7.55   8.1    0.2161 8.1
  8.1    0.     0.     0.     0.     0.    ]]; [0.]
54; [[0.2147 8.75   0.     0.2161 0.     0.     7.55   8.1    0.2161 8.1
  8.1    0.     0.     0.     0.     0.    ]]; [0.]
55; [[0.2147 8.75   0.     0.2161 0.     0.     7.55   8.1    0.2161 8.1
  8.1    0.     0.     0.     0.     0.    ]]; [0.]
56; [[0.2147 8.75   0.     0.2161 0.     0.     7.55   8.1    0.2161 8.1
  8.1    0.     0.     0.     0.     0.    ]]; [0.]
57; [[0.2147 8.75   0.     0.2161 0.     0.     7.55   8.1    0.2161 8.1
  8.1    0.     0.     0.     0.     0.    ]]; [0.]
58; [[0.2147 8.75   0.     0.2161 0.     0.     7.55   8.1    0.2161 8.1
  8.1    0.     0.     0.     0.     0.    ]]; [0.]
59; [[0.2147 8.75   0.     0.2161 0.     0.     7.55   8.1    0.2161 8.1
  8.1    0.     0.     0.     0.     0.    ]]; [0.]
60; [[0.2147 8.75   0.     0.2161 0.     0.     7.55   8.1    0.2161 8.1
  8.1    0.     0.     0.     0.     0.    ]]; [0.]
61; [[0.2147 8.75   0.     0.2161 0.     0.     7.55   8.1    0.2161 8.1
  8.1    0.     0.     0.     0.     0.    ]]; [0.]
62; [[0.2147 8.75   0.     0.2161 0.     0.     7.55   8.1    0.2161 8.1
  8.1    0.     0.     0.     0.     0.    ]]; [0.]
63; [[0.2147 8.75   0.     0.2161 0.     0.     7.55   8.1    0.2161 8.1
  8.1    0.     0.     0.     0.     0.    ]]; [0.]
64; [[0.2147 8.75   0.     0.2161 0.     0.     7.55   8.1    0.2161 8.1
  8.1    0.     0.     0.     0.     0.    ]]; [0.]
65; [[0.2147 8.75   0.     0.2161 0.     0.     7.55   8.1    0.2161 8.1
  8.1    0.     0.     0.     0.     0.    ]]; [0.]
66; [[0.2147 8.75   0.     0.2161 0.     0.     7.55   8.1    0.2161 8.1
  8.1    0.     0.     0.     0.     0.    ]]; [0.]
67; [[0.2147 8.75   0.     0.2161 0.     0.     7.55   8.1    0.2161 8.1
  8.1    0.     0.     0.     0.     0.    ]]; [0.]
68; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
69; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
70; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
71; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
72; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
73; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
74; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
75; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
76; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
77; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
78; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
79; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
80; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
81; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
82; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
83; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
84; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
85; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
86; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
87; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
88; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
89; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
90; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
91; [[6.421e-01 2.262e+01 1.907e-04 6.387e-01 4.015e-04 4.015e-04 1.512e+01
  1.515e+01 6.416e-01 1.515e+01 1.515e+01 1.907e-04 1.907e-04 1.907e-04
  1.907e-04 1.907e-04]]; [0.]
92; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
93; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
94; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
95; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
96; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
97; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
98; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
99; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
100; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
101; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
102; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
103; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
104; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
105; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
106; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
107; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
108; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
109; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
110; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
111; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
112; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
113; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
114; [[ 0.5176 10.39    0.      0.513   0.      0.      8.34    8.34    0.506
   8.34    8.34    0.      0.      0.      0.      0.    ]]; [0.]
115; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
116; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
117; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
118; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
119; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
120; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
121; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
122; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
123; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
124; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
125; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
126; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
127; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
128; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
129; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
130; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
131; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
132; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
133; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
134; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
135; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
136; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
137; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
138; [[ 0.5293 11.29    0.      0.5293  0.      0.     10.3    10.07    0.5435
  10.07   10.07    0.      0.      0.      0.      0.    ]]; [0.]
139; [[4.5801e-01 8.7188e+00 1.1444e-04 4.6045e-01 1.1444e-04 1.1444e-04
  8.4141e+00 8.6797e+00 4.5483e-01 8.6797e+00 8.6797e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
140; [[4.5801e-01 8.7188e+00 1.1444e-04 4.6045e-01 1.1444e-04 1.1444e-04
  8.4141e+00 8.6797e+00 4.5483e-01 8.6797e+00 8.6797e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
141; [[4.5801e-01 8.7188e+00 1.1444e-04 4.6045e-01 1.1444e-04 1.1444e-04
  8.4141e+00 8.6797e+00 4.5483e-01 8.6797e+00 8.6797e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
142; [[4.5801e-01 8.7188e+00 1.1444e-04 4.6045e-01 1.1444e-04 1.1444e-04
  8.4141e+00 8.6797e+00 4.5483e-01 8.6797e+00 8.6797e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
143; [[4.5801e-01 8.7188e+00 1.1444e-04 4.6045e-01 1.1444e-04 1.1444e-04
  8.4141e+00 8.6797e+00 4.5483e-01 8.6797e+00 8.6797e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
144; [[4.5801e-01 8.7188e+00 1.1444e-04 4.6045e-01 1.1444e-04 1.1444e-04
  8.4141e+00 8.6797e+00 4.5483e-01 8.6797e+00 8.6797e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
145; [[4.5801e-01 8.7188e+00 1.1444e-04 4.6045e-01 1.1444e-04 1.1444e-04
  8.4141e+00 8.6797e+00 4.5483e-01 8.6797e+00 8.6797e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
146; [[4.5801e-01 8.7188e+00 1.1444e-04 4.6045e-01 1.1444e-04 1.1444e-04
  8.4141e+00 8.6797e+00 4.5483e-01 8.6797e+00 8.6797e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
147; [[4.5801e-01 8.7188e+00 1.1444e-04 4.6045e-01 1.1444e-04 1.1444e-04
  8.4141e+00 8.6797e+00 4.5483e-01 8.6797e+00 8.6797e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
148; [[4.5801e-01 8.7188e+00 1.1444e-04 4.6045e-01 1.1444e-04 1.1444e-04
