Step; State; Reward
1; [[0.09155 3.328   0.      0.07336 0.      0.      3.143   3.123   0.07336
  3.12    3.12    0.      0.      0.      0.      0.     ]]; [137.11375]
2; [[2.690e-01 1.224e+01 1.431e-04 2.690e-01 1.431e-04 1.431e-04 1.181e+01
  1.177e+01 2.688e-01 1.177e+01 1.177e+01 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [1562.9877]
3; [[ 0.3394 10.734   0.      0.3394  0.      0.      9.43    9.43    0.3394
   6.2     6.2     0.      0.      0.      0.      0.    ]]; [927.9911]
4; [[4.4482e-01 9.9375e+00 1.1444e-04 4.4482e-01 1.1444e-04 1.1444e-04
  9.4609e+00 9.4688e+00 4.4458e-01 2.3984e+00 2.3984e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [776.30054]
5; [[ 0.263 12.07   0.     0.263  0.     0.    11.91  11.9    0.263  0.
   0.     0.     0.     0.     0.     0.   ]]; [1030.8546]
6; [[2.0618e-01 9.5859e+00 1.1444e-04 2.0593e-01 1.1444e-04 1.1444e-04
  9.4453e+00 9.4375e+00 2.0593e-01 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [674.5053]
7; [[ 0.2059 10.77    0.      0.2059  0.      0.      9.44    9.445   0.2059
   0.      0.      0.      0.      0.      0.      0.    ]]; [697.85834]
8; [[5.1025e-01 8.3047e+00 1.1444e-04 5.0928e-01 1.1444e-04 1.1444e-04
  9.3438e+00 9.4766e+00 5.0928e-01 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [671.64166]
9; [[ 0.221  14.4     0.      0.2522  0.      0.      9.31    9.36    0.2522
   0.      0.      0.      0.      0.      0.      0.    ]]; [758.5911]
10; [[2.9141e+00 9.5938e+00 1.1444e-04 2.9082e+00 2.4199e+00 1.1444e-04
  7.0859e+00 9.5234e+00 2.8672e+00 1.1444e-04 2.4492e+00 1.1444e-04
  1.1444e-04 2.4395e+00 1.1444e-04 1.1444e-04]]; [1136.8959]
11; [[ 5.89   14.88    0.      0.2913  0.1494  0.     11.75   11.91    0.4155
   7.67    7.824   5.61    0.      0.1501  0.      0.    ]]; [2492.4036]
12; [[9.92  9.74  0.    0.408 4.12  0.    5.348 9.516 4.566 5.43  9.516 9.61
  0.    4.168 0.    0.   ]]; [2913.1753]
13; [[4.887    2.23     0.       4.87     4.598    0.       0.005775 4.723
  4.758    0.05096  4.723    0.       0.       4.703    0.       0.      ]]; [758.9044]
14; [[0.00231    0.00231    0.         0.00231    0.00231    0.
  0.         0.00231    0.00231    0.00011826 0.00231    0.
  0.         0.00231    0.         0.        ]]; [0.07391357]
15; [[6.39e-05 6.39e-05 0.00e+00 6.39e-05 0.00e+00 0.00e+00 6.39e-05 6.39e-05
  6.39e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00]]; [0.00204468]
16; [[0.0007553 0.        0.        0.        0.        0.        0.
  0.        0.        0.        0.        0.        0.        0.
  0.        0.       ]]; [0.01208496]
17; [[0.005775  0.0007553 0.        0.01651   0.        0.        0.0007553
  0.0007553 0.01651   0.        0.        0.        0.        0.
  0.        0.       ]]; [0.10449219]
18; [[0.00e+00 6.39e-05 0.00e+00 6.39e-05 0.00e+00 0.00e+00 6.39e-05 6.39e-05
  6.39e-05 6.39e-05 6.39e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00]]; [0.00102234]
19; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.00769043]
20; [[0.        0.002888  0.        0.        0.        0.        0.002888
  0.002888  0.        0.0001488 0.        0.        0.        0.
  0.        0.       ]]; [0.04620361]
21; [[1.2280e-01 7.9375e+00 1.1444e-04 1.2268e-01 1.1444e-04 1.1444e-04
  5.6914e+00 5.6914e+00 1.2268e-01 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [300.36658]
22; [[0.203 9.38  0.    0.203 0.    0.    9.336 9.33  0.203 0.    0.    0.
  0.    0.    0.    0.   ]]; [658.77826]
23; [[2.5439e-01 1.2055e+01 1.4305e-04 2.5391e-01 1.4305e-04 1.4305e-04
  1.1664e+01 1.1664e+01 2.5391e-01 1.4305e-04 1.4305e-04 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [998.56323]
24; [[ 0.2034 10.484   0.      0.2029  0.      0.      9.336   9.33    0.2029
   0.      0.      0.      0.      0.      0.      0.    ]]; [679.5554]
25; [[5.620e-01 1.206e+01 1.431e-04 5.615e-01 1.431e-04 1.431e-04 1.178e+01
  1.179e+01 5.615e-01 1.431e-04 1.431e-04 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [1040.6243]
26; [[0.08563 6.383   0.      0.10345 0.      0.      8.62    8.62    0.10345
  0.      0.      0.      0.      0.      0.      0.     ]]; [524.23175]
27; [[8.3862e-02 8.4062e+00 1.1444e-04 8.3740e-02 1.1444e-04 1.1444e-04
  6.0352e+00 6.0352e+00 8.3740e-02 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [329.95273]
28; [[ 0.2534 12.234   0.      0.2534  0.      0.     11.664  11.66    0.2534
   0.      0.      0.      0.      0.      0.      0.    ]]; [1001.5945]
29; [[0.2032 9.96   0.     0.2032 0.     0.     9.336  9.336  0.2032 0.
  0.     0.     0.     0.     0.     0.    ]]; [669.9072]
30; [[ 0.4934 11.77    0.      0.4937  0.      0.     11.74   11.74    0.4937
   0.      0.      0.      0.      0.      0.      0.    ]]; [1022.17596]
31; [[0.1931 9.984  0.     0.1929 0.     0.     7.617  7.617  0.1929 0.
  0.     0.     0.     0.     0.     0.    ]]; [495.5389]
32; [[ 0.737 10.49   0.     0.738  0.     0.    11.72  11.875  0.738 11.875
  11.875  0.     0.     0.     0.     0.   ]]; [1597.5275]
33; [[0.1802 9.695  0.     0.1802 0.     0.     6.52   6.742  0.1804 6.742
  6.742  0.     0.     0.     0.     0.    ]]; [580.84186]
34; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
35; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
