Step; State; Reward
1; [[0.10876 3.775   0.      0.0724  0.      0.      3.525   3.492   0.0724
  3.488   3.488   0.      0.      0.      0.      0.     ]]; [167.59525]
2; [[2.1167e-01 9.8047e+00 1.1444e-04 2.1155e-01 1.1444e-04 1.1444e-04
  9.2656e+00 9.1641e+00 2.1155e-01 6.3242e+00 6.3242e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [869.5445]
3; [[0.5015 9.41   0.     0.5015 0.     0.     9.46   9.47   0.5015 6.312
  6.312  0.     0.     0.     0.     0.    ]]; [926.2777]
4; [[5.2979e-01 1.1461e+01 1.4305e-04 5.2930e-01 1.4305e-04 1.4305e-04
  1.1836e+01 1.1828e+01 5.2979e-01 7.0625e+00 7.0625e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1353.6228]
5; [[0.2411 9.83   0.     0.2411 0.     0.     9.484  9.49   0.2411 5.746
  5.746  0.     0.     0.     0.     0.    ]]; [891.41]
6; [[4.754e+00 1.296e+01 1.431e-04 6.772e-01 1.431e-04 1.431e-04 1.183e+01
  1.184e+01 6.772e-01 8.477e+00 8.477e+00 4.078e+00 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [2220.4878]
7; [[ 8.22  12.86   0.     0.713  0.     0.    11.875 11.875  0.713  9.84
   9.84   7.51   0.     0.     0.     0.   ]]; [3075.9907]
8; [[8.8047e+00 1.0008e+01 1.1444e-04 5.7861e-01 1.1444e-04 1.1444e-04
  9.5234e+00 9.5234e+00 5.7861e-01 8.7812e+00 8.7812e+00 8.2188e+00
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [2497.2021]
9; [[10.19   9.875  0.     5.996  5.31   0.     6.516 12.16   6.     5.543
  10.89   4.234  0.     5.348  0.     0.   ]]; [3778.9055]
10; [[7.168 9.875 0.    7.168 6.812 0.    2.533 9.49  7.168 1.411 8.37  0.
  0.    6.93  0.    0.   ]]; [2329.9485]
11; [[ 5.258 14.664  0.     5.258  4.64   0.     7.117 11.83   5.258  5.12
   9.836  0.     0.     4.64   0.     0.   ]]; [2617.6287]
12; [[ 2.783 12.67   0.     2.783  2.18   0.     9.63  11.79   2.783  7.01
   9.195  0.     0.     2.18   0.     0.   ]]; [1924.3606]
13; [[0.6465 9.6    0.     0.6465 0.2905 0.     9.19   9.46   0.627  7.84
  8.14   0.     0.     0.2957 0.     0.    ]]; [1005.6297]
14; [[0.2017 9.336  0.     0.2017 0.     0.     9.36   9.17   0.2015 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [926.3895]
15; [[0.5493 8.71   0.     0.55   0.     0.     9.49   9.49   0.55   7.617
  7.617  0.     0.     0.     0.     0.    ]]; [972.67596]
16; [[ 0.2876 10.66    0.      0.286   0.      0.      9.46    9.47    0.286
   7.676   7.676   0.      0.      0.      0.      0.    ]]; [983.7088]
17; [[2.0605e-01 9.8125e+00 1.1444e-04 2.0581e-01 1.1444e-04 1.1444e-04
  9.3594e+00 9.3672e+00 2.0581e-01 3.6641e+00 3.6641e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [792.2226]
18; [[0.4646 8.83   0.     0.4648 0.     0.     9.44   9.44   0.4646 2.96
  2.96   0.     0.     0.     0.     0.    ]]; [775.1208]
19; [[3.0029e-01 1.1367e+01 1.1444e-04 3.0005e-01 1.1444e-04 1.1444e-04
  9.4141e+00 9.4297e+00 3.0029e-01 3.1445e+00 3.1445e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [816.9398]
20; [[ 0.2712 13.52    0.      0.2712  0.      0.     11.69   11.72    0.2715
   2.672   2.672   0.      0.      0.      0.      0.    ]]; [1144.9738]
21; [[4.5654e-01 1.0375e+01 1.1444e-04 4.5630e-01 1.1444e-04 1.1444e-04
  9.4297e+00 9.4375e+00 4.5630e-01 2.4883e+00 2.4883e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [786.177]
