Step; State; Reward
1; [[0.0915 2.758  0.     0.0553 0.     0.     2.562  2.5    0.0554 2.496
  2.496  0.     0.     0.     0.     0.    ]]; [94.89344]
2; [[ 0.2686 11.21    0.      0.241   0.      0.     10.21   10.164   0.2408
   9.11    9.11    0.      0.      0.      0.      0.    ]]; [1153.6511]
3; [[0.4922 9.32   0.     0.4922 0.     0.     9.27   9.28   0.4922 6.508
  6.508  0.     0.     0.     0.     0.    ]]; [906.3685]
4; [[ 0.4182 11.836   0.      0.4172  0.      0.     11.66   11.47    0.4172
   8.22    8.22    0.      0.      0.      0.      0.    ]]; [1352.9625]
5; [[ 0.566 12.08   0.     0.566  0.     0.    11.8   11.79   0.566 11.74
  11.74   0.     0.     0.     0.     0.   ]]; [1597.2687]
6; [[0.3164 9.69   0.     0.3164 0.     0.     9.48   9.46   0.3164 9.46
  9.46   0.     0.     0.     0.     0.    ]]; [1037.5846]
7; [[0.2089 9.82   0.     0.2089 0.     0.     9.33   9.27   0.2089 9.27
  9.27   0.     0.     0.     0.     0.    ]]; [994.6072]
8; [[0.4128 9.73   0.     0.4126 0.     0.     9.48   9.484  0.4124 8.65
  8.65   0.     0.     0.     0.     0.    ]]; [1018.6154]
9; [[5.2148e-01 1.1664e+01 1.4305e-04 5.5664e-01 1.4305e-04 1.4305e-04
  1.1836e+01 1.1844e+01 5.5664e-01 8.3906e+00 1.0484e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1477.3589]
10; [[0.371  9.33   0.     0.371  0.     0.     9.48   9.48   0.3713 7.215
  7.215  0.     0.     0.     0.     0.    ]]; [949.49884]
11; [[6.1768e-01 9.8672e+00 1.1444e-04 6.1768e-01 3.0615e-01 1.1444e-04
  9.0078e+00 9.6250e+00 6.1719e-01 6.6914e+00 7.0039e+00 1.1444e-04
  1.1444e-04 3.1201e-01 1.1444e-04 1.1444e-04]]; [977.1054]
12; [[1.092 9.305 0.    1.092 0.795 0.    8.69  9.5   1.092 4.633 5.44  0.
  0.    0.811 0.    0.   ]]; [950.1698]
13; [[1.295e+00 1.248e+01 1.431e-04 1.295e+00 9.238e-01 1.431e-04 1.091e+01
  1.184e+01 1.295e+00 4.656e+00 5.594e+00 1.431e-04 1.431e-04 9.355e-01
  1.431e-04 1.431e-04]]; [1401.7015]
14; [[1.446 9.31  0.    1.441 1.078 0.    8.38  9.5   1.446 3.094 4.195 0.
  0.    1.102 0.    0.   ]]; [962.82916]
15; [[2.4258e+00 9.5391e+00 1.1444e-04 2.4258e+00 2.0176e+00 1.1444e-04
  7.4531e+00 9.4922e+00 2.4258e+00 2.1094e+00 4.1484e+00 1.1444e-04
  1.1444e-04 2.0371e+00 1.1444e-04 1.1444e-04]]; [1122.1287]
16; [[1.869 8.87  0.    1.87  1.465 0.    7.98  9.46  1.872 2.139 3.62  0.
  0.    1.48  0.    0.   ]]; [988.5474]
17; [[1.6104e+00 1.0000e+01 1.1444e-04 1.6367e+00 1.1865e+00 1.1444e-04
  8.2578e+00 9.4609e+00 1.6367e+00 2.2617e+00 3.4648e+00 1.1444e-04
  1.1444e-04 1.2041e+00 1.1444e-04 1.1444e-04]]; [968.1665]
18; [[ 2.156 12.62   0.     2.172  1.783  0.    10.03  11.836  2.172  3.398
   5.207  0.     0.     1.808  0.     0.   ]]; [1572.5706]
19; [[9.8877e-01 1.0492e+01 1.1444e-04 9.8828e-01 7.5781e-01 1.1444e-04
  8.5781e+00 9.3672e+00 9.8828e-01 3.0234e+00 3.7988e+00 1.1444e-04
  1.1444e-04 7.7393e-01 1.1444e-04 1.1444e-04]]; [843.86896]
20; [[0.391 9.79  0.    0.391 0.    0.    9.48  9.44  0.391 2.86  2.86  0.
  0.    0.    0.    0.   ]]; [784.6926]
21; [[ 3.36  11.22   3.057  3.385  0.     0.    11.81  14.91   3.602  3.252
   6.34   0.     0.     3.092  0.     0.   ]]; [2448.4407]
22; [[ 9.45  10.36   9.164  9.45   0.     0.     9.42  18.72   9.766  3.055
  12.34   0.     0.     9.31   0.     0.   ]]; [5863.0596]
23; [[ 9.46    8.98    9.664   9.46    0.      0.4712  8.96   18.94   10.55
   3.354  12.336   0.      0.      9.48    0.      0.4712]]; [5917.218]
24; [[ 6.914 14.59   0.735  6.617  0.     1.458 10.016 15.79   6.27   4.79
   7.504  0.     0.     3.621  0.     1.47 ]]; [3701.823]
25; [[2.176 9.44  0.    2.178 0.    1.633 7.855 9.484 2.178 4.234 2.604 0.
  0.    0.    0.    1.631]]; [1082.4244]
26; [[2.172 9.52  0.    2.172 0.    1.839 7.625 9.49  2.172 2.67  0.806 0.
  0.    0.    0.    1.864]]; [1003.5947]
27; [[2.004 9.74  0.    1.999 0.    1.752 7.652 9.44  1.999 2.975 1.189 0.
  0.    0.    0.    1.788]]; [996.2771]
28; [[2.508e+00 1.299e+01 1.431e-04 2.514e+00 1.431e-04 2.084e+00 9.688e+00
  1.182e+01 2.514e+00 4.348e+00 2.213e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 2.131e+00]]; [1599.402]
29; [[ 2.809 10.164  0.     1.53   0.     1.221  8.03   9.266  1.53   3.754
   2.514  1.277  0.     0.     0.     1.24 ]]; [1107.1132]
30; [[4.8164e+00 1.0312e+01 1.1444e-04 1.7500e+00 3.7891e-01 8.9697e-01
  8.1797e+00 9.4609e+00 1.7500e+00 4.9688e+00 4.4453e+00 3.0684e+00
  1.1444e-04 3.7891e-01 1.1444e-04 9.0088e-01]]; [1492.0663]
31; [[6.31   9.09   0.     1.172  0.3718 0.2761 8.83   9.484  1.172  6.137
  6.23   5.137  0.     0.3718 0.     0.2795]]; [1802.204]
32; [[6.2383e+00 1.0742e+01 1.1444e-04 7.6270e-01 2.9810e-01 1.1444e-04
  9.1719e+00 9.4688e+00 7.6270e-01 6.2578e+00 6.5547e+00 5.4766e+00
  1.1444e-04 2.9810e-01 1.1444e-04 1.1444e-04]]; [1834.7919]
33; [[5.14   7.777  0.     0.76   0.2402 0.     9.25   9.49   0.76   4.918
  5.156  4.38   0.     0.2402 0.     0.    ]]; [1480.5692]
34; [[9.6680e-01 1.1594e+01 1.1444e-04 9.7119e-01 7.4609e-01 1.1444e-04
  8.6641e+00 9.4219e+00 9.7119e-01 1.7139e+00 2.4609e+00 1.1444e-04
  1.1444e-04 7.4609e-01 1.1444e-04 1.1444e-04]]; [817.5263]
35; [[ 1.578  11.09    0.      1.578   1.169   0.      8.266   9.43    1.578
   0.7695  1.938   0.      0.      1.169   0.      0.    ]]; [909.30695]
36; [[1.363e+00 1.363e+01 1.431e-04 1.363e+00 1.101e+00 1.431e-04 1.062e+01
  1.172e+01 1.363e+00 1.514e+00 2.613e+00 1.431e-04 1.431e-04 1.101e+00
  1.431e-04 1.431e-04]]; [1292.4586]
37; [[ 1.403  11.97    0.      1.403   0.9473  0.     10.78   11.73    1.403
   1.2705  2.219   0.      0.      0.9473  0.      0.    ]]; [1212.9333]
38; [[6.2012e-01 1.0695e+01 1.1444e-04 6.1865e-01 4.0674e-01 1.1444e-04
  8.9766e+00 9.3828e+00 6.1865e-01 1.8115e+00 2.2188e+00 1.1444e-04
  1.1444e-04 4.0674e-01 1.1444e-04 1.1444e-04]]; [771.9013]
39; [[0.3577 9.45   0.     0.3577 0.     0.     9.21   9.195  0.3577 1.215
  1.215  0.     0.     0.     0.     0.    ]]; [683.7376]
40; [[ 0.4216 10.94    0.      0.4216  0.      0.      9.46    9.46    0.4216
   1.462   1.462   0.      0.      0.      0.      0.    ]]; [756.36914]
41; [[0.1802 9.3    0.     0.1783 0.     0.     8.086  8.     0.1783 0.2495
  0.2495 0.     0.     0.     0.     0.    ]]; [521.76794]
42; [[0.3184 8.695  0.     0.3652 0.     0.     9.     9.01   0.3652 0.
  0.     0.     0.     0.     0.     0.    ]]; [619.4088]
43; [[0.2397 9.78   0.     0.2402 0.     0.     9.4    9.42   0.2402 0.
  0.     0.     0.     0.     0.     0.    ]]; [678.3882]
44; [[ 0.204 10.79   0.     0.204  0.     0.     9.336  9.336  0.204  0.
   0.     0.     0.     0.     0.     0.   ]]; [685.82697]
45; [[2.422e-01 9.727e+00 1.431e-04 2.419e-01 1.431e-04 1.431e-04 1.072e+01
  1.072e+01 2.418e-01 1.431e-04 1.431e-04 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [825.8483]
46; [[0.193 6.895 0.    0.2   0.    0.    9.    8.98  0.2   0.    0.    0.
  0.    0.    0.    0.   ]]; [575.5371]
47; [[1.442e-01 5.535e+00 1.431e-04 1.495e-01 1.431e-04 1.431e-04 6.371e+00
  6.672e+00 1.495e-01 1.431e-04 1.431e-04 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [341.79053]
48; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
