Port number, Flow completion time (sec), transfered (MBytes), bandwidth (Mbps), Retries, Iter
46110, 173.0, 100.0, 4.85, 6177.0, 3
46112, 178.0, 101.0, 4.76, 2195.0, 0
46112, 185.0, 101.0, 4.59, 1767.0, 1
5201, 168.31, 91.7, 4.57, -1, 4
46110, 171.0, 100.0, 4.91, 912.0, 2
46110, 200.0, 101.0, 4.24, 1695.0, 0
5202, 129.4, 92.6, 6.01, -1, 4
46112, 167.0, 101.0, 5.08, 5609.0, 3
46112, 190.0, 101.0, 4.47, 1792.0, 2
46110, 162.0, 100.0, 5.19, 2073.0, 1
5201, 175.37, 90.7, 4.34, -1, 3
5202, 186.13, 94.0, 4.24, -1, 1
5202, 179.64, 90.7, 4.23, -1, 0
5201, 172.14, 95.2, 4.64, -1, 2
46110, 167.0, 100.0, 5.04, 1151.0, 4
5201, 201.23, 93.7, 3.91, -1, 0
5202, 191.19, 93.2, 4.09, -1, 2
46112, 128.0, 100.0, 6.55, 1233.0, 4
5202, 167.43, 86.3, 4.32, -1, 3
5201, 163.17, 91.6, 4.71, -1, 1
