Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.32 MBytes  11.0 Mbits/sec    0   79.2 KBytes       
[  4]   1.00-2.00   sec   954 KBytes  7.83 Mbits/sec    0    119 KBytes       
[  4]   2.00-3.00   sec   954 KBytes  7.80 Mbits/sec    0    156 KBytes       
[  4]   3.00-4.00   sec  1.06 MBytes  8.88 Mbits/sec    0    197 KBytes       
[  4]   4.00-5.00   sec   954 KBytes  7.80 Mbits/sec    0    235 KBytes       
[  4]   5.00-6.00   sec  1018 KBytes  8.36 Mbits/sec    0    274 KBytes       
[  4]   6.00-7.00   sec   954 KBytes  7.82 Mbits/sec    0    313 KBytes       
[  4]   7.00-8.00   sec   954 KBytes  7.80 Mbits/sec    0    351 KBytes       
[  4]   8.00-9.00   sec   954 KBytes  7.84 Mbits/sec    0    396 KBytes       
[  4]   9.00-10.00  sec  1.43 MBytes  12.0 Mbits/sec    0    520 KBytes       
[  4]  10.00-11.00  sec  1.24 MBytes  10.4 Mbits/sec    0    653 KBytes       
[  4]  11.00-12.00  sec   573 KBytes  4.69 Mbits/sec    0    730 KBytes       
[  4]  12.00-13.00  sec  1.25 MBytes  10.5 Mbits/sec    0    921 KBytes       
[  4]  13.00-14.00  sec   374 KBytes  3.07 Mbits/sec   31    727 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec   64    662 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    0    662 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0    662 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec   55   1.41 KBytes       
[  4]  18.00-19.00  sec  1.25 MBytes  10.5 Mbits/sec  328    697 KBytes       
[  4]  19.00-20.01  sec  1.25 MBytes  10.4 Mbits/sec    0    758 KBytes       
[  4]  20.01-21.00  sec  1003 KBytes  8.25 Mbits/sec    0    793 KBytes       
[  4]  21.00-22.00  sec   700 KBytes  5.73 Mbits/sec    0    830 KBytes       
[  4]  22.00-23.00  sec   827 KBytes  6.79 Mbits/sec    0    871 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    4    839 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec   14    707 KBytes       
[  4]  25.00-26.00  sec   255 KBytes  2.08 Mbits/sec   16    614 KBytes       
[  4]  26.00-27.00  sec   700 KBytes  5.74 Mbits/sec    0    614 KBytes       
[  4]  27.00-28.00  sec  1.06 MBytes  8.86 Mbits/sec    0    622 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec   13    571 KBytes       
[  4]  29.00-30.00  sec  63.6 KBytes   521 Kbits/sec   36    436 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec   74    436 KBytes       
[  4]  31.00-32.00  sec  63.6 KBytes   521 Kbits/sec    1   1.41 KBytes       
[  4]  32.00-33.00  sec   255 KBytes  2.09 Mbits/sec   85    120 KBytes       
[  4]  33.00-34.00  sec  1018 KBytes  8.34 Mbits/sec   52    475 KBytes       
[  4]  34.00-35.00  sec   255 KBytes  2.09 Mbits/sec    0    486 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0    486 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0    486 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  38.00-39.00  sec  63.6 KBytes   521 Kbits/sec    3   4.24 KBytes       
[  4]  39.00-40.00  sec  1.25 MBytes  10.5 Mbits/sec  106    392 KBytes       
[  4]  40.00-41.00  sec  1.17 MBytes  9.85 Mbits/sec    0    433 KBytes       
[  4]  41.00-42.00  sec   827 KBytes  6.78 Mbits/sec    0    477 KBytes       
[  4]  42.00-43.00  sec   891 KBytes  7.30 Mbits/sec    0    520 KBytes       
[  4]  43.00-44.00  sec   764 KBytes  6.25 Mbits/sec    0    561 KBytes       
[  4]  44.00-45.00  sec   891 KBytes  7.30 Mbits/sec    0    607 KBytes       
[  4]  45.00-46.00  sec   764 KBytes  6.25 Mbits/sec    0    646 KBytes       
[  4]  46.00-47.00  sec   891 KBytes  7.30 Mbits/sec    0    690 KBytes       
[  4]  47.00-48.00  sec   891 KBytes  7.30 Mbits/sec    0    735 KBytes       
[  4]  48.00-49.00  sec   764 KBytes  6.25 Mbits/sec    0    783 KBytes       
[  4]  49.00-50.00  sec   700 KBytes  5.73 Mbits/sec    0    901 KBytes       
[  4]  50.00-51.00  sec  1.24 MBytes  10.4 Mbits/sec    0   1.02 MBytes       
[  4]  51.00-52.00  sec   191 KBytes  1.56 Mbits/sec    8   1.05 MBytes       
[  4]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec  103    762 KBytes       
[  4]  53.00-54.00  sec   827 KBytes  6.78 Mbits/sec   36    762 KBytes       
[  4]  54.00-55.00  sec  1.25 MBytes  10.5 Mbits/sec    0    781 KBytes       
[  4]  55.00-56.00  sec  1.25 MBytes  10.5 Mbits/sec    0    854 KBytes       
[  4]  56.00-57.00  sec   367 KBytes  3.01 Mbits/sec    0    908 KBytes       
[  4]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec   22    755 KBytes       
[  4]  58.00-59.00  sec   636 KBytes  5.22 Mbits/sec   54    636 KBytes       
[  4]  59.00-60.00  sec  1.25 MBytes  10.5 Mbits/sec    0    653 KBytes       
[  4]  60.00-61.00  sec  1.11 MBytes  9.33 Mbits/sec    0    689 KBytes       
[  4]  61.00-62.00  sec   573 KBytes  4.69 Mbits/sec    0    720 KBytes       
[  4]  62.00-63.00  sec   636 KBytes  5.22 Mbits/sec    0    742 KBytes       
[  4]  63.00-64.00  sec   573 KBytes  4.69 Mbits/sec    0    758 KBytes       
[  4]  64.00-65.00  sec   700 KBytes  5.73 Mbits/sec    0    766 KBytes       
[  4]  65.00-66.00  sec   764 KBytes  6.25 Mbits/sec    0    769 KBytes       
[  4]  66.00-67.00  sec   636 KBytes  5.21 Mbits/sec    0    772 KBytes       
[  4]  67.00-68.00  sec   636 KBytes  5.22 Mbits/sec    0    776 KBytes       
[  4]  68.00-69.00  sec   573 KBytes  4.69 Mbits/sec    0    785 KBytes       
[  4]  69.00-70.00  sec   573 KBytes  4.69 Mbits/sec    0    799 KBytes       
[  4]  70.00-71.00  sec   700 KBytes  5.74 Mbits/sec    0    827 KBytes       
[  4]  71.00-72.00  sec  0.00 Bytes  0.00 bits/sec    4    765 KBytes       
[  4]  72.00-73.00  sec  0.00 Bytes  0.00 bits/sec   21    584 KBytes       
[  4]  73.00-74.00  sec  1.25 MBytes  10.5 Mbits/sec    0    600 KBytes       
[  4]  74.00-75.00  sec  1.05 MBytes  8.79 Mbits/sec    0    632 KBytes       
[  4]  75.00-76.00  sec  1018 KBytes  8.36 Mbits/sec    0    721 KBytes       
[  4]  76.00-77.00  sec   636 KBytes  5.21 Mbits/sec    0    762 KBytes       
[  4]  77.00-77.00  sec  0.00 Bytes  0.00 bits/sec    0    762 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-77.00  sec  50.3 MBytes  5.48 Mbits/sec  1131             sender
[  4]   0.00-77.00  sec  45.0 MBytes  4.90 Mbits/sec                  receiver

iperf Done.
