Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   375 KBytes  3.07 Mbits/sec    0   45.2 KBytes       
[  4]   1.00-2.00   sec   127 KBytes  1.04 Mbits/sec    0   52.3 KBytes       
[  4]   2.00-3.00   sec   191 KBytes  1.56 Mbits/sec    0   56.6 KBytes       
[  4]   3.00-4.16   sec   127 KBytes   900 Kbits/sec    0   62.2 KBytes       
[  4]   4.16-5.00   sec   255 KBytes  2.48 Mbits/sec    0   84.8 KBytes       
[  4]   5.00-6.00   sec   191 KBytes  1.56 Mbits/sec    0    107 KBytes       
[  4]   6.00-7.00   sec   318 KBytes  2.61 Mbits/sec    0    147 KBytes       
[  4]   7.00-8.00   sec   445 KBytes  3.65 Mbits/sec    0    205 KBytes       
[  4]   8.00-9.00   sec   127 KBytes  1.04 Mbits/sec    0    221 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec   55    154 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec   17    154 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec   24    154 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   32    112 KBytes       
[  4]  13.00-14.00  sec   445 KBytes  3.65 Mbits/sec    0   45.2 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    3   82.0 KBytes       
[  4]  15.00-16.00  sec   191 KBytes  1.56 Mbits/sec    0    110 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0    112 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec   22   79.2 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec   13   79.2 KBytes       
[  4]  19.00-20.00  sec   191 KBytes  1.56 Mbits/sec    2   65.0 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    1   55.1 KBytes       
[  4]  21.00-22.00  sec   255 KBytes  2.08 Mbits/sec    0   62.2 KBytes       
[  4]  22.00-23.00  sec   255 KBytes  2.09 Mbits/sec    0   66.5 KBytes       
[  4]  23.00-24.00  sec   255 KBytes  2.09 Mbits/sec    0   66.5 KBytes       
[  4]  24.00-25.00  sec   127 KBytes  1.04 Mbits/sec    0   66.5 KBytes       
[  4]  25.00-26.00  sec   255 KBytes  2.09 Mbits/sec    0   70.7 KBytes       
[  4]  26.00-27.00  sec   255 KBytes  2.08 Mbits/sec    0   79.2 KBytes       
[  4]  27.00-28.00  sec   509 KBytes  4.17 Mbits/sec    0   99.0 KBytes       
[  4]  28.00-29.00  sec   509 KBytes  4.17 Mbits/sec    0    129 KBytes       
[  4]  29.00-30.00  sec   573 KBytes  4.70 Mbits/sec    0    173 KBytes       
[  4]  30.00-31.00  sec   636 KBytes  5.22 Mbits/sec    0    233 KBytes       
[  4]  31.00-32.00  sec  1.12 MBytes  9.38 Mbits/sec    0    318 KBytes       
[  4]  32.00-33.00  sec  1.06 MBytes  8.87 Mbits/sec    0    417 KBytes       
[  4]  33.00-34.00  sec  1.18 MBytes  9.90 Mbits/sec    0    526 KBytes       
[  4]  34.00-35.00  sec  1.25 MBytes  10.5 Mbits/sec    0    662 KBytes       
[  4]  35.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0    662 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-35.00  sec  11.1 MBytes  2.65 Mbits/sec  169             sender
[  4]   0.00-35.00  sec  8.14 MBytes  1.95 Mbits/sec                  receiver

iperf Done.
