Connecting to host 10.0.0.2, port 5207
[  4] local 10.0.0.1 port 46122 connected to 10.0.0.2 port 5207
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  82.0 KBytes   671 Kbits/sec    0   14.1 KBytes       
[  4]   1.00-2.00   sec  87.7 KBytes   718 Kbits/sec    0   28.3 KBytes       
[  4]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[  4]   3.00-4.00   sec   119 KBytes   974 Kbits/sec    0   42.4 KBytes       
[  4]   4.00-5.07   sec  0.00 Bytes  0.00 bits/sec    0   42.4 KBytes       
[  4]   5.07-6.00   sec  70.7 KBytes   620 Kbits/sec    0   43.8 KBytes       
[  4]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec    0   43.8 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec   15   31.1 KBytes       
[  4]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0   31.1 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0   31.1 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    3   31.1 KBytes       
[  4]  11.00-12.01  sec  63.6 KBytes   515 Kbits/sec    0   28.3 KBytes       
[  4]  12.01-13.00  sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[  4]  13.00-14.00  sec  63.6 KBytes   522 Kbits/sec    0   22.6 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0   24.0 KBytes       
[  4]  15.00-16.00  sec  63.6 KBytes   520 Kbits/sec    0   25.5 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0   29.7 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0   29.7 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0   45.2 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0   45.2 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    5   31.1 KBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0   31.1 KBytes       
[  4]  22.00-23.00  sec  63.6 KBytes   521 Kbits/sec    5   31.1 KBytes       
[  4]  23.00-24.01  sec  0.00 Bytes  0.00 bits/sec    0   31.1 KBytes       
[  4]  24.01-25.00  sec  0.00 Bytes  0.00 bits/sec    2   26.9 KBytes       
[  4]  25.00-26.02  sec  63.6 KBytes   514 Kbits/sec    0   22.6 KBytes       
[  4]  26.02-27.01  sec  0.00 Bytes  0.00 bits/sec    0   24.0 KBytes       
[  4]  27.01-28.01  sec  63.6 KBytes   521 Kbits/sec    0   25.5 KBytes       
[  4]  28.01-29.01  sec  0.00 Bytes  0.00 bits/sec    0   25.5 KBytes       
[  4]  29.01-30.02  sec  0.00 Bytes  0.00 bits/sec    0   31.1 KBytes       
[  4]  30.02-31.01  sec  0.00 Bytes  0.00 bits/sec    0   31.1 KBytes       
[  4]  31.01-32.01  sec  63.6 KBytes   522 Kbits/sec    0   48.1 KBytes       
[  4]  32.01-33.01  sec  0.00 Bytes  0.00 bits/sec    0   48.1 KBytes       
[  4]  33.01-34.01  sec  63.6 KBytes   519 Kbits/sec    0   56.6 KBytes       
[  4]  34.01-35.01  sec  63.6 KBytes   523 Kbits/sec    0   72.1 KBytes       
[  4]  35.01-36.01  sec  0.00 Bytes  0.00 bits/sec    0   72.1 KBytes       
[  4]  36.01-37.02  sec   318 KBytes  2.58 Mbits/sec    0    106 KBytes       
[  4]  37.02-38.01  sec  0.00 Bytes  0.00 bits/sec    0    106 KBytes       
[  4]  38.01-39.01  sec  0.00 Bytes  0.00 bits/sec   12   74.9 KBytes       
[  4]  39.01-40.01  sec  0.00 Bytes  0.00 bits/sec    7   74.9 KBytes       
[  4]  40.01-41.01  sec  0.00 Bytes  0.00 bits/sec   10   74.9 KBytes       
[  4]  41.01-42.01  sec  0.00 Bytes  0.00 bits/sec    4   74.9 KBytes       
[  4]  42.01-43.02  sec  0.00 Bytes  0.00 bits/sec    0   74.9 KBytes       
[  4]  43.02-44.02  sec  0.00 Bytes  0.00 bits/sec   14   41.0 KBytes       
[  4]  44.02-45.02  sec  0.00 Bytes  0.00 bits/sec    0   41.0 KBytes       
[  4]  45.02-46.02  sec   191 KBytes  1.57 Mbits/sec    0   52.3 KBytes       
[  4]  46.02-47.09  sec  0.00 Bytes  0.00 bits/sec    0   52.3 KBytes       
[  4]  47.09-48.02  sec  0.00 Bytes  0.00 bits/sec    0   52.3 KBytes       
[  4]  48.02-49.02  sec  63.6 KBytes   521 Kbits/sec    1   53.7 KBytes       
[  4]  49.02-50.02  sec  0.00 Bytes  0.00 bits/sec    0   53.7 KBytes       
[  4]  50.02-51.02  sec  0.00 Bytes  0.00 bits/sec    2   39.6 KBytes       
[  4]  51.02-52.02  sec  0.00 Bytes  0.00 bits/sec    0   39.6 KBytes       
[  4]  52.02-53.02  sec  0.00 Bytes  0.00 bits/sec    0   39.6 KBytes       
[  4]  53.02-54.02  sec  63.6 KBytes   521 Kbits/sec    5   29.7 KBytes       
[  4]  54.02-55.04  sec  0.00 Bytes  0.00 bits/sec    0   29.7 KBytes       
[  4]  55.04-56.02  sec  0.00 Bytes  0.00 bits/sec    0   29.7 KBytes       
[  4]  56.02-57.02  sec  0.00 Bytes  0.00 bits/sec    4   29.7 KBytes       
[  4]  57.02-58.02  sec  0.00 Bytes  0.00 bits/sec    0   29.7 KBytes       
[  4]  58.02-59.02  sec  63.6 KBytes   522 Kbits/sec    2   29.7 KBytes       
[  4]  59.02-60.02  sec  0.00 Bytes  0.00 bits/sec    0   29.7 KBytes       
[  4]  60.02-61.02  sec  63.6 KBytes   521 Kbits/sec    0   32.5 KBytes       
[  4]  61.02-62.02  sec  0.00 Bytes  0.00 bits/sec    0   32.5 KBytes       
[  4]  62.02-63.02  sec  0.00 Bytes  0.00 bits/sec    0   32.5 KBytes       
[  4]  63.02-64.02  sec  0.00 Bytes  0.00 bits/sec    6   22.6 KBytes       
[  4]  64.02-65.02  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[  4]  65.02-66.02  sec  0.00 Bytes  0.00 bits/sec    2   22.6 KBytes       
[  4]  66.02-67.01  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[  4]  67.01-68.01  sec  0.00 Bytes  0.00 bits/sec    2   22.6 KBytes       
[  4]  68.01-69.06  sec  0.00 Bytes  0.00 bits/sec    1   22.6 KBytes       
[  4]  69.06-70.02  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[  4]  70.02-71.01  sec  0.00 Bytes  0.00 bits/sec    3   22.6 KBytes       
[  4]  71.01-72.01  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[  4]  72.01-73.02  sec  63.6 KBytes   520 Kbits/sec    0   18.4 KBytes       
[  4]  73.02-74.04  sec  0.00 Bytes  0.00 bits/sec    0   18.4 KBytes       
[  4]  74.04-75.04  sec  0.00 Bytes  0.00 bits/sec    0   18.4 KBytes       
[  4]  75.04-76.01  sec  63.6 KBytes   539 Kbits/sec    0   17.0 KBytes       
[  4]  76.01-77.01  sec  0.00 Bytes  0.00 bits/sec    0   17.0 KBytes       
[  4]  77.01-78.01  sec  0.00 Bytes  0.00 bits/sec    0   18.4 KBytes       
[  4]  78.01-79.01  sec  0.00 Bytes  0.00 bits/sec    0   18.4 KBytes       
[  4]  79.01-80.01  sec  0.00 Bytes  0.00 bits/sec    6   12.7 KBytes       
[  4]  80.01-81.01  sec  0.00 Bytes  0.00 bits/sec    0   12.7 KBytes       
[  4]  81.01-82.01  sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
