Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.39 MBytes  11.7 Mbits/sec    0    110 KBytes       
[  4]   1.00-2.00   sec  1.24 MBytes  10.4 Mbits/sec    0    158 KBytes       
[  4]   2.00-3.00   sec  1.06 MBytes  8.85 Mbits/sec    0    204 KBytes       
[  4]   3.00-4.00   sec   764 KBytes  6.25 Mbits/sec    0    232 KBytes       
[  4]   4.00-5.00   sec   764 KBytes  6.27 Mbits/sec    0    260 KBytes       
[  4]   5.00-6.00   sec   700 KBytes  5.73 Mbits/sec    0    288 KBytes       
[  4]   6.00-7.00   sec   636 KBytes  5.21 Mbits/sec    0    315 KBytes       
[  4]   7.00-8.03   sec   700 KBytes  5.57 Mbits/sec    0    342 KBytes       
[  4]   8.03-9.03   sec   318 KBytes  2.59 Mbits/sec    0    361 KBytes       
[  4]   9.03-10.00  sec  1.06 MBytes  9.15 Mbits/sec    0    474 KBytes       
[  4]  10.00-11.06  sec  1.24 MBytes  9.83 Mbits/sec    0    626 KBytes       
[  4]  11.06-12.00  sec   764 KBytes  6.67 Mbits/sec    0    706 KBytes       
[  4]  12.00-13.07  sec  1.25 MBytes  9.85 Mbits/sec    0    925 KBytes       
[  4]  13.07-14.03  sec  1.25 MBytes  10.8 Mbits/sec    0   1.11 MBytes       
[  4]  14.03-15.00  sec  1.25 MBytes  10.8 Mbits/sec    0   1.25 MBytes       
[  4]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.41 MBytes       
[  4]  16.00-17.01  sec  1.25 MBytes  10.4 Mbits/sec    2   1.49 MBytes       
[  4]  17.01-18.00  sec   918 KBytes  7.56 Mbits/sec  228   1.04 MBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec  142   1.04 MBytes       
[  4]  19.00-20.00  sec  1018 KBytes  8.33 Mbits/sec   14   1.04 MBytes       
[  4]  20.00-21.00  sec   191 KBytes  1.57 Mbits/sec   21   1.04 MBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0   1.04 MBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec   20   1.04 MBytes       
[  4]  23.00-24.00  sec   509 KBytes  4.18 Mbits/sec    1   1.41 KBytes       
[  4]  24.00-25.00  sec  2.50 MBytes  21.0 Mbits/sec   27   1.14 MBytes       
[  4]  25.00-26.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.19 MBytes       
[  4]  26.00-27.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.24 MBytes       
[  4]  27.00-28.00  sec  1.09 MBytes  9.13 Mbits/sec    0   1.29 MBytes       
