-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 10.0.0.1, port 36636
[  5] local 10.0.0.2 port 5201 connected to 10.0.0.1 port 46110
[ ID] Interval           Transfer     Bandwidth
[  5]   0.00-1.00   sec   812 KBytes  6.63 Mbits/sec                  
[  5]   1.00-2.08   sec   375 KBytes  2.86 Mbits/sec                  
[  5]   2.08-3.02   sec   313 KBytes  2.71 Mbits/sec                  
[  5]   3.02-4.03   sec   392 KBytes  3.19 Mbits/sec                  
[  5]   4.03-5.00   sec   443 KBytes  3.72 Mbits/sec                  
[  5]   5.00-6.00   sec   481 KBytes  3.93 Mbits/sec                  
[  5]   6.00-7.03   sec   543 KBytes  4.31 Mbits/sec                  
[  5]   7.03-8.02   sec   359 KBytes  2.98 Mbits/sec                  
[  5]   8.02-9.03   sec   475 KBytes  3.87 Mbits/sec                  
[  5]   9.03-10.00  sec   365 KBytes  3.07 Mbits/sec                  
[  5]  10.00-11.01  sec   413 KBytes  3.37 Mbits/sec                  
[  5]  11.01-12.00  sec   481 KBytes  3.95 Mbits/sec                  
[  5]  12.00-13.00  sec   434 KBytes  3.56 Mbits/sec                  
[  5]  13.00-14.01  sec   550 KBytes  4.49 Mbits/sec                  
[  5]  14.01-15.00  sec   438 KBytes  3.61 Mbits/sec                  
[  5]  15.00-16.01  sec   428 KBytes  3.49 Mbits/sec                  
[  5]  16.01-17.00  sec   221 KBytes  1.81 Mbits/sec                  
[  5]  17.00-18.03  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  18.03-19.10  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  19.10-20.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  21.00-22.00  sec  2.50 MBytes  20.9 Mbits/sec                  
[  5]  22.00-23.00  sec  58.0 KBytes   475 Kbits/sec                  
[  5]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  24.00-25.00  sec  4.24 KBytes  34.7 Kbits/sec                  
[  5]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  32.00-33.00  sec  1.41 KBytes  11.6 Kbits/sec                  
[  5]  33.00-34.01  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  34.01-35.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  37.00-38.08  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  38.08-39.01  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  39.01-40.03  sec  32.5 KBytes   261 Kbits/sec                  
[  5]  40.03-41.01  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  41.01-42.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  42.00-43.01  sec   747 KBytes  6.07 Mbits/sec                  
[  5]  43.01-44.01  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  44.01-45.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  45.00-46.00  sec   597 KBytes  4.90 Mbits/sec                  
[  5]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  47.00-48.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  50.00-51.00  sec  1.34 MBytes  11.2 Mbits/sec                  
[  5]  51.00-52.00  sec  1.77 MBytes  14.8 Mbits/sec                  
[  5]  52.00-53.00  sec  1.14 MBytes  9.54 Mbits/sec                  
[  5]  53.00-54.00  sec  1.14 MBytes  9.57 Mbits/sec                  
[  5]  54.00-55.00  sec  1.14 MBytes  9.57 Mbits/sec                  
[  5]  55.00-56.00  sec  1.14 MBytes  9.53 Mbits/sec                  
[  5]  56.00-57.00  sec  1.14 MBytes  9.57 Mbits/sec                  
[  5]  57.00-58.00  sec  1.14 MBytes  9.54 Mbits/sec                  
[  5]  58.00-59.00  sec  1.14 MBytes  9.58 Mbits/sec                  
[  5]  59.00-60.00  sec  1.14 MBytes  9.52 Mbits/sec                  
[  5]  60.00-61.00  sec  1.14 MBytes  9.57 Mbits/sec                  
[  5]  61.00-62.00  sec  1.14 MBytes  9.58 Mbits/sec                  
[  5]  62.00-63.00  sec  1.14 MBytes  9.55 Mbits/sec                  
[  5]  63.00-64.00  sec  1.14 MBytes  9.57 Mbits/sec                  
[  5]  64.00-65.00  sec  1.14 MBytes  9.56 Mbits/sec                  
[  5]  65.00-66.00  sec  1.14 MBytes  9.57 Mbits/sec                  
[  5]  66.00-67.00  sec  1.14 MBytes  9.57 Mbits/sec                  
[  5]  67.00-68.00  sec  1.14 MBytes  9.56 Mbits/sec                  
[  5]  68.00-69.00  sec  1.14 MBytes  9.57 Mbits/sec                  
[  5]  69.00-70.00  sec  1.14 MBytes  9.55 Mbits/sec                  
[  5]  70.00-71.00  sec  1.14 MBytes  9.58 Mbits/sec                  
[  5]  71.00-72.00  sec  1.14 MBytes  9.54 Mbits/sec                  
[  5]  72.00-73.00  sec  1.14 MBytes  9.57 Mbits/sec                  
[  5]  73.00-74.00  sec  1.14 MBytes  9.58 Mbits/sec                  
[  5]  74.00-75.00  sec  1.14 MBytes  9.54 Mbits/sec                  
[  5]  75.00-76.00  sec  1010 KBytes  8.26 Mbits/sec                  
[  5]  76.00-77.00  sec  1021 KBytes  8.37 Mbits/sec                  
[  5]  77.00-77.41  sec   428 KBytes  8.50 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth
[  5]   0.00-77.41  sec  0.00 Bytes  0.00 bits/sec                  sender
[  5]   0.00-77.41  sec  43.0 MBytes  4.66 Mbits/sec                  receiver
