-----------------------------------------------------------
Server listening on 5202
-----------------------------------------------------------
Accepted connection from 10.0.0.1, port 39889
[  5] local 10.0.0.2 port 5202 connected to 10.0.0.1 port 46112
[ ID] Interval           Transfer     Bandwidth
[  5]   0.00-1.06   sec   110 KBytes   851 Kbits/sec                  
[  5]   1.06-2.01   sec   133 KBytes  1.15 Mbits/sec                  
[  5]   2.01-3.01   sec   194 KBytes  1.58 Mbits/sec                  
[  5]   3.01-4.00   sec   192 KBytes  1.59 Mbits/sec                  
[  5]   4.00-5.00   sec   223 KBytes  1.83 Mbits/sec                  
[  5]   5.00-6.02   sec   246 KBytes  1.98 Mbits/sec                  
[  5]   6.02-7.01   sec   219 KBytes  1.82 Mbits/sec                  
[  5]   7.01-8.01   sec   310 KBytes  2.52 Mbits/sec                  
[  5]   8.01-9.00   sec   236 KBytes  1.96 Mbits/sec                  
[  5]   9.00-10.00  sec   259 KBytes  2.12 Mbits/sec                  
[  5]  10.00-11.00  sec   325 KBytes  2.67 Mbits/sec                  
[  5]  11.00-12.05  sec   320 KBytes  2.50 Mbits/sec                  
[  5]  12.05-13.00  sec   392 KBytes  3.37 Mbits/sec                  
[  5]  13.00-14.00  sec   270 KBytes  2.20 Mbits/sec                  
[  5]  14.00-15.00  sec   344 KBytes  2.82 Mbits/sec                  
[  5]  15.00-16.01  sec   185 KBytes  1.51 Mbits/sec                  
[  5]  16.01-17.01  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  17.01-18.08  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  18.08-19.00  sec  25.5 KBytes   227 Kbits/sec                  
[  5]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  20.00-21.00  sec  1.48 MBytes  12.4 Mbits/sec                  
[  5]  21.00-22.00  sec  2.83 KBytes  23.1 Kbits/sec                  
[  5]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  25.00-26.00  sec  15.6 KBytes   128 Kbits/sec                  
[  5]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  27.00-28.00  sec  26.6 KBytes   218 Kbits/sec                  
[  5]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  30.00-31.00  sec  55.1 KBytes   452 Kbits/sec                  
[  5]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  32.00-33.00  sec  29.7 KBytes   243 Kbits/sec                  
[  5]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  34.00-35.01  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  35.01-36.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  36.00-37.07  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  37.07-38.00  sec  11.3 KBytes  99.3 Kbits/sec                  
[  5]  38.00-39.01  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  39.01-40.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  40.00-41.00  sec   338 KBytes  2.76 Mbits/sec                  
[  5]  41.00-42.01  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  42.01-43.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  43.00-44.00  sec   366 KBytes  3.00 Mbits/sec                  
[  5]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  47.00-48.00  sec   175 KBytes  1.44 Mbits/sec                  
[  5]  48.00-49.00  sec  2.83 KBytes  23.2 Kbits/sec                  
[  5]  49.00-50.00  sec  1.26 MBytes  10.6 Mbits/sec                  
[  5]  50.00-51.00  sec  1.14 MBytes  9.56 Mbits/sec                  
[  5]  51.00-52.00  sec  1.14 MBytes  9.58 Mbits/sec                  
[  5]  52.00-53.00  sec  1.14 MBytes  9.55 Mbits/sec                  
[  5]  53.00-54.00  sec  1.14 MBytes  9.55 Mbits/sec                  
[  5]  54.00-55.00  sec  1.14 MBytes  9.54 Mbits/sec                  
