Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   311 KBytes  2.54 Mbits/sec    0   42.4 KBytes       
[  4]   1.00-2.01   sec   134 KBytes  1.10 Mbits/sec    0   46.7 KBytes       
[  4]   2.01-3.05   sec  63.6 KBytes   502 Kbits/sec    0   52.3 KBytes       
[  4]   3.05-4.04   sec   127 KBytes  1.05 Mbits/sec    0   58.0 KBytes       
[  4]   4.04-5.02   sec   191 KBytes  1.59 Mbits/sec    0   72.1 KBytes       
[  4]   5.02-6.01   sec   318 KBytes  2.64 Mbits/sec    0    105 KBytes       
[  4]   6.01-7.03   sec   127 KBytes  1.02 Mbits/sec    0    123 KBytes       
[  4]   7.03-8.00   sec   382 KBytes  3.22 Mbits/sec    0    170 KBytes       
[  4]   8.00-9.00   sec   509 KBytes  4.18 Mbits/sec    0    243 KBytes       
[  4]   9.00-10.00  sec  63.6 KBytes   521 Kbits/sec    0    252 KBytes       
[  4]  10.00-11.00  sec   573 KBytes  4.69 Mbits/sec    0    322 KBytes       
[  4]  11.00-12.03  sec   318 KBytes  2.53 Mbits/sec    0    366 KBytes       
[  4]  12.03-13.03  sec  63.6 KBytes   524 Kbits/sec    7    348 KBytes       
[  4]  13.03-14.00  sec  0.00 Bytes  0.00 bits/sec   25    262 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0    262 KBytes       
[  4]  15.00-16.04  sec   382 KBytes  3.03 Mbits/sec    0    267 KBytes       
[  4]  16.04-17.02  sec   191 KBytes  1.59 Mbits/sec    0    287 KBytes       
[  4]  17.02-18.07  sec   191 KBytes  1.49 Mbits/sec    0    313 KBytes       
[  4]  18.07-19.00  sec   127 KBytes  1.12 Mbits/sec    0    334 KBytes       
[  4]  19.00-20.00  sec  63.6 KBytes   522 Kbits/sec    0    342 KBytes       
[  4]  20.00-21.00  sec   191 KBytes  1.56 Mbits/sec    0    358 KBytes       
[  4]  21.00-22.00  sec  63.6 KBytes   522 Kbits/sec    0    361 KBytes       
[  4]  22.00-23.00  sec   255 KBytes  2.08 Mbits/sec    5    344 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec   25    263 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0    257 KBytes       
[  4]  25.00-26.00  sec   636 KBytes  5.20 Mbits/sec    0    270 KBytes       
[  4]  26.00-27.00  sec   127 KBytes  1.05 Mbits/sec    0    283 KBytes       
[  4]  27.00-28.00  sec   191 KBytes  1.56 Mbits/sec    0    294 KBytes       
[  4]  28.00-29.00  sec   255 KBytes  2.09 Mbits/sec    0    304 KBytes       
[  4]  29.00-30.00  sec  63.6 KBytes   521 Kbits/sec    0    305 KBytes       
[  4]  30.00-31.00  sec   255 KBytes  2.09 Mbits/sec    0    310 KBytes       
[  4]  31.00-32.00  sec   127 KBytes  1.04 Mbits/sec    0    314 KBytes       
[  4]  32.00-33.00  sec   191 KBytes  1.56 Mbits/sec    0    320 KBytes       
[  4]  33.00-34.00  sec   191 KBytes  1.56 Mbits/sec    0    338 KBytes       
[  4]  34.00-35.00  sec   127 KBytes  1.04 Mbits/sec    0    351 KBytes       
[  4]  35.00-36.00  sec   255 KBytes  2.08 Mbits/sec    5    379 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    5    335 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec   11    273 KBytes       
[  4]  38.00-39.00  sec   573 KBytes  4.69 Mbits/sec    0    281 KBytes       
[  4]  39.00-40.00  sec   255 KBytes  2.08 Mbits/sec    0    301 KBytes       
[  4]  40.00-41.00  sec   191 KBytes  1.56 Mbits/sec    0    332 KBytes       
[  4]  41.00-42.00  sec   255 KBytes  2.08 Mbits/sec    0    358 KBytes       
[  4]  42.00-43.02  sec  63.6 KBytes   513 Kbits/sec    0    365 KBytes       
[  4]  43.02-44.00  sec   318 KBytes  2.64 Mbits/sec    0    379 KBytes       
[  4]  44.00-45.00  sec   127 KBytes  1.04 Mbits/sec    1    380 KBytes       
[  4]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec    9    288 KBytes       
[  4]  46.00-47.00  sec  63.6 KBytes   521 Kbits/sec    0    267 KBytes       
[  4]  47.00-48.00  sec   509 KBytes  4.17 Mbits/sec    0    274 KBytes       
[  4]  48.00-49.00  sec   318 KBytes  2.61 Mbits/sec    0    291 KBytes       
[  4]  49.00-50.00  sec   255 KBytes  2.09 Mbits/sec    0    308 KBytes       
[  4]  50.00-51.00  sec   127 KBytes  1.04 Mbits/sec    0    314 KBytes       
[  4]  51.00-52.00  sec   191 KBytes  1.57 Mbits/sec    0    318 KBytes       
[  4]  52.00-53.00  sec   318 KBytes  2.61 Mbits/sec    0    321 KBytes       
