Connecting to host 10.0.0.2, port 5208
[  4] local 10.0.0.1 port 46124 connected to 10.0.0.2 port 5208
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  82.0 KBytes   669 Kbits/sec    1   14.1 KBytes       
[  4]   1.00-2.01   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]   2.01-3.03   sec  14.1 KBytes   114 Kbits/sec    0   14.1 KBytes       
[  4]   3.03-4.00   sec  53.7 KBytes   451 Kbits/sec    0   21.2 KBytes       
[  4]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    0   21.2 KBytes       
[  4]   5.00-6.01   sec  0.00 Bytes  0.00 bits/sec    0   21.2 KBytes       
[  4]   6.01-7.03   sec  53.7 KBytes   428 Kbits/sec    0   25.5 KBytes       
[  4]   7.03-8.00   sec  0.00 Bytes  0.00 bits/sec    0   25.5 KBytes       
[  4]   8.00-9.00   sec  9.90 KBytes  81.2 Kbits/sec   11   17.0 KBytes       
[  4]   9.00-10.00  sec  5.66 KBytes  46.3 Kbits/sec    0   18.4 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[  4]  12.00-13.00  sec  63.6 KBytes   521 Kbits/sec    0   24.0 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0   24.0 KBytes       
[  4]  14.00-15.02  sec  0.00 Bytes  0.00 bits/sec    0   31.1 KBytes       
[  4]  15.02-16.05  sec  0.00 Bytes  0.00 bits/sec    0   31.1 KBytes       
[  4]  16.05-17.00  sec   127 KBytes  1.10 Mbits/sec    0   46.7 KBytes       
[  4]  17.00-18.00  sec   127 KBytes  1.04 Mbits/sec    0   55.1 KBytes       
[  4]  18.00-19.00  sec  63.6 KBytes   520 Kbits/sec    0   67.9 KBytes       
[  4]  19.00-20.05  sec   191 KBytes  1.49 Mbits/sec    0   89.1 KBytes       
[  4]  20.05-21.00  sec   127 KBytes  1.09 Mbits/sec    0    105 KBytes       
[  4]  21.00-22.00  sec   191 KBytes  1.56 Mbits/sec    0    132 KBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0    132 KBytes       
[  4]  23.00-24.01  sec   509 KBytes  4.15 Mbits/sec    0    195 KBytes       
[  4]  24.01-25.02  sec  0.00 Bytes  0.00 bits/sec    0    195 KBytes       
[  4]  25.02-26.00  sec  0.00 Bytes  0.00 bits/sec    0    195 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0    195 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec   52    123 KBytes       
[  4]  28.00-29.04  sec  0.00 Bytes  0.00 bits/sec    0    123 KBytes       
[  4]  29.04-30.12  sec  0.00 Bytes  0.00 bits/sec    0    123 KBytes       
[  4]  30.12-31.01  sec   127 KBytes  1.17 Mbits/sec    2    129 KBytes       
[  4]  31.01-32.02  sec  0.00 Bytes  0.00 bits/sec    0    129 KBytes       
[  4]  32.02-33.02  sec  0.00 Bytes  0.00 bits/sec    0    129 KBytes       
[  4]  33.02-34.00  sec  0.00 Bytes  0.00 bits/sec    0    129 KBytes       
[  4]  34.00-35.02  sec   255 KBytes  2.05 Mbits/sec    0    133 KBytes       
[  4]  35.02-36.01  sec  0.00 Bytes  0.00 bits/sec    0    136 KBytes       
[  4]  36.01-37.03  sec   127 KBytes  1.02 Mbits/sec    0    171 KBytes       
