Connecting to host 10.0.0.2, port 5203
[  4] local 10.0.0.1 port 46114 connected to 10.0.0.2 port 5203
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.05   sec   980 KBytes  7.62 Mbits/sec    0    132 KBytes       
[  4]   1.05-2.00   sec   318 KBytes  2.75 Mbits/sec    0    144 KBytes       
[  4]   2.00-3.00   sec   382 KBytes  3.13 Mbits/sec    0    160 KBytes       
[  4]   3.00-4.00   sec   191 KBytes  1.56 Mbits/sec    0    168 KBytes       
[  4]   4.00-5.00   sec   255 KBytes  2.09 Mbits/sec    0    177 KBytes       
[  4]   5.00-6.00   sec   255 KBytes  2.09 Mbits/sec    0    189 KBytes       
[  4]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec   26    133 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    6    133 KBytes       
[  4]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    1    133 KBytes       
[  4]   9.00-10.00  sec   700 KBytes  5.73 Mbits/sec   12    100 KBytes       
[  4]  10.00-11.00  sec   509 KBytes  4.17 Mbits/sec    0    109 KBytes       
[  4]  11.00-12.00  sec   255 KBytes  2.08 Mbits/sec    0    112 KBytes       
[  4]  12.00-13.00  sec   255 KBytes  2.09 Mbits/sec    0    112 KBytes       
[  4]  13.00-14.00  sec   191 KBytes  1.56 Mbits/sec    0    112 KBytes       
[  4]  14.00-15.00  sec   255 KBytes  2.09 Mbits/sec    0    116 KBytes       
[  4]  15.00-16.00  sec   191 KBytes  1.56 Mbits/sec    0    126 KBytes       
[  4]  16.00-17.00  sec   127 KBytes  1.04 Mbits/sec    0    140 KBytes       
[  4]  17.00-18.00  sec   191 KBytes  1.56 Mbits/sec    0    175 KBytes       
[  4]  18.00-19.00  sec   382 KBytes  3.13 Mbits/sec    0    215 KBytes       
[  4]  19.00-20.00  sec   509 KBytes  4.17 Mbits/sec    0    270 KBytes       
[  4]  20.00-21.00  sec   636 KBytes  5.21 Mbits/sec    0    346 KBytes       
[  4]  21.00-22.00  sec   764 KBytes  6.25 Mbits/sec    0    441 KBytes       
[  4]  22.00-23.00  sec   191 KBytes  1.56 Mbits/sec   21    407 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec   47    327 KBytes       
[  4]  24.00-25.00  sec   382 KBytes  3.12 Mbits/sec   25    327 KBytes       
[  4]  25.00-26.00  sec   636 KBytes  5.22 Mbits/sec    0    351 KBytes       
[  4]  26.00-27.00  sec   382 KBytes  3.13 Mbits/sec    0    389 KBytes       
[  4]  27.00-28.00  sec   382 KBytes  3.13 Mbits/sec    0    421 KBytes       
[  4]  28.00-29.00  sec   382 KBytes  3.12 Mbits/sec    0    443 KBytes       
[  4]  29.00-30.00  sec   445 KBytes  3.66 Mbits/sec    0    457 KBytes       
[  4]  30.00-31.00  sec   445 KBytes  3.65 Mbits/sec    0    462 KBytes       
[  4]  31.00-32.00  sec   382 KBytes  3.13 Mbits/sec    0    465 KBytes       
[  4]  32.00-33.00  sec   382 KBytes  3.12 Mbits/sec    0    467 KBytes       
[  4]  33.00-34.00  sec   445 KBytes  3.66 Mbits/sec    0    471 KBytes       
[  4]  34.00-35.00  sec   509 KBytes  4.17 Mbits/sec    0    479 KBytes       
[  4]  35.00-36.00  sec   509 KBytes  4.16 Mbits/sec    0    498 KBytes       
[  4]  36.00-37.00  sec   509 KBytes  4.18 Mbits/sec    0    525 KBytes       
[  4]  37.00-38.00  sec   700 KBytes  5.73 Mbits/sec   12    559 KBytes       
[  4]  38.00-39.00  sec   318 KBytes  2.60 Mbits/sec    0    559 KBytes       
[  4]  39.00-40.00  sec   382 KBytes  3.13 Mbits/sec    0    561 KBytes       
[  4]  40.00-41.00  sec   445 KBytes  3.65 Mbits/sec    0    568 KBytes       
[  4]  41.00-42.00  sec   318 KBytes  2.61 Mbits/sec    0    578 KBytes       
[  4]  42.00-43.00  sec   382 KBytes  3.13 Mbits/sec    0    600 KBytes       
[  4]  43.00-44.00  sec   382 KBytes  3.13 Mbits/sec    0    626 KBytes       
[  4]  44.00-45.00  sec   636 KBytes  5.22 Mbits/sec    0    679 KBytes       
[  4]  45.00-46.00  sec   127 KBytes  1.04 Mbits/sec    0    697 KBytes       
[  4]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec   27    619 KBytes       
[  4]  47.00-48.00  sec  0.00 Bytes  0.00 bits/sec   55    488 KBytes       
[  4]  48.00-49.00  sec   255 KBytes  2.08 Mbits/sec    2    488 KBytes       
[  4]  49.00-50.00  sec   445 KBytes  3.66 Mbits/sec    0    488 KBytes       
[  4]  50.00-51.00  sec   573 KBytes  4.69 Mbits/sec    0    495 KBytes       
[  4]  51.00-52.00  sec   191 KBytes  1.56 Mbits/sec    0    518 KBytes       
[  4]  52.00-53.00  sec   191 KBytes  1.56 Mbits/sec    0    550 KBytes       
[  4]  53.00-54.00  sec   318 KBytes  2.61 Mbits/sec    0    595 KBytes       
[  4]  54.00-55.00  sec   191 KBytes  1.56 Mbits/sec    0    621 KBytes       
