Connecting to host 10.0.0.2, port 5205
[  4] local 10.0.0.1 port 46118 connected to 10.0.0.2 port 5205
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   173 KBytes  1.41 Mbits/sec    0   28.3 KBytes       
[  4]   1.00-2.01   sec   119 KBytes   968 Kbits/sec    0   42.4 KBytes       
[  4]   2.01-3.00   sec   134 KBytes  1.11 Mbits/sec    0   46.7 KBytes       
[  4]   3.00-4.00   sec  63.6 KBytes   521 Kbits/sec    0   49.5 KBytes       
[  4]   4.00-5.00   sec  63.6 KBytes   522 Kbits/sec    0   58.0 KBytes       
[  4]   5.00-6.00   sec   191 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  4]   6.00-7.01   sec  0.00 Bytes  0.00 bits/sec    0   79.2 KBytes       
[  4]   7.01-8.00   sec   318 KBytes  2.62 Mbits/sec    0    120 KBytes       
[  4]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0    120 KBytes       
[  4]   9.00-10.00  sec   445 KBytes  3.66 Mbits/sec    0    180 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    0    180 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec   27    124 KBytes       
[  4]  12.00-13.01  sec  0.00 Bytes  0.00 bits/sec    1    124 KBytes       
[  4]  13.01-14.01  sec  0.00 Bytes  0.00 bits/sec    0    124 KBytes       
[  4]  14.01-15.01  sec  0.00 Bytes  0.00 bits/sec    0    124 KBytes       
[  4]  15.01-16.01  sec   127 KBytes  1.04 Mbits/sec    3    124 KBytes       
[  4]  16.01-17.01  sec  0.00 Bytes  0.00 bits/sec    0    124 KBytes       
[  4]  17.01-18.06  sec  63.6 KBytes   495 Kbits/sec    0    124 KBytes       
[  4]  18.06-19.00  sec   191 KBytes  1.67 Mbits/sec    0   91.9 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0   86.3 KBytes       
[  4]  20.00-21.00  sec   127 KBytes  1.04 Mbits/sec    0   93.3 KBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0   94.7 KBytes       
[  4]  22.00-23.00  sec  63.6 KBytes   521 Kbits/sec    0    100 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0    100 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    3   69.3 KBytes       
[  4]  25.00-26.00  sec   191 KBytes  1.56 Mbits/sec    0   74.9 KBytes       
[  4]  26.00-27.00  sec  63.6 KBytes   522 Kbits/sec    0   82.0 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    0   82.0 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec   16   56.6 KBytes       
[  4]  29.00-30.00  sec   127 KBytes  1.04 Mbits/sec    0   60.8 KBytes       
[  4]  30.00-31.00  sec  63.6 KBytes   521 Kbits/sec    0   65.0 KBytes       
[  4]  31.00-32.01  sec  63.6 KBytes   517 Kbits/sec    0   67.9 KBytes       
[  4]  32.01-33.00  sec  0.00 Bytes  0.00 bits/sec    0   67.9 KBytes       
[  4]  33.00-34.00  sec  63.6 KBytes   520 Kbits/sec    0   73.5 KBytes       
[  4]  34.00-35.00  sec  63.6 KBytes   522 Kbits/sec    0   79.2 KBytes       
[  4]  35.00-36.00  sec   127 KBytes  1.04 Mbits/sec    0    100 KBytes       
[  4]  36.00-37.01  sec  63.6 KBytes   519 Kbits/sec    0    134 KBytes       
[  4]  37.01-38.00  sec  63.6 KBytes   524 Kbits/sec    0    170 KBytes       
[  4]  38.00-39.00  sec  63.6 KBytes   521 Kbits/sec    0    185 KBytes       
[  4]  39.00-40.00  sec   509 KBytes  4.16 Mbits/sec    0    246 KBytes       
[  4]  40.00-41.00  sec   255 KBytes  2.09 Mbits/sec    0    283 KBytes       
[  4]  41.00-42.00  sec   700 KBytes  5.71 Mbits/sec    0    379 KBytes       
