Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   409 KBytes  3.34 Mbits/sec    0   46.7 KBytes       
[  4]   1.00-2.00   sec   191 KBytes  1.56 Mbits/sec    0   53.7 KBytes       
[  4]   2.00-3.00   sec  63.6 KBytes   520 Kbits/sec    0   56.6 KBytes       
[  4]   3.00-4.00   sec  63.6 KBytes   522 Kbits/sec    0   62.2 KBytes       
[  4]   4.00-5.00   sec   255 KBytes  2.08 Mbits/sec    0   84.8 KBytes       
[  4]   5.00-6.00   sec   318 KBytes  2.61 Mbits/sec    0    119 KBytes       
[  4]   6.00-7.01   sec   318 KBytes  2.59 Mbits/sec    0    161 KBytes       
[  4]   7.01-8.01   sec   509 KBytes  4.18 Mbits/sec    0    229 KBytes       
[  4]   8.01-9.01   sec  63.6 KBytes   520 Kbits/sec   13    202 KBytes       
[  4]   9.01-10.00  sec  0.00 Bytes  0.00 bits/sec   44    163 KBytes       
[  4]  10.00-11.01  sec  0.00 Bytes  0.00 bits/sec   39    154 KBytes       
[  4]  11.01-12.00  sec   191 KBytes  1.57 Mbits/sec   30    103 KBytes       
[  4]  12.00-13.01  sec  0.00 Bytes  0.00 bits/sec    0    112 KBytes       
[  4]  13.01-14.00  sec  63.6 KBytes   523 Kbits/sec   18   65.0 KBytes       
[  4]  14.00-15.00  sec   255 KBytes  2.08 Mbits/sec    1    102 KBytes       
[  4]  15.00-16.00  sec   127 KBytes  1.05 Mbits/sec    3    113 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec   16    110 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec   15    113 KBytes       
[  4]  18.00-19.00  sec   127 KBytes  1.04 Mbits/sec    0    106 KBytes       
[  4]  19.00-20.00  sec  63.6 KBytes   521 Kbits/sec    7   79.2 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec   14   79.2 KBytes       
[  4]  21.00-22.00  sec   127 KBytes  1.04 Mbits/sec   15   59.4 KBytes       
