Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   757 KBytes  6.18 Mbits/sec    0   58.0 KBytes       
[  4]   1.00-2.00   sec   509 KBytes  4.17 Mbits/sec    0   79.2 KBytes       
[  4]   2.00-3.00   sec   445 KBytes  3.65 Mbits/sec    0   96.2 KBytes       
[  4]   3.00-4.00   sec   509 KBytes  4.16 Mbits/sec    0    116 KBytes       
[  4]   4.00-5.00   sec   445 KBytes  3.64 Mbits/sec    0    136 KBytes       
[  4]   5.00-6.01   sec   573 KBytes  4.68 Mbits/sec    0    157 KBytes       
[  4]   6.01-7.00   sec   636 KBytes  5.22 Mbits/sec    0    195 KBytes       
[  4]   7.00-8.00   sec   891 KBytes  7.31 Mbits/sec    0    273 KBytes       
[  4]   8.00-9.00   sec   827 KBytes  6.78 Mbits/sec    0    345 KBytes       
[  4]   9.00-10.00  sec   954 KBytes  7.81 Mbits/sec    0    451 KBytes       
[  4]  10.00-11.01  sec  1018 KBytes  8.28 Mbits/sec    0    567 KBytes       
[  4]  11.01-12.00  sec  1.49 MBytes  12.6 Mbits/sec    0    741 KBytes       
[  4]  12.00-13.00  sec  1.25 MBytes  10.5 Mbits/sec    0    922 KBytes       
[  4]  13.00-14.02  sec  1.25 MBytes  10.3 Mbits/sec    0   1.10 MBytes       
[  4]  14.02-15.00  sec  1.25 MBytes  10.7 Mbits/sec    0   1.25 MBytes       
[  4]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec   62   1.23 MBytes       
[  4]  16.00-17.01  sec   861 KBytes  6.98 Mbits/sec   68   1.03 MBytes       
[  4]  17.01-18.08  sec  0.00 Bytes  0.00 bits/sec  118   1007 KBytes       
[  4]  18.08-19.00  sec  0.00 Bytes  0.00 bits/sec    9   1007 KBytes       
[  4]  19.00-20.00  sec  1.25 MBytes  10.5 Mbits/sec   22    830 KBytes       
[  4]  20.00-21.00  sec  1.25 MBytes  10.5 Mbits/sec    0    708 KBytes       
[  4]  21.00-22.00  sec  1.25 MBytes  10.5 Mbits/sec    0    745 KBytes       
[  4]  22.00-23.00  sec   932 KBytes  7.64 Mbits/sec    0    783 KBytes       
[  4]  23.00-24.00  sec   636 KBytes  5.21 Mbits/sec    0    810 KBytes       
[  4]  24.00-25.00  sec   509 KBytes  4.17 Mbits/sec    0    829 KBytes       
[  4]  25.00-26.00  sec   700 KBytes  5.73 Mbits/sec    0    843 KBytes       
[  4]  26.00-27.00  sec   318 KBytes  2.61 Mbits/sec    0    846 KBytes       
[  4]  27.00-28.00  sec   509 KBytes  4.17 Mbits/sec    0    850 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec   50    629 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec   98    594 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec   28    594 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec   44    594 KBytes       
[  4]  32.00-33.00  sec   636 KBytes  5.22 Mbits/sec   57    594 KBytes       
[  4]  33.00-34.00  sec   573 KBytes  4.69 Mbits/sec   25    454 KBytes       
[  4]  34.00-35.00  sec  1.25 MBytes  10.5 Mbits/sec   27    416 KBytes       
[  4]  35.00-36.00  sec   947 KBytes  7.77 Mbits/sec    0    424 KBytes       
[  4]  36.00-37.00  sec   127 KBytes  1.04 Mbits/sec   10    346 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec  101    300 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec   19    300 KBytes       
[  4]  39.00-40.00  sec   255 KBytes  2.09 Mbits/sec   18    300 KBytes       
[  4]  40.00-41.00  sec   255 KBytes  2.08 Mbits/sec    1    264 KBytes       
[  4]  41.00-42.00  sec   382 KBytes  3.13 Mbits/sec    0    226 KBytes       
[  4]  42.00-43.00  sec   573 KBytes  4.69 Mbits/sec    0    214 KBytes       
[  4]  43.00-44.00  sec   255 KBytes  2.09 Mbits/sec    0    230 KBytes       
[  4]  44.00-45.00  sec   191 KBytes  1.56 Mbits/sec    0    243 KBytes       
[  4]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec    6    170 KBytes       
[  4]  46.00-47.00  sec   127 KBytes  1.04 Mbits/sec    1    170 KBytes       
[  4]  47.00-48.00  sec  63.6 KBytes   521 Kbits/sec    0    170 KBytes       
[  4]  48.00-49.00  sec   382 KBytes  3.13 Mbits/sec    0    173 KBytes       
[  4]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec   16    123 KBytes       
[  4]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec   18    123 KBytes       
[  4]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec    0    123 KBytes       
[  4]  52.00-53.00  sec  63.6 KBytes   521 Kbits/sec   22    123 KBytes       
[  4]  53.00-54.00  sec   318 KBytes  2.61 Mbits/sec   14   96.2 KBytes       
[  4]  54.00-55.00  sec   127 KBytes  1.04 Mbits/sec    2   84.8 KBytes       
[  4]  55.00-56.00  sec   191 KBytes  1.56 Mbits/sec    0   87.7 KBytes       
[  4]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec    0   87.7 KBytes       
[  4]  57.00-58.00  sec  63.6 KBytes   521 Kbits/sec    0   96.2 KBytes       
[  4]  58.00-59.00  sec   127 KBytes  1.04 Mbits/sec    0    100 KBytes       
[  4]  59.00-60.00  sec  0.00 Bytes  0.00 bits/sec    0    102 KBytes       
[  4]  60.00-61.00  sec  63.6 KBytes   521 Kbits/sec    0    103 KBytes       
[  4]  61.00-62.00  sec  63.6 KBytes   521 Kbits/sec    0    112 KBytes       
[  4]  62.00-63.00  sec  63.6 KBytes   521 Kbits/sec    0    115 KBytes       
[  4]  63.00-64.00  sec  0.00 Bytes  0.00 bits/sec    0    124 KBytes       
[  4]  64.00-65.00  sec  63.6 KBytes   521 Kbits/sec    0    161 KBytes       
[  4]  65.00-66.00  sec  0.00 Bytes  0.00 bits/sec    0    161 KBytes       
[  4]  66.00-67.00  sec  0.00 Bytes  0.00 bits/sec   18    115 KBytes       
[  4]  67.00-68.00  sec  0.00 Bytes  0.00 bits/sec    0    115 KBytes       
[  4]  68.00-69.00  sec   127 KBytes  1.04 Mbits/sec    1    115 KBytes       
[  4]  69.00-70.00  sec  0.00 Bytes  0.00 bits/sec    2    115 KBytes       
[  4]  70.00-71.00  sec  0.00 Bytes  0.00 bits/sec    0    115 KBytes       
[  4]  71.00-72.00  sec   127 KBytes  1.04 Mbits/sec    5   79.2 KBytes       
[  4]  72.00-73.00  sec  0.00 Bytes  0.00 bits/sec    0   79.2 KBytes       
[  4]  73.00-74.00  sec   127 KBytes  1.04 Mbits/sec    3   79.2 KBytes       
[  4]  74.00-75.00  sec  0.00 Bytes  0.00 bits/sec    0   79.2 KBytes       
[  4]  75.00-76.00  sec  63.6 KBytes   521 Kbits/sec    2   62.2 KBytes       
[  4]  76.00-77.00  sec  0.00 Bytes  0.00 bits/sec    1   55.1 KBytes       
[  4]  77.00-78.00  sec  0.00 Bytes  0.00 bits/sec    0   55.1 KBytes       
[  4]  78.00-79.00  sec   127 KBytes  1.04 Mbits/sec    0   56.6 KBytes       
[  4]  79.00-80.00  sec  0.00 Bytes  0.00 bits/sec    0   56.6 KBytes       
[  4]  80.00-81.00  sec  63.6 KBytes   521 Kbits/sec    0   63.6 KBytes       
[  4]  81.00-82.00  sec  0.00 Bytes  0.00 bits/sec    0   63.6 KBytes       
[  4]  82.00-83.00  sec   318 KBytes  2.61 Mbits/sec    0   69.3 KBytes       
[  4]  83.00-84.00  sec   191 KBytes  1.56 Mbits/sec    0   76.4 KBytes       
[  4]  84.00-85.00  sec   255 KBytes  2.09 Mbits/sec    0   91.9 KBytes       
[  4]  85.00-86.00  sec   255 KBytes  2.09 Mbits/sec    0    122 KBytes       
[  4]  86.00-87.00  sec   255 KBytes  2.08 Mbits/sec    0    161 KBytes       
[  4]  87.00-88.00  sec   445 KBytes  3.65 Mbits/sec    0    229 KBytes       
[  4]  88.00-89.00  sec   382 KBytes  3.13 Mbits/sec    0    305 KBytes       
[  4]  89.00-90.00  sec   445 KBytes  3.65 Mbits/sec    0    393 KBytes       
[  4]  90.00-91.00  sec   700 KBytes  5.73 Mbits/sec    0    539 KBytes       
[  4]  91.00-92.00  sec   573 KBytes  4.69 Mbits/sec    0    677 KBytes       
[  4]  92.00-93.00  sec   636 KBytes  5.21 Mbits/sec    0    844 KBytes       
[  4]  93.00-94.00  sec   700 KBytes  5.73 Mbits/sec    0   1.02 MBytes       
[  4]  94.00-95.00  sec   827 KBytes  6.78 Mbits/sec    0   1.26 MBytes       
[  4]  95.00-96.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.52 MBytes       
[  4]  96.00-97.01  sec  1.25 MBytes  10.4 Mbits/sec    1   1.74 MBytes       
[  4]  97.01-98.00  sec   558 KBytes  4.60 Mbits/sec  201   1.22 MBytes       
[  4]  98.00-99.00  sec   318 KBytes  2.61 Mbits/sec  130   1.22 MBytes       
[  4]  99.00-100.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.22 MBytes       
[  4] 100.00-101.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.27 MBytes       
[  4] 101.00-102.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.35 MBytes       
[  4] 102.00-103.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.44 MBytes       
[  4] 103.00-104.00 sec   989 KBytes  8.10 Mbits/sec   12   1.47 MBytes       
[  4] 104.00-105.00 sec  0.00 Bytes  0.00 bits/sec   57   1.20 MBytes       
[  4] 105.00-106.00 sec   127 KBytes  1.04 Mbits/sec   39   1.06 MBytes       
[  4] 106.00-107.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.02 MBytes       
[  4] 107.00-108.00 sec  1.25 MBytes  10.5 Mbits/sec    0    785 KBytes       
[  4] 108.00-109.00 sec  1.25 MBytes  10.5 Mbits/sec    0    786 KBytes       
[  4] 109.00-110.00 sec  1.25 MBytes  10.5 Mbits/sec    0    824 KBytes       
[  4] 110.00-111.00 sec   734 KBytes  6.01 Mbits/sec    0    858 KBytes       
[  4] 111.00-111.00 sec  0.00 Bytes  0.00 bits/sec    0    858 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-111.00 sec  50.6 MBytes  3.83 Mbits/sec  1308             sender
[  4]   0.00-111.00 sec  41.4 MBytes  3.13 Mbits/sec                  receiver

iperf Done.
