Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  82.0 KBytes   672 Kbits/sec    1   14.1 KBytes       
[  4]   1.00-2.00   sec  14.1 KBytes   116 Kbits/sec    0   28.3 KBytes       
[  4]   2.00-3.00   sec  59.4 KBytes   487 Kbits/sec    0   56.6 KBytes       
[  4]   3.00-4.00   sec  76.4 KBytes   626 Kbits/sec    0   72.1 KBytes       
[  4]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    0   76.4 KBytes       
[  4]   5.00-6.00   sec   123 KBytes  1.01 Mbits/sec    0   76.4 KBytes       
[  4]   6.00-7.00   sec  17.0 KBytes   139 Kbits/sec    0   76.4 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    0   76.4 KBytes       
[  4]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0   97.6 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0   97.6 KBytes       
[  4]  10.00-11.00  sec  77.8 KBytes   637 Kbits/sec    0   97.6 KBytes       
[  4]  11.00-12.00  sec   136 KBytes  1.11 Mbits/sec    0   97.6 KBytes       
[  4]  12.00-13.00  sec  38.2 KBytes   313 Kbits/sec    0    110 KBytes       
[  4]  13.00-14.11  sec  0.00 Bytes  0.00 bits/sec    0    164 KBytes       
[  4]  14.11-15.00  sec  74.9 KBytes   688 Kbits/sec    0    195 KBytes       
[  4]  15.00-16.00  sec  74.9 KBytes   615 Kbits/sec    0    195 KBytes       
[  4]  16.00-17.00  sec   153 KBytes  1.25 Mbits/sec    0    195 KBytes       
[  4]  17.00-18.01  sec  80.6 KBytes   653 Kbits/sec    0    195 KBytes       
[  4]  18.01-19.00  sec   150 KBytes  1.24 Mbits/sec    0    195 KBytes       
[  4]  19.00-20.00  sec  74.9 KBytes   614 Kbits/sec    0    195 KBytes       
[  4]  20.00-21.00  sec   150 KBytes  1.23 Mbits/sec    0    195 KBytes       
[  4]  21.00-22.01  sec  74.9 KBytes   611 Kbits/sec    0    195 KBytes       
[  4]  22.01-23.00  sec   150 KBytes  1.23 Mbits/sec    0    195 KBytes       
[  4]  23.00-24.00  sec  74.9 KBytes   615 Kbits/sec    0    195 KBytes       
[  4]  24.00-25.00  sec  74.9 KBytes   614 Kbits/sec    0    195 KBytes       
[  4]  25.00-26.00  sec  74.9 KBytes   612 Kbits/sec    0    195 KBytes       
[  4]  26.00-27.02  sec  74.9 KBytes   605 Kbits/sec    0    195 KBytes       
[  4]  27.02-28.00  sec  74.9 KBytes   625 Kbits/sec    0    195 KBytes       
[  4]  28.00-29.03  sec   150 KBytes  1.20 Mbits/sec    0    195 KBytes       
[  4]  29.03-30.00  sec  74.9 KBytes   628 Kbits/sec    0    195 KBytes       
[  4]  30.00-31.00  sec  74.9 KBytes   614 Kbits/sec    0    195 KBytes       
[  4]  31.00-32.01  sec   150 KBytes  1.23 Mbits/sec    0    195 KBytes       
[  4]  32.01-33.03  sec  74.9 KBytes   598 Kbits/sec    0    195 KBytes       
[  4]  33.03-34.00  sec   150 KBytes  1.27 Mbits/sec    0    195 KBytes       
[  4]  34.00-35.00  sec  74.9 KBytes   614 Kbits/sec    0    195 KBytes       
[  4]  35.00-36.00  sec  77.8 KBytes   637 Kbits/sec    0    195 KBytes       
[  4]  36.00-37.00  sec   150 KBytes  1.23 Mbits/sec    0    195 KBytes       
[  4]  37.00-38.00  sec  74.9 KBytes   615 Kbits/sec    0    195 KBytes       
[  4]  38.00-39.02  sec  74.9 KBytes   602 Kbits/sec    0    195 KBytes       
[  4]  39.02-40.03  sec   156 KBytes  1.26 Mbits/sec    0    195 KBytes       
[  4]  40.03-41.00  sec  80.6 KBytes   680 Kbits/sec    0    195 KBytes       
[  4]  41.00-42.00  sec  74.9 KBytes   613 Kbits/sec    0    195 KBytes       
[  4]  42.00-43.00  sec   141 KBytes  1.16 Mbits/sec    0    195 KBytes       
[  4]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    0    195 KBytes       
[  4]  44.00-45.00  sec  77.8 KBytes   638 Kbits/sec    0    195 KBytes       
[  4]  45.00-46.01  sec  0.00 Bytes  0.00 bits/sec    0    195 KBytes       
[  4]  46.01-47.01  sec  74.9 KBytes   611 Kbits/sec    0    195 KBytes       
[  4]  47.01-48.00  sec   150 KBytes  1.24 Mbits/sec    0    195 KBytes       
[  4]  48.00-49.00  sec  74.9 KBytes   613 Kbits/sec    0    195 KBytes       
[  4]  49.00-50.01  sec  74.9 KBytes   613 Kbits/sec    0    195 KBytes       
[  4]  50.01-51.01  sec  74.9 KBytes   608 Kbits/sec    0    195 KBytes       
[  4]  51.01-52.00  sec   150 KBytes  1.24 Mbits/sec    0    195 KBytes       
[  4]  52.00-53.00  sec  74.9 KBytes   615 Kbits/sec    0    195 KBytes       
[  4]  53.00-54.00  sec  77.8 KBytes   637 Kbits/sec    0    195 KBytes       
[  4]  54.00-55.00  sec   153 KBytes  1.25 Mbits/sec    0    195 KBytes       
[  4]  55.00-56.00  sec  74.9 KBytes   614 Kbits/sec    0    195 KBytes       
[  4]  56.00-57.00  sec  77.8 KBytes   636 Kbits/sec    0    195 KBytes       
[  4]  57.00-58.00  sec   150 KBytes  1.23 Mbits/sec    0    195 KBytes       
[  4]  58.00-59.00  sec  74.9 KBytes   614 Kbits/sec    0    195 KBytes       
[  4]  59.00-60.01  sec  74.9 KBytes   607 Kbits/sec    0    195 KBytes       
[  4]  60.01-61.00  sec   150 KBytes  1.24 Mbits/sec    0    195 KBytes       
[  4]  61.00-62.01  sec  74.9 KBytes   609 Kbits/sec    0    195 KBytes       
[  4]  62.01-63.00  sec   158 KBytes  1.31 Mbits/sec    0    195 KBytes       
[  4]  63.00-64.00  sec  74.9 KBytes   615 Kbits/sec    0    195 KBytes       
[  4]  64.00-65.04  sec  86.3 KBytes   684 Kbits/sec    0    195 KBytes       
[  4]  65.04-66.01  sec   150 KBytes  1.26 Mbits/sec    0    195 KBytes       
[  4]  66.01-67.00  sec  74.9 KBytes   618 Kbits/sec    0    195 KBytes       
[  4]  67.00-68.00  sec  74.9 KBytes   614 Kbits/sec    0    195 KBytes       
[  4]  68.00-69.01  sec   150 KBytes  1.22 Mbits/sec    0    195 KBytes       
