Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.01   sec  1.12 MBytes  9.32 Mbits/sec    0   53.7 KBytes       
[  4]   1.01-2.00   sec   954 KBytes  7.86 Mbits/sec    0   91.9 KBytes       
[  4]   2.00-3.00   sec   891 KBytes  7.30 Mbits/sec    0    129 KBytes       
[  4]   3.00-4.00   sec   954 KBytes  7.79 Mbits/sec    0    164 KBytes       
[  4]   4.00-5.00   sec   954 KBytes  7.85 Mbits/sec    0    201 KBytes       
[  4]   5.00-6.00   sec   891 KBytes  7.29 Mbits/sec    0    236 KBytes       
[  4]   6.00-7.00   sec   827 KBytes  6.78 Mbits/sec    0    269 KBytes       
[  4]   7.00-8.00   sec   636 KBytes  5.22 Mbits/sec    0    294 KBytes       
[  4]   8.00-9.00   sec   827 KBytes  6.78 Mbits/sec    0    356 KBytes       
[  4]   9.00-10.00  sec  1018 KBytes  8.34 Mbits/sec    0    465 KBytes       
[  4]  10.00-11.00  sec  1018 KBytes  8.33 Mbits/sec    0    585 KBytes       
[  4]  11.00-12.00  sec   191 KBytes  1.56 Mbits/sec   49    475 KBytes       
[  4]  12.00-13.00  sec  63.6 KBytes   521 Kbits/sec   62    414 KBytes       
[  4]  13.00-14.00  sec   764 KBytes  6.26 Mbits/sec    0    416 KBytes       
[  4]  14.00-15.00  sec   509 KBytes  4.17 Mbits/sec    0    441 KBytes       
[  4]  15.00-16.00  sec   382 KBytes  3.13 Mbits/sec    0    484 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec   21    396 KBytes       
[  4]  17.00-18.00  sec   255 KBytes  2.09 Mbits/sec   11    342 KBytes       
[  4]  18.00-19.00  sec   827 KBytes  6.78 Mbits/sec    0    354 KBytes       
[  4]  19.00-20.00  sec   318 KBytes  2.61 Mbits/sec    0    373 KBytes       
[  4]  20.00-21.00  sec   382 KBytes  3.13 Mbits/sec    0    393 KBytes       
[  4]  21.00-22.00  sec   318 KBytes  2.61 Mbits/sec    0    406 KBytes       
[  4]  22.00-23.00  sec   382 KBytes  3.13 Mbits/sec    0    411 KBytes       
[  4]  23.00-24.00  sec   318 KBytes  2.61 Mbits/sec    0    414 KBytes       
[  4]  24.00-25.00  sec   382 KBytes  3.13 Mbits/sec    0    416 KBytes       
[  4]  25.00-26.00  sec   382 KBytes  3.13 Mbits/sec    0    420 KBytes       
[  4]  26.00-27.00  sec   318 KBytes  2.61 Mbits/sec    0    430 KBytes       
[  4]  27.00-28.00  sec   318 KBytes  2.61 Mbits/sec    0    448 KBytes       
[  4]  28.00-29.00  sec   318 KBytes  2.60 Mbits/sec    0    475 KBytes       
[  4]  29.00-30.00  sec  63.6 KBytes   521 Kbits/sec   14    397 KBytes       
[  4]  30.00-31.00  sec   191 KBytes  1.56 Mbits/sec   14    341 KBytes       
[  4]  31.00-32.00  sec   827 KBytes  6.78 Mbits/sec    0    349 KBytes       
[  4]  32.00-33.00  sec   382 KBytes  3.13 Mbits/sec    0    385 KBytes       
[  4]  33.00-34.00  sec   382 KBytes  3.13 Mbits/sec    0    421 KBytes       
[  4]  34.00-35.00  sec   382 KBytes  3.13 Mbits/sec    0    450 KBytes       
[  4]  35.00-36.00  sec   318 KBytes  2.60 Mbits/sec    0    468 KBytes       
[  4]  36.00-37.00  sec   382 KBytes  3.13 Mbits/sec    0    478 KBytes       
[  4]  37.00-38.00  sec   382 KBytes  3.13 Mbits/sec    0    484 KBytes       
[  4]  38.00-39.00  sec   382 KBytes  3.13 Mbits/sec    0    486 KBytes       
[  4]  39.00-40.00  sec   382 KBytes  3.13 Mbits/sec    0    489 KBytes       
[  4]  40.00-41.00  sec   318 KBytes  2.60 Mbits/sec    0    495 KBytes       
[  4]  41.00-42.00  sec   382 KBytes  3.13 Mbits/sec    0    506 KBytes       
[  4]  42.00-43.00  sec   382 KBytes  3.13 Mbits/sec    0    525 KBytes       
[  4]  43.00-44.00  sec   382 KBytes  3.13 Mbits/sec    0    560 KBytes       
[  4]  44.00-45.00  sec   191 KBytes  1.57 Mbits/sec    4    554 KBytes       
[  4]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec   19    427 KBytes       
[  4]  46.00-47.00  sec   382 KBytes  3.13 Mbits/sec    4    411 KBytes       
[  4]  47.00-48.00  sec   827 KBytes  6.78 Mbits/sec    0    428 KBytes       
[  4]  48.00-49.00  sec   318 KBytes  2.61 Mbits/sec    0    465 KBytes       
[  4]  49.00-50.00  sec   318 KBytes  2.60 Mbits/sec    0    501 KBytes       
[  4]  50.00-51.00  sec   318 KBytes  2.61 Mbits/sec    0    533 KBytes       
[  4]  51.00-52.00  sec   191 KBytes  1.56 Mbits/sec   12    457 KBytes       
[  4]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec    6    379 KBytes       
[  4]  53.00-54.00  sec   827 KBytes  6.78 Mbits/sec    0    382 KBytes       
[  4]  54.00-55.00  sec   382 KBytes  3.13 Mbits/sec    0    399 KBytes       
[  4]  55.00-56.00  sec   382 KBytes  3.13 Mbits/sec    0    423 KBytes       
[  4]  56.00-57.00  sec   318 KBytes  2.61 Mbits/sec    0    441 KBytes       
[  4]  57.00-58.00  sec   382 KBytes  3.13 Mbits/sec    0    451 KBytes       
[  4]  58.00-59.00  sec   255 KBytes  2.08 Mbits/sec    0    455 KBytes       
[  4]  59.00-60.00  sec   382 KBytes  3.13 Mbits/sec    0    458 KBytes       
[  4]  60.00-61.00  sec   382 KBytes  3.13 Mbits/sec    0    461 KBytes       
[  4]  61.00-62.00  sec   318 KBytes  2.60 Mbits/sec    0    467 KBytes       
[  4]  62.00-63.00  sec   255 KBytes  2.09 Mbits/sec    0    477 KBytes       
[  4]  63.00-64.00  sec   382 KBytes  3.13 Mbits/sec    0    499 KBytes       
[  4]  64.00-65.00  sec   318 KBytes  2.60 Mbits/sec    0    530 KBytes       
[  4]  65.00-66.00  sec   255 KBytes  2.09 Mbits/sec    0    566 KBytes       
[  4]  66.00-67.00  sec   573 KBytes  4.69 Mbits/sec    0    638 KBytes       
[  4]  67.00-68.00  sec   191 KBytes  1.56 Mbits/sec   18    587 KBytes       
[  4]  68.00-69.00  sec  0.00 Bytes  0.00 bits/sec   38    460 KBytes       
[  4]  69.00-70.00  sec   573 KBytes  4.69 Mbits/sec    0    460 KBytes       
[  4]  70.00-71.00  sec  0.00 Bytes  0.00 bits/sec   16    460 KBytes       
[  4]  71.00-72.00  sec  0.00 Bytes  0.00 bits/sec    7   1.41 KBytes       
[  4]  72.00-73.00  sec   191 KBytes  1.56 Mbits/sec    0   1.41 KBytes       
[  4]  73.00-74.00  sec  1.30 MBytes  11.0 Mbits/sec   22    506 KBytes       
[  4]  74.00-75.00  sec   382 KBytes  3.13 Mbits/sec    0    530 KBytes       
[  4]  75.00-76.00  sec   382 KBytes  3.13 Mbits/sec    0    549 KBytes       
[  4]  76.00-77.00  sec   191 KBytes  1.56 Mbits/sec    0    559 KBytes       
[  4]  77.00-78.00  sec   509 KBytes  4.18 Mbits/sec    0    585 KBytes       
[  4]  78.00-79.00  sec   445 KBytes  3.65 Mbits/sec    0    607 KBytes       
[  4]  79.00-80.00  sec   127 KBytes  1.04 Mbits/sec    0    615 KBytes       
[  4]  80.00-81.00  sec   700 KBytes  5.73 Mbits/sec    0    673 KBytes       
[  4]  81.00-82.00  sec   891 KBytes  7.30 Mbits/sec    0    762 KBytes       
[  4]  82.00-83.00  sec   573 KBytes  4.69 Mbits/sec    0    819 KBytes       
[  4]  83.00-84.00  sec  1.25 MBytes  10.5 Mbits/sec    0    994 KBytes       
[  4]  84.00-85.00  sec   947 KBytes  7.75 Mbits/sec    0   1.05 MBytes       
[  4]  85.00-86.00  sec  1.25 MBytes  10.5 Mbits/sec   23   1.22 MBytes       
[  4]  86.00-87.00  sec   565 KBytes  4.63 Mbits/sec   67   1.05 MBytes       
[  4]  87.00-88.00  sec  0.00 Bytes  0.00 bits/sec  134    919 KBytes       
[  4]  88.00-89.00  sec  0.00 Bytes  0.00 bits/sec   35    919 KBytes       
[  4]  89.00-90.00  sec  0.00 Bytes  0.00 bits/sec   96    919 KBytes       
[  4]  90.00-91.00  sec  0.00 Bytes  0.00 bits/sec   11   1.41 KBytes       
[  4]  91.00-92.00  sec   127 KBytes  1.04 Mbits/sec    0   1.41 KBytes       
[  4]  92.00-93.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
