Connecting to host 10.0.0.2, port 5208
[  4] local 10.0.0.1 port 46124 connected to 10.0.0.2 port 5208
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  93.3 KBytes   763 Kbits/sec    0   25.5 KBytes       
[  4]   1.00-2.00   sec   211 KBytes  1.73 Mbits/sec    0   42.4 KBytes       
[  4]   2.00-3.00   sec   134 KBytes  1.10 Mbits/sec    0   46.7 KBytes       
[  4]   3.00-4.00   sec  63.6 KBytes   521 Kbits/sec    0   50.9 KBytes       
[  4]   4.00-5.00   sec   127 KBytes  1.04 Mbits/sec    0   63.6 KBytes       
[  4]   5.00-6.00   sec  0.00 Bytes  0.00 bits/sec    0   63.6 KBytes       
[  4]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec   10   45.2 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    2   45.2 KBytes       
[  4]   8.00-9.00   sec   127 KBytes  1.04 Mbits/sec    0   52.3 KBytes       
[  4]   9.00-10.00  sec  63.6 KBytes   521 Kbits/sec    0   59.4 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    0   60.8 KBytes       
[  4]  11.00-12.00  sec  63.6 KBytes   521 Kbits/sec    0   63.6 KBytes       
[  4]  12.00-13.00  sec  63.6 KBytes   521 Kbits/sec    0   66.5 KBytes       
[  4]  13.00-14.00  sec  63.6 KBytes   521 Kbits/sec    0   70.7 KBytes       
[  4]  14.00-15.00  sec   127 KBytes  1.04 Mbits/sec    0   82.0 KBytes       
[  4]  15.00-16.00  sec   191 KBytes  1.56 Mbits/sec    0    103 KBytes       
[  4]  16.00-17.00  sec   318 KBytes  2.61 Mbits/sec    0    137 KBytes       
[  4]  17.00-18.00  sec   191 KBytes  1.56 Mbits/sec    0    164 KBytes       
[  4]  18.00-19.00  sec   255 KBytes  2.09 Mbits/sec    0    198 KBytes       
[  4]  19.00-20.00  sec   573 KBytes  4.70 Mbits/sec    0    263 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec   24    184 KBytes       
[  4]  21.00-22.00  sec   382 KBytes  3.13 Mbits/sec    0    202 KBytes       
[  4]  22.00-23.00  sec   191 KBytes  1.56 Mbits/sec    0    229 KBytes       
[  4]  23.00-24.00  sec   127 KBytes  1.04 Mbits/sec    0    242 KBytes       
[  4]  24.00-25.00  sec   127 KBytes  1.04 Mbits/sec    0    250 KBytes       
[  4]  25.00-26.00  sec   255 KBytes  2.08 Mbits/sec    0    259 KBytes       
[  4]  26.00-27.00  sec   255 KBytes  2.08 Mbits/sec    0    262 KBytes       
[  4]  27.00-28.00  sec   318 KBytes  2.61 Mbits/sec    0    264 KBytes       
[  4]  28.00-29.00  sec   255 KBytes  2.08 Mbits/sec    0    272 KBytes       
[  4]  29.00-30.00  sec   255 KBytes  2.08 Mbits/sec    0    284 KBytes       
[  4]  30.00-31.00  sec   127 KBytes  1.04 Mbits/sec    0    291 KBytes       
[  4]  31.00-32.00  sec   509 KBytes  4.17 Mbits/sec    0    327 KBytes       
[  4]  32.00-33.00  sec   445 KBytes  3.65 Mbits/sec   11    331 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec   35    260 KBytes       
[  4]  34.00-35.00  sec   255 KBytes  2.08 Mbits/sec    1    260 KBytes       
[  4]  35.00-36.00  sec   382 KBytes  3.13 Mbits/sec    0    281 KBytes       
[  4]  36.00-37.00  sec   318 KBytes  2.61 Mbits/sec    0    318 KBytes       
[  4]  37.00-38.00  sec   318 KBytes  2.61 Mbits/sec    0    346 KBytes       
[  4]  38.00-39.00  sec   318 KBytes  2.61 Mbits/sec    0    362 KBytes       
[  4]  39.00-40.00  sec   255 KBytes  2.09 Mbits/sec    0    368 KBytes       
[  4]  40.00-41.00  sec   382 KBytes  3.13 Mbits/sec    0    370 KBytes       
[  4]  41.00-42.00  sec   382 KBytes  3.13 Mbits/sec    0    373 KBytes       
[  4]  42.00-43.00  sec   445 KBytes  3.65 Mbits/sec    0    380 KBytes       
[  4]  43.00-44.00  sec   382 KBytes  3.13 Mbits/sec    0    393 KBytes       
[  4]  44.00-45.00  sec   509 KBytes  4.17 Mbits/sec    0    417 KBytes       
[  4]  45.00-46.00  sec   573 KBytes  4.69 Mbits/sec    0    450 KBytes       
[  4]  46.00-46.00  sec  0.00 Bytes  0.00 bits/sec    0    450 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-46.00  sec  10.2 MBytes  1.86 Mbits/sec   83             sender
[  4]   0.00-46.00  sec  8.14 MBytes  1.49 Mbits/sec                  receiver

iperf Done.
