Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  2.39 MBytes  20.1 Mbits/sec    0    229 KBytes       
[  4]   1.00-2.00   sec  1.30 MBytes  10.9 Mbits/sec    0    281 KBytes       
[  4]   2.00-3.00   sec  1.24 MBytes  10.4 Mbits/sec    0    332 KBytes       
[  4]   3.00-4.00   sec  1.24 MBytes  10.4 Mbits/sec    0    380 KBytes       
[  4]   4.00-5.00   sec  1.18 MBytes  9.91 Mbits/sec    0    428 KBytes       
[  4]   5.00-6.00   sec  1.24 MBytes  10.4 Mbits/sec    0    478 KBytes       
[  4]   6.00-7.00   sec  1.24 MBytes  10.4 Mbits/sec    0    527 KBytes       
[  4]   7.00-8.00   sec  1.18 MBytes  9.91 Mbits/sec    0    574 KBytes       
[  4]   8.00-9.00   sec  1.18 MBytes  9.89 Mbits/sec    0    624 KBytes       
[  4]   9.00-10.00  sec  1018 KBytes  8.35 Mbits/sec    0    663 KBytes       
[  4]  10.00-11.00  sec  1.25 MBytes  10.5 Mbits/sec    0    776 KBytes       
[  4]  11.00-12.00  sec  1.25 MBytes  10.5 Mbits/sec    0    926 KBytes       
[  4]  12.00-13.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.06 MBytes       
[  4]  13.00-14.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.32 MBytes       
[  4]  14.00-15.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.54 MBytes       
[  4]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.77 MBytes       
[  4]  16.00-17.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.10 MBytes       
[  4]  17.00-18.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.49 MBytes       
[  4]  18.00-19.00  sec  1.25 MBytes  10.5 Mbits/sec  105   2.26 MBytes       
[  4]  19.00-20.00  sec  1.22 MBytes  10.2 Mbits/sec  315   1.75 MBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec  158   1.75 MBytes       
[  4]  21.00-22.00  sec   191 KBytes  1.56 Mbits/sec  474   1.43 MBytes       
[  4]  22.00-23.00  sec   636 KBytes  5.22 Mbits/sec  199    799 KBytes       
[  4]  23.00-24.00  sec  1.25 MBytes  10.5 Mbits/sec   66    503 KBytes       
[  4]  24.00-25.00  sec  1.25 MBytes  10.5 Mbits/sec   33   1.23 MBytes       
[  4]  25.00-26.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.27 MBytes       
[  4]  26.00-27.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.30 MBytes       
[  4]  27.00-28.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.37 MBytes       
[  4]  28.00-29.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.39 MBytes       
[  4]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.44 MBytes       
[  4]  30.00-31.00  sec   776 KBytes  6.36 Mbits/sec    0   1.45 MBytes       
[  4]  31.00-32.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.47 MBytes       
[  4]  32.00-33.00  sec   318 KBytes  2.61 Mbits/sec    0   1.47 MBytes       
[  4]  33.00-34.00  sec  1.12 MBytes  9.39 Mbits/sec    0   1.48 MBytes       
[  4]  34.00-35.00  sec   318 KBytes  2.61 Mbits/sec    0   1.48 MBytes       
[  4]  35.00-36.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.50 MBytes       
[  4]  36.00-37.00  sec   318 KBytes  2.61 Mbits/sec    0   1.50 MBytes       
[  4]  37.00-38.00  sec  1.12 MBytes  9.39 Mbits/sec    0   1.53 MBytes       
[  4]  38.00-39.00  sec   255 KBytes  2.08 Mbits/sec    0   1.55 MBytes       
[  4]  39.00-40.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.62 MBytes       
[  4]  40.00-41.00  sec   318 KBytes  2.61 Mbits/sec    0   1.64 MBytes       
[  4]  41.00-42.00  sec   954 KBytes  7.82 Mbits/sec    0   1.76 MBytes       
[  4]  42.00-43.00  sec   636 KBytes  5.22 Mbits/sec    0   1.85 MBytes       
[  4]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec   45   1.62 MBytes       
[  4]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec   93   1.29 MBytes       
[  4]  45.00-46.00  sec   445 KBytes  3.65 Mbits/sec   12   1.29 MBytes       
[  4]  46.00-47.00  sec  1.25 MBytes  10.5 Mbits/sec   85   1.29 MBytes       
[  4]  47.00-47.00  sec  0.00 Bytes  0.00 bits/sec    0   1.29 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-47.00  sec  50.1 MBytes  8.94 Mbits/sec  1585             sender
[  4]   0.00-47.00  sec  37.0 MBytes  6.60 Mbits/sec                  receiver

iperf Done.
