Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   204 KBytes  1.67 Mbits/sec    0   17.0 KBytes       
[  4]   1.00-2.00   sec  73.5 KBytes   602 Kbits/sec    0   19.8 KBytes       
[  4]   2.00-3.02   sec  67.9 KBytes   545 Kbits/sec    0   24.0 KBytes       
[  4]   3.02-4.00   sec   191 KBytes  1.60 Mbits/sec    0   39.6 KBytes       
[  4]   4.00-5.00   sec   191 KBytes  1.56 Mbits/sec    0   63.6 KBytes       
[  4]   5.00-6.00   sec   382 KBytes  3.13 Mbits/sec    0    105 KBytes       
[  4]   6.00-7.00   sec   318 KBytes  2.61 Mbits/sec    0    148 KBytes       
[  4]   7.00-8.00   sec   509 KBytes  4.17 Mbits/sec    0    208 KBytes       
[  4]   8.00-9.00   sec   700 KBytes  5.74 Mbits/sec    0    301 KBytes       
[  4]   9.00-10.00  sec   127 KBytes  1.04 Mbits/sec    0    322 KBytes       
[  4]  10.00-11.00  sec   954 KBytes  7.82 Mbits/sec    0    451 KBytes       
[  4]  11.00-12.00  sec   255 KBytes  2.08 Mbits/sec    0    484 KBytes       
[  4]  12.00-13.00  sec   127 KBytes  1.04 Mbits/sec   38    411 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec   57    349 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec   12    349 KBytes       
[  4]  15.00-16.00  sec  63.6 KBytes   521 Kbits/sec   66    322 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec   41    296 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec   57    334 KBytes       
[  4]  18.00-19.00  sec   318 KBytes  2.61 Mbits/sec   27    349 KBytes       
[  4]  19.00-20.10  sec  0.00 Bytes  0.00 bits/sec    0    349 KBytes       
[  4]  20.10-21.00  sec   191 KBytes  1.74 Mbits/sec   28    243 KBytes       
[  4]  21.00-22.00  sec  63.6 KBytes   521 Kbits/sec    0    243 KBytes       
[  4]  22.00-23.00  sec  1018 KBytes  8.34 Mbits/sec    0    250 KBytes       
[  4]  23.00-24.01  sec   191 KBytes  1.54 Mbits/sec    0    266 KBytes       
[  4]  24.01-25.00  sec  63.6 KBytes   528 Kbits/sec    0    272 KBytes       
[  4]  25.00-26.00  sec   191 KBytes  1.56 Mbits/sec    0    284 KBytes       
[  4]  26.00-27.01  sec  0.00 Bytes  0.00 bits/sec    0    286 KBytes       
[  4]  27.01-28.00  sec   255 KBytes  2.10 Mbits/sec    0    291 KBytes       
[  4]  28.00-29.00  sec  63.6 KBytes   522 Kbits/sec    0    293 KBytes       
[  4]  29.00-30.00  sec  63.6 KBytes   520 Kbits/sec    0    296 KBytes       
[  4]  30.00-31.00  sec   191 KBytes  1.57 Mbits/sec    0    311 KBytes       
[  4]  31.00-32.00  sec  63.6 KBytes   522 Kbits/sec    0    321 KBytes       
[  4]  32.00-33.00  sec   255 KBytes  2.08 Mbits/sec    0    365 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    0    375 KBytes       
[  4]  34.00-35.09  sec  63.6 KBytes   476 Kbits/sec    0    400 KBytes       
[  4]  35.09-36.00  sec   382 KBytes  3.45 Mbits/sec    0    530 KBytes       
[  4]  36.00-37.00  sec  63.6 KBytes   521 Kbits/sec    0    543 KBytes       
[  4]  37.00-38.00  sec   127 KBytes  1.04 Mbits/sec    2    550 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec   70    393 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec   52    385 KBytes       
[  4]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec   14    389 KBytes       
[  4]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec   89    352 KBytes       
[  4]  42.00-43.00  sec  63.6 KBytes   521 Kbits/sec   69    385 KBytes       
[  4]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec   10    373 KBytes       
[  4]  44.00-45.17  sec  63.6 KBytes   446 Kbits/sec   65    389 KBytes       
[  4]  45.17-46.00  sec  0.00 Bytes  0.00 bits/sec    9    389 KBytes       
[  4]  46.00-47.00  sec   191 KBytes  1.57 Mbits/sec   71    387 KBytes       
[  4]  47.00-48.00  sec  63.6 KBytes   521 Kbits/sec   33    375 KBytes       
[  4]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec   42    386 KBytes       
[  4]  49.00-50.00  sec   127 KBytes  1.04 Mbits/sec   23    355 KBytes       
[  4]  50.00-51.00  sec  63.6 KBytes   521 Kbits/sec   48    272 KBytes       
[  4]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec   10    272 KBytes       
