Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   209 KBytes  1.71 Mbits/sec    0   18.4 KBytes       
[  4]   1.00-2.00   sec   144 KBytes  1.18 Mbits/sec    0   21.2 KBytes       
[  4]   2.00-3.00   sec   127 KBytes  1.04 Mbits/sec    0   26.9 KBytes       
[  4]   3.00-4.00   sec   191 KBytes  1.56 Mbits/sec    0   41.0 KBytes       
[  4]   4.00-5.00   sec   191 KBytes  1.56 Mbits/sec    0   60.8 KBytes       
[  4]   5.00-6.00   sec   318 KBytes  2.61 Mbits/sec    0   97.6 KBytes       
[  4]   6.00-7.00   sec   318 KBytes  2.61 Mbits/sec    0    139 KBytes       
[  4]   7.00-8.00   sec   509 KBytes  4.17 Mbits/sec    0    205 KBytes       
[  4]   8.00-9.00   sec   127 KBytes  1.04 Mbits/sec    0    228 KBytes       
[  4]   9.00-10.00  sec   636 KBytes  5.22 Mbits/sec    0    307 KBytes       
[  4]  10.00-11.00  sec   255 KBytes  2.08 Mbits/sec    0    342 KBytes       
[  4]  11.00-12.00  sec   573 KBytes  4.69 Mbits/sec    9    402 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   32    328 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec   48    294 KBytes       
[  4]  14.00-15.00  sec   127 KBytes  1.04 Mbits/sec   16    294 KBytes       
[  4]  15.00-16.00  sec   318 KBytes  2.61 Mbits/sec   94    240 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec   18    205 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec   28    205 KBytes       
[  4]  18.00-19.00  sec  63.6 KBytes   521 Kbits/sec   26    194 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0    205 KBytes       
[  4]  20.00-21.00  sec   636 KBytes  5.21 Mbits/sec    0    175 KBytes       
[  4]  21.00-22.00  sec   191 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  4]  22.00-23.00  sec   127 KBytes  1.04 Mbits/sec    0    153 KBytes       
[  4]  23.00-24.00  sec   127 KBytes  1.04 Mbits/sec    0    164 KBytes       
[  4]  24.00-25.00  sec  63.6 KBytes   521 Kbits/sec    0    167 KBytes       
[  4]  25.00-26.00  sec   127 KBytes  1.04 Mbits/sec    0    171 KBytes       
[  4]  26.00-27.00  sec  63.6 KBytes   521 Kbits/sec    0    171 KBytes       
[  4]  27.00-28.00  sec   127 KBytes  1.04 Mbits/sec    0    175 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  4]  29.00-30.00  sec   191 KBytes  1.56 Mbits/sec    0    201 KBytes       
[  4]  30.00-31.00  sec   127 KBytes  1.04 Mbits/sec    0    235 KBytes       
[  4]  31.00-32.00  sec  63.6 KBytes   521 Kbits/sec    0    264 KBytes       
[  4]  32.00-33.00  sec  63.6 KBytes   521 Kbits/sec    0    305 KBytes       
[  4]  33.00-34.00  sec   127 KBytes  1.04 Mbits/sec    0    385 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0    393 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec   54    277 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec   35    277 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec   23    273 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec   49    240 KBytes       
[  4]  39.00-40.00  sec   127 KBytes  1.04 Mbits/sec   51    276 KBytes       
[  4]  40.00-41.00  sec  63.6 KBytes   522 Kbits/sec   35    277 KBytes       
[  4]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec   23    263 KBytes       
[  4]  42.00-43.00  sec   191 KBytes  1.56 Mbits/sec   49    255 KBytes       
[  4]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec   52    194 KBytes       
[  4]  44.00-45.00  sec  63.6 KBytes   521 Kbits/sec   24    192 KBytes       
[  4]  45.00-46.00  sec   636 KBytes  5.21 Mbits/sec    5    194 KBytes       
[  4]  46.00-47.00  sec   509 KBytes  4.17 Mbits/sec    0    158 KBytes       
[  4]  47.00-48.00  sec   255 KBytes  2.08 Mbits/sec    0    146 KBytes       
[  4]  48.00-49.00  sec   191 KBytes  1.57 Mbits/sec    0    156 KBytes       
[  4]  49.00-50.00  sec   127 KBytes  1.04 Mbits/sec    0    161 KBytes       
[  4]  50.00-51.00  sec   255 KBytes  2.08 Mbits/sec    0    164 KBytes       
[  4]  51.00-52.00  sec   509 KBytes  4.17 Mbits/sec    0    164 KBytes       
[  4]  52.00-53.00  sec  1.12 MBytes  9.39 Mbits/sec    0    171 KBytes       
[  4]  53.00-53.75  sec   891 KBytes  9.79 Mbits/sec    0    178 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-53.75  sec  10.8 MBytes  1.69 Mbits/sec  671             sender
[  4]   0.00-53.75  sec  8.61 MBytes  1.34 Mbits/sec                  receiver

iperf Done.
