Connecting to host 10.0.0.2, port 5208
[  4] local 10.0.0.1 port 46124 connected to 10.0.0.2 port 5208
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   110 KBytes   903 Kbits/sec    0   15.6 KBytes       
[  4]   1.00-2.00   sec  90.5 KBytes   741 Kbits/sec    0   17.0 KBytes       
[  4]   2.00-3.00   sec  63.6 KBytes   521 Kbits/sec    0   18.4 KBytes       
[  4]   3.00-4.00   sec  63.6 KBytes   522 Kbits/sec    0   29.7 KBytes       
[  4]   4.00-5.00   sec   191 KBytes  1.56 Mbits/sec    0   48.1 KBytes       
[  4]   5.00-6.00   sec  63.6 KBytes   521 Kbits/sec    0   59.4 KBytes       
[  4]   6.00-7.00   sec   191 KBytes  1.56 Mbits/sec    0   90.5 KBytes       
[  4]   7.00-8.00   sec   382 KBytes  3.13 Mbits/sec    0    136 KBytes       
[  4]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0    136 KBytes       
[  4]   9.00-10.00  sec   509 KBytes  4.17 Mbits/sec    0    201 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    0    204 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0    204 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   45    144 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0    144 KBytes       
[  4]  14.00-15.00  sec  63.6 KBytes   522 Kbits/sec   20    144 KBytes       
[  4]  15.00-16.00  sec  63.6 KBytes   521 Kbits/sec   31    144 KBytes       
[  4]  16.00-17.00  sec   318 KBytes  2.61 Mbits/sec    0    103 KBytes       
[  4]  17.00-18.00  sec   127 KBytes  1.04 Mbits/sec    0    106 KBytes       
[  4]  18.00-19.00  sec   127 KBytes  1.04 Mbits/sec    0    113 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0    115 KBytes       
[  4]  20.00-21.00  sec   127 KBytes  1.04 Mbits/sec    0    119 KBytes       
[  4]  21.00-22.00  sec   127 KBytes  1.04 Mbits/sec    0    120 KBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0    122 KBytes       
[  4]  23.00-24.00  sec   127 KBytes  1.04 Mbits/sec    0    129 KBytes       
[  4]  24.00-25.00  sec  63.6 KBytes   522 Kbits/sec    0    147 KBytes       
[  4]  25.00-26.00  sec   127 KBytes  1.04 Mbits/sec    0    181 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0    182 KBytes       
[  4]  27.00-28.00  sec   445 KBytes  3.65 Mbits/sec    0    250 KBytes       
[  4]  28.00-29.00  sec   382 KBytes  3.13 Mbits/sec    0    301 KBytes       
[  4]  29.00-30.00  sec   509 KBytes  4.17 Mbits/sec    0    368 KBytes       
[  4]  30.00-31.00  sec   636 KBytes  5.21 Mbits/sec    0    454 KBytes       
[  4]  31.00-32.00  sec   764 KBytes  6.26 Mbits/sec    0    551 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0    551 KBytes       
[  4]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec   38    658 KBytes       
[  4]  34.00-35.00  sec   120 KBytes   982 Kbits/sec    0    658 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec  103    522 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec   38    522 KBytes       
[  4]  37.00-38.00  sec  63.6 KBytes   523 Kbits/sec  169    458 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0    458 KBytes       
[  4]  39.00-40.00  sec   191 KBytes  1.56 Mbits/sec  111    212 KBytes       
[  4]  40.00-41.00  sec  1.24 MBytes  10.4 Mbits/sec    2    243 KBytes       
[  4]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec    0    243 KBytes       
[  4]  42.00-43.00  sec   318 KBytes  2.60 Mbits/sec    0    378 KBytes       
[  4]  43.00-44.00  sec   318 KBytes  2.61 Mbits/sec    0    395 KBytes       
[  4]  44.00-45.00  sec   382 KBytes  3.13 Mbits/sec    0    419 KBytes       
[  4]  45.00-46.00  sec   445 KBytes  3.65 Mbits/sec    0    434 KBytes       
[  4]  46.00-47.00  sec  1.06 MBytes  8.84 Mbits/sec    0    443 KBytes       
[  4]  47.00-47.00  sec  0.00 Bytes  0.00 bits/sec    0    443 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-47.00  sec  10.9 MBytes  1.94 Mbits/sec  557             sender
[  4]   0.00-47.00  sec  7.18 MBytes  1.28 Mbits/sec                  receiver

iperf Done.
