Connecting to host 10.0.0.2, port 5205
[  4] local 10.0.0.1 port 46118 connected to 10.0.0.2 port 5205
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   204 KBytes  1.67 Mbits/sec    0   17.0 KBytes       
[  4]   1.00-2.00   sec  73.5 KBytes   602 Kbits/sec    0   19.8 KBytes       
[  4]   2.00-3.00   sec   132 KBytes  1.08 Mbits/sec    0   24.0 KBytes       
[  4]   3.00-4.00   sec  63.6 KBytes   521 Kbits/sec    0   35.4 KBytes       
[  4]   4.00-5.00   sec   255 KBytes  2.09 Mbits/sec    0   63.6 KBytes       
[  4]   5.00-6.00   sec   318 KBytes  2.61 Mbits/sec    0   96.2 KBytes       
[  4]   6.00-7.00   sec   318 KBytes  2.61 Mbits/sec    0    136 KBytes       
[  4]   7.00-8.00   sec   382 KBytes  3.13 Mbits/sec    0    188 KBytes       
[  4]   8.00-9.00   sec   636 KBytes  5.21 Mbits/sec    0    276 KBytes       
[  4]   9.00-10.00  sec   191 KBytes  1.56 Mbits/sec    0    298 KBytes       
[  4]  10.00-11.00  sec   827 KBytes  6.78 Mbits/sec    0    413 KBytes       
[  4]  11.00-12.00  sec  63.6 KBytes   520 Kbits/sec    0    416 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   22    368 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec   73    291 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    4    291 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec   72    212 KBytes       
[  4]  16.00-17.00  sec  63.6 KBytes   522 Kbits/sec   31    204 KBytes       
[  4]  17.00-18.00  sec   382 KBytes  3.12 Mbits/sec    2    253 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec   28    127 KBytes       
[  4]  19.00-20.00  sec   573 KBytes  4.69 Mbits/sec    0    204 KBytes       
[  4]  20.00-21.00  sec   191 KBytes  1.57 Mbits/sec    0    209 KBytes       
[  4]  21.00-22.00  sec   191 KBytes  1.56 Mbits/sec    0    226 KBytes       
[  4]  22.00-23.00  sec  63.6 KBytes   521 Kbits/sec    0    230 KBytes       
[  4]  23.00-24.00  sec   191 KBytes  1.56 Mbits/sec    0    240 KBytes       
[  4]  24.00-25.00  sec   255 KBytes  2.09 Mbits/sec    0    245 KBytes       
[  4]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    0    245 KBytes       
[  4]  26.00-27.00  sec   255 KBytes  2.08 Mbits/sec    0    250 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    0    250 KBytes       
[  4]  28.00-29.00  sec   191 KBytes  1.56 Mbits/sec    0    274 KBytes       
[  4]  29.00-30.00  sec  63.6 KBytes   521 Kbits/sec    0    286 KBytes       
[  4]  30.00-31.00  sec   191 KBytes  1.56 Mbits/sec    0    334 KBytes       
[  4]  31.00-32.00  sec  63.6 KBytes   521 Kbits/sec    0    358 KBytes       
[  4]  32.00-33.00  sec   509 KBytes  4.17 Mbits/sec    0    465 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    0    465 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec   78    327 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec   10    327 KBytes       
[  4]  36.00-37.00  sec   700 KBytes  5.73 Mbits/sec    0    328 KBytes       
[  4]  37.00-38.00  sec   191 KBytes  1.56 Mbits/sec    0    361 KBytes       
[  4]  38.00-39.00  sec   191 KBytes  1.56 Mbits/sec    0    379 KBytes       
[  4]  39.00-40.00  sec   318 KBytes  2.60 Mbits/sec    0    426 KBytes       
[  4]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0    426 KBytes       
[  4]  41.00-42.00  sec   445 KBytes  3.65 Mbits/sec    0    451 KBytes       
[  4]  42.00-43.00  sec   445 KBytes  3.65 Mbits/sec    0    461 KBytes       
[  4]  43.00-44.00  sec   445 KBytes  3.65 Mbits/sec    0    465 KBytes       
[  4]  44.00-45.00  sec   382 KBytes  3.13 Mbits/sec    0    468 KBytes       
[  4]  45.00-46.00  sec   255 KBytes  2.09 Mbits/sec    0    474 KBytes       
[  4]  46.00-47.00  sec   382 KBytes  3.13 Mbits/sec    0    482 KBytes       
[  4]  47.00-47.00  sec  0.00 Bytes  0.00 bits/sec    0    482 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-47.00  sec  10.2 MBytes  1.81 Mbits/sec  320             sender
[  4]   0.00-47.00  sec  8.00 MBytes  1.43 Mbits/sec                  receiver

iperf Done.
