Connecting to host 10.0.0.2, port 5207
[  4] local 10.0.0.1 port 46122 connected to 10.0.0.2 port 5207
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  96.2 KBytes   787 Kbits/sec    0   28.3 KBytes       
[  4]   1.00-2.00   sec   484 KBytes  3.96 Mbits/sec    0   84.8 KBytes       
[  4]   2.00-3.00   sec   127 KBytes  1.04 Mbits/sec    0   89.1 KBytes       
[  4]   3.00-4.00   sec   255 KBytes  2.09 Mbits/sec    0   97.6 KBytes       
[  4]   4.00-5.00   sec   127 KBytes  1.04 Mbits/sec    0    103 KBytes       
[  4]   5.00-6.00   sec  0.00 Bytes  0.00 bits/sec    0    107 KBytes       
[  4]   6.00-7.00   sec   191 KBytes  1.56 Mbits/sec    0    126 KBytes       
[  4]   7.00-8.00   sec   445 KBytes  3.65 Mbits/sec    0    180 KBytes       
[  4]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0    180 KBytes       
[  4]   9.00-10.00  sec   636 KBytes  5.21 Mbits/sec    0    267 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    0    270 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0    270 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   62    185 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0    185 KBytes       
[  4]  14.00-15.00  sec  63.6 KBytes   521 Kbits/sec   34    157 KBytes       
[  4]  15.00-16.00  sec   191 KBytes  1.56 Mbits/sec   21    188 KBytes       
[  4]  16.00-17.00  sec   382 KBytes  3.13 Mbits/sec    0    136 KBytes       
[  4]  17.00-18.00  sec   191 KBytes  1.56 Mbits/sec    0    140 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0    141 KBytes       
[  4]  19.00-20.00  sec   127 KBytes  1.04 Mbits/sec    0    151 KBytes       
[  4]  20.00-21.00  sec   191 KBytes  1.56 Mbits/sec    0    157 KBytes       
[  4]  21.00-22.00  sec  63.6 KBytes   521 Kbits/sec    0    158 KBytes       
[  4]  22.00-23.01  sec  63.6 KBytes   519 Kbits/sec    0    158 KBytes       
[  4]  23.01-24.00  sec   191 KBytes  1.57 Mbits/sec    0    164 KBytes       
[  4]  24.00-25.00  sec   127 KBytes  1.04 Mbits/sec    0    177 KBytes       
[  4]  25.00-26.00  sec   191 KBytes  1.56 Mbits/sec    0    204 KBytes       
[  4]  26.00-27.00  sec   127 KBytes  1.04 Mbits/sec    0    253 KBytes       
[  4]  27.00-28.00  sec  63.6 KBytes   521 Kbits/sec    0    253 KBytes       
[  4]  28.00-29.00  sec   636 KBytes  5.21 Mbits/sec    0    344 KBytes       
[  4]  29.00-30.00  sec   255 KBytes  2.09 Mbits/sec    0    378 KBytes       
[  4]  30.00-31.00  sec   954 KBytes  7.82 Mbits/sec    0    503 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0    503 KBytes       
[  4]  32.00-33.00  sec   509 KBytes  4.17 Mbits/sec   77    399 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    4    399 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0    399 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec   87    393 KBytes       
[  4]  36.00-37.00  sec   318 KBytes  2.61 Mbits/sec    3    399 KBytes       
[  4]  37.00-38.00  sec   700 KBytes  5.73 Mbits/sec    0    362 KBytes       
[  4]  38.00-39.00  sec   382 KBytes  3.13 Mbits/sec    0    280 KBytes       
[  4]  39.00-40.00  sec   318 KBytes  2.61 Mbits/sec    0    304 KBytes       
[  4]  40.00-41.00  sec   255 KBytes  2.09 Mbits/sec    0    322 KBytes       
[  4]  41.00-42.00  sec   318 KBytes  2.60 Mbits/sec    0    332 KBytes       
[  4]  42.00-43.00  sec   127 KBytes  1.04 Mbits/sec    0    334 KBytes       
[  4]  43.00-44.00  sec   255 KBytes  2.08 Mbits/sec    0    337 KBytes       
[  4]  44.00-45.00  sec   318 KBytes  2.61 Mbits/sec    0    339 KBytes       
[  4]  45.00-46.00  sec   636 KBytes  5.21 Mbits/sec    0    349 KBytes       
[  4]  46.00-46.00  sec  0.00 Bytes  0.00 bits/sec    0    349 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-46.00  sec  10.1 MBytes  1.84 Mbits/sec  288             sender
[  4]   0.00-46.00  sec  7.24 MBytes  1.32 Mbits/sec                  receiver

iperf Done.
