Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.40 MBytes  11.8 Mbits/sec    0   86.3 KBytes       
[  4]   1.00-2.00   sec   891 KBytes  7.29 Mbits/sec    0    120 KBytes       
[  4]   2.00-3.00   sec   954 KBytes  7.82 Mbits/sec    0    158 KBytes       
[  4]   3.00-4.01   sec   891 KBytes  7.26 Mbits/sec    0    194 KBytes       
[  4]   4.01-5.00   sec   827 KBytes  6.81 Mbits/sec    3    222 KBytes       
[  4]   5.00-6.00   sec   764 KBytes  6.26 Mbits/sec    0    225 KBytes       
[  4]   6.00-7.00   sec   700 KBytes  5.74 Mbits/sec    0    226 KBytes       
[  4]   7.00-8.00   sec   700 KBytes  5.73 Mbits/sec    0    235 KBytes       
[  4]   8.00-9.00   sec   636 KBytes  5.21 Mbits/sec    0    252 KBytes       
[  4]   9.00-10.00  sec   636 KBytes  5.20 Mbits/sec    0    280 KBytes       
[  4]  10.00-11.00  sec   509 KBytes  4.17 Mbits/sec    0    315 KBytes       
[  4]  11.00-12.01  sec   827 KBytes  6.76 Mbits/sec    0    376 KBytes       
[  4]  12.01-13.00  sec   764 KBytes  6.27 Mbits/sec    0    450 KBytes       
[  4]  13.00-14.00  sec   764 KBytes  6.27 Mbits/sec    0    526 KBytes       
[  4]  14.00-15.00  sec   827 KBytes  6.75 Mbits/sec    5    604 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec   87    430 KBytes       
[  4]  16.00-17.00  sec   573 KBytes  4.69 Mbits/sec    3    430 KBytes       
[  4]  17.00-18.00  sec   509 KBytes  4.17 Mbits/sec    0    438 KBytes       
[  4]  18.00-19.00  sec   255 KBytes  2.08 Mbits/sec    0    460 KBytes       
[  4]  19.00-20.00  sec   445 KBytes  3.65 Mbits/sec    0    512 KBytes       
[  4]  20.00-21.00  sec   445 KBytes  3.65 Mbits/sec    0    553 KBytes       
[  4]  21.00-22.00  sec   573 KBytes  4.69 Mbits/sec    0    583 KBytes       
[  4]  22.00-23.00  sec   573 KBytes  4.69 Mbits/sec    0    601 KBytes       
[  4]  23.00-24.00  sec   509 KBytes  4.17 Mbits/sec    0    609 KBytes       
[  4]  24.00-25.00  sec   700 KBytes  5.74 Mbits/sec    0    614 KBytes       
[  4]  25.00-26.00  sec   509 KBytes  4.17 Mbits/sec    0    615 KBytes       
[  4]  26.00-27.00  sec   445 KBytes  3.65 Mbits/sec    0    618 KBytes       
[  4]  27.00-28.00  sec   382 KBytes  3.13 Mbits/sec    0    624 KBytes       
[  4]  28.00-29.00  sec   636 KBytes  5.21 Mbits/sec    0    641 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec   20    455 KBytes       
[  4]  30.00-31.00  sec   445 KBytes  3.64 Mbits/sec    3    448 KBytes       
[  4]  31.00-32.00  sec  1018 KBytes  8.34 Mbits/sec    0    467 KBytes       
[  4]  32.00-33.00  sec   445 KBytes  3.65 Mbits/sec    0    509 KBytes       
[  4]  33.00-34.00  sec   318 KBytes  2.61 Mbits/sec    0    543 KBytes       
[  4]  34.00-35.00  sec   382 KBytes  3.13 Mbits/sec    0    576 KBytes       
[  4]  35.00-36.00  sec   445 KBytes  3.65 Mbits/sec    0    607 KBytes       
[  4]  36.00-37.00  sec   191 KBytes  1.57 Mbits/sec    9    535 KBytes       
