Connecting to host 10.0.0.2, port 5206
[  4] local 10.0.0.1 port 46120 connected to 10.0.0.2 port 5206
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   150 KBytes  1.22 Mbits/sec    0   28.3 KBytes       
[  4]   1.00-2.01   sec   164 KBytes  1.34 Mbits/sec    0   42.4 KBytes       
[  4]   2.01-3.00   sec  7.07 KBytes  58.2 Kbits/sec    0   45.2 KBytes       
[  4]   3.00-4.00   sec  63.6 KBytes   521 Kbits/sec    0   46.7 KBytes       
[  4]   4.00-5.00   sec   127 KBytes  1.04 Mbits/sec    0   55.1 KBytes       
[  4]   5.00-6.04   sec  0.00 Bytes  0.00 bits/sec    0   55.1 KBytes       
[  4]   6.04-7.00   sec   191 KBytes  1.63 Mbits/sec    0   83.4 KBytes       
[  4]   7.00-8.00   sec  63.6 KBytes   521 Kbits/sec    0   86.3 KBytes       
[  4]   8.00-9.00   sec   255 KBytes  2.09 Mbits/sec    0    126 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0    126 KBytes       
[  4]  10.00-11.00  sec   509 KBytes  4.18 Mbits/sec    0    188 KBytes       
[  4]  11.00-12.01  sec   636 KBytes  5.19 Mbits/sec    0    283 KBytes       
[  4]  12.01-13.01  sec  0.00 Bytes  0.00 bits/sec    0    283 KBytes       
[  4]  13.01-14.00  sec   509 KBytes  4.21 Mbits/sec   26    272 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0    272 KBytes       
[  4]  15.00-16.00  sec   127 KBytes  1.04 Mbits/sec   17    243 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0    243 KBytes       
[  4]  17.00-18.00  sec   509 KBytes  4.17 Mbits/sec    0    264 KBytes       
[  4]  18.00-19.00  sec  63.6 KBytes   520 Kbits/sec    0    280 KBytes       
[  4]  19.00-20.00  sec   191 KBytes  1.57 Mbits/sec    0    305 KBytes       
[  4]  20.00-21.00  sec   127 KBytes  1.04 Mbits/sec    0    320 KBytes       
[  4]  21.00-22.01  sec   191 KBytes  1.56 Mbits/sec    0    332 KBytes       
[  4]  22.01-23.00  sec   127 KBytes  1.05 Mbits/sec    0    338 KBytes       
[  4]  23.00-24.00  sec   191 KBytes  1.56 Mbits/sec    2    321 KBytes       
[  4]  24.00-25.01  sec  0.00 Bytes  0.00 bits/sec   13    239 KBytes       
[  4]  25.01-26.00  sec   573 KBytes  4.71 Mbits/sec    0    250 KBytes       
[  4]  26.00-27.01  sec  0.00 Bytes  0.00 bits/sec    0    252 KBytes       
[  4]  27.01-28.01  sec   255 KBytes  2.09 Mbits/sec    0    270 KBytes       
[  4]  28.01-29.00  sec   255 KBytes  2.09 Mbits/sec    0    283 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0    283 KBytes       
[  4]  30.00-31.00  sec   318 KBytes  2.62 Mbits/sec    0    287 KBytes       
[  4]  31.00-32.01  sec  0.00 Bytes  0.00 bits/sec    0    287 KBytes       
[  4]  32.01-33.01  sec  0.00 Bytes  0.00 bits/sec   15    201 KBytes       
[  4]  33.01-34.01  sec  0.00 Bytes  0.00 bits/sec    0    201 KBytes       
[  4]  34.01-35.00  sec   382 KBytes  3.16 Mbits/sec    0    204 KBytes       
[  4]  35.00-36.00  sec   318 KBytes  2.61 Mbits/sec    0    223 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0    223 KBytes       
[  4]  37.00-38.00  sec   191 KBytes  1.57 Mbits/sec    0    236 KBytes       
[  4]  38.00-39.00  sec   255 KBytes  2.08 Mbits/sec    0    240 KBytes       
[  4]  39.00-40.00  sec   255 KBytes  2.09 Mbits/sec    0    243 KBytes       
[  4]  40.00-41.00  sec  63.6 KBytes   520 Kbits/sec    0    249 KBytes       
[  4]  41.00-42.00  sec   127 KBytes  1.04 Mbits/sec    0    253 KBytes       
[  4]  42.00-43.00  sec   255 KBytes  2.08 Mbits/sec    0    276 KBytes       
[  4]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    0    277 KBytes       
[  4]  44.00-45.00  sec   255 KBytes  2.09 Mbits/sec    0    334 KBytes       
[  4]  45.00-46.10  sec  0.00 Bytes  0.00 bits/sec    0    338 KBytes       
[  4]  46.10-47.00  sec   191 KBytes  1.73 Mbits/sec    0    372 KBytes       
[  4]  47.00-48.01  sec   318 KBytes  2.58 Mbits/sec    0    379 KBytes       
[  4]  48.01-49.02  sec   954 KBytes  7.77 Mbits/sec    0    494 KBytes       
