Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.77 MBytes  14.8 Mbits/sec    0    117 KBytes       
[  4]   1.00-2.00   sec  1.43 MBytes  12.0 Mbits/sec    0    175 KBytes       
[  4]   2.00-3.00   sec  1.43 MBytes  12.0 Mbits/sec    0    232 KBytes       
[  4]   3.00-4.00   sec  1.43 MBytes  12.0 Mbits/sec    0    291 KBytes       
[  4]   4.00-5.00   sec  1.49 MBytes  12.5 Mbits/sec    0    349 KBytes       
[  4]   5.00-6.00   sec  1.37 MBytes  11.5 Mbits/sec    0    404 KBytes       
[  4]   6.00-7.00   sec  1.43 MBytes  12.0 Mbits/sec    0    462 KBytes       
[  4]   7.00-8.00   sec  1.43 MBytes  12.0 Mbits/sec    0    522 KBytes       
[  4]   8.00-9.00   sec  1.49 MBytes  12.5 Mbits/sec    0    580 KBytes       
[  4]   9.00-10.00  sec  1.43 MBytes  12.0 Mbits/sec    0    638 KBytes       
[  4]  10.00-11.00  sec  1.55 MBytes  13.0 Mbits/sec    0    724 KBytes       
[  4]  11.00-12.00  sec  2.05 MBytes  17.2 Mbits/sec    0    897 KBytes       
[  4]  12.00-13.00  sec  2.24 MBytes  18.8 Mbits/sec    0   1.08 MBytes       
[  4]  13.00-14.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.30 MBytes       
[  4]  14.00-15.01  sec  2.50 MBytes  20.9 Mbits/sec    0   1.59 MBytes       
[  4]  15.01-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.82 MBytes       
[  4]  16.00-17.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.16 MBytes       
[  4]  17.00-18.00  sec  1.25 MBytes  10.5 Mbits/sec   38   1.92 MBytes       
[  4]  18.00-19.00  sec  1.25 MBytes  10.5 Mbits/sec  161   1.57 MBytes       
[  4]  19.00-20.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.57 MBytes       
[  4]  20.00-21.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.63 MBytes       
[  4]  21.00-22.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.74 MBytes       
[  4]  22.00-23.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.84 MBytes       
[  4]  23.00-24.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.94 MBytes       
[  4]  24.00-25.00  sec  1.25 MBytes  10.5 Mbits/sec   65   1.58 MBytes       
[  4]  25.00-26.00  sec   788 KBytes  6.45 Mbits/sec   55   1.37 MBytes       
[  4]  26.00-27.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.37 MBytes       
[  4]  27.00-28.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.40 MBytes       
[  4]  28.00-29.01  sec  1.25 MBytes  10.4 Mbits/sec    0   1.46 MBytes       
[  4]  29.01-30.00  sec  1.25 MBytes  10.6 Mbits/sec    0   1.51 MBytes       
[  4]  30.00-31.01  sec  1.25 MBytes  10.4 Mbits/sec    0   1.56 MBytes       
[  4]  31.01-32.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.59 MBytes       
[  4]  32.00-33.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.62 MBytes       
[  4]  33.00-34.01  sec  1.25 MBytes  10.4 Mbits/sec    0   1.64 MBytes       
[  4]  34.01-35.00  sec  1.25 MBytes  10.6 Mbits/sec    0   1.65 MBytes       
[  4]  35.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0   1.65 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-35.00  sec  50.1 MBytes  12.0 Mbits/sec  319             sender
[  4]   0.00-35.00  sec  39.3 MBytes  9.43 Mbits/sec                  receiver

iperf Done.
