Connecting to host 10.0.0.2, port 5203
[  4] local 10.0.0.1 port 46114 connected to 10.0.0.2 port 5203
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.03   sec  82.0 KBytes   650 Kbits/sec    0   14.1 KBytes       
[  4]   1.03-2.00   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]   4.00-5.01   sec  1.41 KBytes  11.5 Kbits/sec    2   5.66 KBytes       
[  4]   5.01-6.00   sec  8.48 KBytes  69.9 Kbits/sec    6   9.90 KBytes       
[  4]   6.00-7.00   sec  7.07 KBytes  57.9 Kbits/sec    2   9.90 KBytes       
[  4]   7.00-8.00   sec  9.90 KBytes  80.9 Kbits/sec    0   11.3 KBytes       
[  4]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0   11.3 KBytes       
[  4]   9.00-10.00  sec  11.3 KBytes  92.5 Kbits/sec    0   12.7 KBytes       
[  4]  10.00-11.00  sec  11.3 KBytes  92.7 Kbits/sec    0   15.6 KBytes       
[  4]  11.00-12.00  sec  80.6 KBytes   659 Kbits/sec    0   22.6 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0   24.0 KBytes       
[  4]  14.00-15.00  sec   127 KBytes  1.04 Mbits/sec    0   36.8 KBytes       
[  4]  15.00-16.00  sec   127 KBytes  1.04 Mbits/sec    0   55.1 KBytes       
[  4]  16.00-17.02  sec   191 KBytes  1.54 Mbits/sec    0   82.0 KBytes       
[  4]  17.02-18.01  sec  0.00 Bytes  0.00 bits/sec    0   82.0 KBytes       
[  4]  18.01-19.00  sec   318 KBytes  2.61 Mbits/sec    0    123 KBytes       
[  4]  19.00-20.01  sec   382 KBytes  3.12 Mbits/sec    0    170 KBytes       
[  4]  20.01-21.00  sec  63.6 KBytes   525 Kbits/sec    0    185 KBytes       
[  4]  21.00-22.00  sec  63.6 KBytes   521 Kbits/sec   36    134 KBytes       
[  4]  22.00-23.01  sec   191 KBytes  1.56 Mbits/sec    0    136 KBytes       
[  4]  23.01-24.01  sec  63.6 KBytes   518 Kbits/sec    0    146 KBytes       
[  4]  24.01-25.00  sec   191 KBytes  1.58 Mbits/sec    0    168 KBytes       
[  4]  25.00-26.00  sec  63.6 KBytes   523 Kbits/sec    0    178 KBytes       
[  4]  26.00-27.00  sec  63.6 KBytes   521 Kbits/sec    0    184 KBytes       
[  4]  27.00-28.00  sec   191 KBytes  1.56 Mbits/sec    0    189 KBytes       
[  4]  28.00-29.01  sec   191 KBytes  1.56 Mbits/sec    0    194 KBytes       
[  4]  29.01-30.00  sec  0.00 Bytes  0.00 bits/sec    0    194 KBytes       
[  4]  30.00-31.00  sec   318 KBytes  2.61 Mbits/sec    0    208 KBytes       
