Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.42 MBytes  11.9 Mbits/sec    0   87.7 KBytes       
[  4]   1.00-2.00   sec  1.18 MBytes  9.90 Mbits/sec    0    136 KBytes       
[  4]   2.00-3.00   sec  1.30 MBytes  11.0 Mbits/sec    0    187 KBytes       
[  4]   3.00-4.00   sec  1.37 MBytes  11.5 Mbits/sec    0    242 KBytes       
[  4]   4.00-5.00   sec  1.43 MBytes  12.0 Mbits/sec    0    300 KBytes       
[  4]   5.00-6.00   sec  1.37 MBytes  11.5 Mbits/sec    0    354 KBytes       
[  4]   6.00-7.00   sec  1.49 MBytes  12.5 Mbits/sec    0    416 KBytes       
[  4]   7.00-8.00   sec  1.49 MBytes  12.5 Mbits/sec    0    474 KBytes       
[  4]   8.00-9.00   sec  1.43 MBytes  12.0 Mbits/sec    0    532 KBytes       
[  4]   9.00-10.00  sec  1.43 MBytes  12.0 Mbits/sec    0    590 KBytes       
[  4]  10.00-11.00  sec  1.74 MBytes  14.6 Mbits/sec    0    700 KBytes       
[  4]  11.00-12.00  sec  2.11 MBytes  17.7 Mbits/sec    0    877 KBytes       
[  4]  12.00-13.00  sec  2.24 MBytes  18.8 Mbits/sec    0   1.06 MBytes       
[  4]  13.00-14.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.29 MBytes       
[  4]  14.00-15.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.56 MBytes       
[  4]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.81 MBytes       
[  4]  16.00-17.00  sec  1.25 MBytes  10.5 Mbits/sec   40   1.52 MBytes       
[  4]  17.00-18.00  sec  1.25 MBytes  10.5 Mbits/sec  161   1.31 MBytes       
[  4]  18.00-19.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.32 MBytes       
[  4]  19.00-20.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.40 MBytes       
[  4]  20.00-21.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.50 MBytes       
[  4]  21.00-22.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.59 MBytes       
[  4]  22.00-23.01  sec  1.25 MBytes  10.4 Mbits/sec    0   1.66 MBytes       
[  4]  23.01-24.01  sec  1.25 MBytes  10.5 Mbits/sec    0   1.73 MBytes       
[  4]  24.01-25.00  sec  1.25 MBytes  10.6 Mbits/sec    0   1.78 MBytes       
[  4]  25.00-26.00  sec  1.25 MBytes  10.5 Mbits/sec   13   1.77 MBytes       
[  4]  26.00-27.00  sec  17.1 KBytes   140 Kbits/sec   29   1.39 MBytes       
[  4]  27.00-28.00  sec   191 KBytes  1.56 Mbits/sec   17   1.27 MBytes       
[  4]  28.00-29.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.27 MBytes       
[  4]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.30 MBytes       
[  4]  30.00-31.01  sec  1.25 MBytes  10.4 Mbits/sec    0   1.35 MBytes       
[  4]  31.01-32.00  sec  1.25 MBytes  10.6 Mbits/sec    0   1.41 MBytes       
[  4]  32.00-33.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.46 MBytes       
[  4]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.49 MBytes       
[  4]  34.00-35.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.51 MBytes       
[  4]  35.00-36.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  4]  36.00-37.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  4]  37.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0   1.53 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-37.00  sec  50.2 MBytes  11.4 Mbits/sec  260             sender
[  4]   0.00-37.00  sec  41.6 MBytes  9.43 Mbits/sec                  receiver

iperf Done.
